arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
blk-r32-l64,1,111013,539cc9e7-360c-4cde-9f79-00089b32079c,completed,completed,v0.1.0,905.68752288818359,940416,2538499,39664,1284.964355,cpu
blk-r32-l64-passive,1,111013,99a0235e-d41a-4f73-bd48-4cbfc321bb92,completed,completed,v0.1.0,943.47885258992517,301248,2732099,42689,1328.749118,cpu
blk-r32-l64,2,111014,78666825-8a22-49d7-b9db-394e86442bbb,completed,completed,v0.1.0,913.80263137817383,2403264,2541187,39706,1278.269491,cpu
blk-r32-l64-passive,2,111014,df33814d-a590-40ff-90b5-2e5c3614a345,completed,completed,v0.1.0,904.14744186401367,1900480,2644611,41322,1305.374310,cpu
blk-r32-l64,3,111015,1d9e9132-26a6-40e2-bdbb-655b8a98263b,completed,completed,v0.1.0,853.87903467814124,2588672,2599171,40612,1298.925719,cpu
blk-r32-l64-passive,3,111015,0e9464b5-24df-4376-b934-06cd943817e9,completed,completed,v0.1.0,916.77139155069983,1468288,2546499,39789,1324.865775,cpu
blk-r32-l64,4,111016,68fd7d63-30b8-4670-971a-852204d7ec1a,completed,completed,v0.1.0,899.88049697875977,835328,2435587,38056,1206.112012,cpu
blk-r32-l64-passive,4,111016,780f757c-2793-4569-8454-bd8a0d053489,completed,completed,v0.1.0,917.00588353474939,411712,2876355,44943,1424.032991,cpu
blk-r32-l64,5,111017,30f18850-2ac2-4187-92a5-7515ec64c731,completed,completed,v0.1.0,898.02190272013343,1641408,2541571,39712,1238.167329,cpu
blk-r32-l64-passive,5,111017,a4a7482a-1366-4a64-9e8d-0bd2719e4993,completed,completed,v0.1.0,892.42896397908532,755136,2771331,43302,1348.914333,cpu
blk-r32-l64,6,111018,74fc1877-6add-4831-99dc-1f278517f63d,completed,completed,v0.1.0,891.04311116536462,704512,2348099,36689,1147.233829,cpu
blk-r32-l64-passive,6,111018,f7418230-e4f9-465d-8baa-826393e059d3,completed,completed,v0.1.0,917.81460316975915,695168,2799939,43749,1396.301101,cpu
blk-r32-l64,7,111019,d5455766-d46f-4a9f-9be1-40d13dc2e2b0,completed,completed,v0.1.0,816.55529149373376,89024,2693123,42080,1304.625681,cpu
blk-r32-l64-passive,7,111019,809257ae-598a-4fcc-9cb2-871dc126b9d7,completed,completed,v0.1.0,894.35971069335938,2522176,2604035,40688,1278.201660,cpu
blk-r32-l64,8,111020,fbb233a4-3a20-4b1d-ac2c-0f910e1ceadb,completed,completed,v0.1.0,810.73309961954749,704256,2577923,40280,1219.985370,cpu
blk-r32-l64-passive,8,111020,0651bbf9-6e91-4f17-b357-dd2a79738539,completed,completed,v0.1.0,901.10943094889319,1177792,2633091,41142,1208.468966,cpu
blk-r32-l64,9,111021,6d8d097d-d930-4f36-8e00-7f669e37b5f9,completed,completed,v0.1.0,918.98704401652014,1282304,2433731,38027,1104.792810,cpu
blk-r32-l64-passive,9,111021,6ef1d518-2564-429c-9ef2-56f30280880e,completed,completed,v0.1.0,840.0139045715332,2446464,2776643,43385,1235.626086,cpu
blk-r32-l64,10,111022,6a7ecfc0-012f-4de0-9c76-22b163b2bbfa,completed,completed,v0.1.0,897.5850830078125,948800,2403011,37547,1048.142149,cpu
blk-r32-l64-passive,10,111022,77579de5-5aa6-49d4-bd0d-90c3d93229af,completed,completed,v0.1.0,877.00898996988929,2071744,2823427,44116,1209.101997,cpu
blk-r32-l64,11,111023,9d5a6288-1b37-4fa5-b5f2-f86bdcfb8aee,completed,completed,v0.1.0,814.16934967041016,2005504,2850307,44536,1189.035137,cpu
blk-r32-l64-passive,11,111023,89d2f625-702d-49fc-a861-039bbbda080f,completed,completed,v0.1.0,884.01916376749671,1542272,2617667,40901,845.243972,cpu
blk-r32-l64,12,111024,995216a0-58ac-4de6-8e37-326f680d588e,completed,completed,v0.1.0,881.96726989746094,1239232,2439683,38120,792.319972,cpu
blk-r32-l64-passive,12,111024,3200c066-5d44-4d66-b5bf-45f625b05e50,completed,completed,v0.1.0,899.63297144571936,2268160,2625987,41031,858.413995,cpu
