arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
blk-r32-l64,1,111013,1,64,15573.341625213623,,0.26285751382188516,1.0910053100184927,0.26344701570601076,0
blk-r32-l64,1,111013,5,320,10500.472868601481,,0.24461773214797203,1.3573123759413757,0.25373688532804561,0
blk-r32-l64,1,111013,20,1280,2033.220495859782,,0.35050965213638913,2.1136991063413966,0.38526027383372852,0
blk-r32-l64,1,111013,160,10240,1231.9516372680664,,0.064821014604527952,59.673702714324158,0.077500511682855183,0
blk-r32-l64,1,111013,398,25472,1050.1462300618489,,0.035589962367083783,1801.213254363653,0.032302037630145421,0
blk-r32-l64,1,111013,797,51008,1037.0391286214192,,0.00080748787971491112,3274060.5808318583,0.0011614440701100918,0
blk-r32-l64,1,111013,1197,76608,1037.0176289876301,,0.052798608536156859,51.829559492295161,0.068582614604356634,0
blk-r32-l64,1,111013,1596,102144,1037.0176289876301,,0.0051801469022414587,1188.6375160378927,0.0047555739912321189,0
blk-r32-l64,1,111013,1995,127680,1037.0176289876301,,0.00038583002535278653,240502.38675634749,0.00037644774031486824,0
blk-r32-l64,1,111013,2394,153216,1037.0176289876301,,0.14821569874096044,4.5181061490193857,0.16855691989441091,0
blk-r32-l64,1,111013,2793,178752,1037.0176289876301,,0.026764612063330459,8282.8534556102404,0.02564398977655671,0
blk-r32-l64,1,111013,3192,204288,1037.0176289876301,,0.0005566658936863978,3605229.3377635991,0.00076977848695922689,0
blk-r32-l64,1,111013,3591,229824,1037.0176289876301,,0.23457844170282419,3.5772035167976197,0.27172846115395932,0
blk-r32-l64,1,111013,3969,254016,930.92390950520837,,0.0081108533803247087,10250.549926727581,0.0099605962492310407,0
blk-r32-l64,1,111013,4368,279552,928.53419240315759,,6.6491869353935409e-05,457960.31885003299,8.1538124650638882e-05,0
blk-r32-l64,1,111013,4767,305088,928.53417714436853,,0.030295035551244836,982.50432003870878,0.045912756471835001,0
blk-r32-l64,1,111013,5166,330624,928.53417714436853,,0.026600639211584343,31476.456511930446,0.032314362763840698,0
blk-r32-l64,1,111013,5565,356160,928.53417714436853,,0.00083931064497100901,14711665.589113658,0.00088158243506779972,0
blk-r32-l64,1,111013,5964,381696,928.53417714436853,,0.028824372679597362,497.58667258916546,0.03570977541932626,0
blk-r32-l64,1,111013,6363,407232,928.53417714436853,,0.0024134451630858748,14013.376959087067,0.002591088110549652,0
blk-r32-l64,1,111013,6762,432768,928.53417714436853,,0.00017165464748006669,1874654.6898418351,0.00019476787175660087,0
blk-r32-l64,1,111013,7161,458304,928.53417714436853,,0.031191961264062939,713.82154667373345,0.039449781128134791,0
blk-r32-l64,1,111013,7560,483840,928.53417714436853,,0.001708226792784349,191926.8931430254,0.0026477729527890053,0
blk-r32-l64,1,111013,7938,508032,928.53417714436853,,6.9491677059234743e-05,781323.14455470315,7.6315028089572447e-05,0
blk-r32-l64,1,111013,8337,533568,928.53417714436853,,0.04024156366708543,7752.5192936067415,0.059419098825977498,0
