arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
mayfly-single,1,113001,469bd099-be5c-4b0a-910e-066aa3601ec0,completed,completed,v0.7.1,833.45367813110352,6391310,6502403,2048,3344.288850
mayfly-r16,1,113001,5d776b82-9d27-405a-8258-9af328d79731,completed,completed,v0.7.1,730.30149459838867,4083200,6533123,2048,2977.407828
sep-single,1,113001,adebc055-2fe8-43f5-b96a-c6248199265f,completed,completed,v0.1.0,701.71346028645837,1186816,1356803,1325,542.661225
sep-e5,1,113001,ff367333-c5c5-4229-aece-c63b69fa8d2c,completed,completed,v0.1.0,682.43191401163733,4897792,5189635,5068,2101.733894
sep-r5,1,113001,b53b93e0-d6e2-4397-8458-7642d9fc2d81,completed,completed,v0.1.0,648.91537857055664,5150720,6476803,6325,2680.300286
sep-ipop,1,113001,86700515-2fa3-4c18-9e05-f5c6fdf5dee0,completed,completed,v0.1.0,696.46849314371741,3296256,6502403,3256,2701.372204
mayfly-single,2,113002,4723c4a1-d7b9-4e6a-ac7f-74f26295317b,completed,completed,v0.7.1,692.10733922322595,4309166,6502403,2048,2503.945977
mayfly-r16,2,113002,0d30d530-0c00-4a7e-94c2-1b39ad6824ac,completed,completed,v0.7.1,700.75790023803711,3266560,6533123,2048,3078.376852
sep-single,2,113002,23424851-bd3a-4e1d-8f1f-2fb50c518ddf,completed,completed,v0.1.0,671.47956466674805,1308672,2539523,2480,935.268285
sep-e5,2,113002,cfd99498-a2f3-4ae5-9edc-e09db787a6d2,completed,completed,v0.1.0,663.28322601318359,4413440,4837379,4724,1772.662135
sep-r5,2,113002,f1bb23e4-7ee9-4e58-be82-af3160c1dfde,completed,completed,v0.1.0,671.40731430053711,6301696,6395907,6246,2504.894044
sep-ipop,2,113002,ec78aa23-686f-4078-898a-dab624115de9,completed,completed,v0.1.0,659.2879524230957,5419008,6502403,4250,2262.026682
mayfly-single,3,113003,64569f16-fef7-416c-9a8e-7f830169a0cd,completed,completed,v0.7.1,784.01045608520508,5220104,6502403,2048,3259.795056
mayfly-r16,3,113003,027a9918-ad3d-4567-ae8a-22df07951cbf,completed,completed,v0.7.1,732.72433980305993,2041600,6533123,2048,3026.887244
sep-single,3,113003,581fbe97-b918-4497-abe8-cf6595a18218,completed,completed,v0.1.0,702.37454859415686,1141760,3315715,3238,1343.071400
sep-e5,3,113003,4c310ab6-5024-4e54-90a4-a88787741d9f,completed,completed,v0.1.0,674.89845657348633,4148224,4431875,4328,1758.341389
sep-r5,3,113003,568f6fe9-f664-43c8-82e3-359c87044d5f,completed,completed,v0.1.0,637.27370071411133,5914624,6038531,5897,2620.359080
sep-ipop,3,113003,8227557c-541c-4333-98ac-ee42f4a3cf3b,completed,completed,v0.1.0,658.11186599731445,5632000,6502403,4794,2605.045845
mayfly-single,4,113004,e1d03400-67e5-4741-9eaf-9eaa9d302cef,completed,completed,v0.7.1,797.47911198933923,6397658,6502403,2048,3323.815009
mayfly-r16,4,113004,0a0100d1-46e0-408d-bb31-9e41dc54d229,completed,completed,v0.7.1,713.46419143676758,4491520,6533123,2048,3110.192127
sep-single,4,113004,001537b1-1ec3-43cc-afba-c1f79fdc37f4,completed,completed,v0.1.0,689.49778493245446,880640,1155075,1128,467.632124
sep-e5,4,113004,da9f021b-91dd-42ea-a720-a0506caa6421,completed,completed,v0.1.0,672.1368624369303,4144128,4481027,4376,1691.133898
sep-r5,4,113004,4d5900ed-814a-4bcb-b3ad-1da82d25632d,completed,completed,v0.1.0,689.49778493245446,880640,6324227,6176,2576.684991
sep-ipop,4,113004,a57c7489-d3b2-48cf-acbf-057a7ad13acb,completed,completed,v0.1.0,689.49778493245446,880640,6502403,3167,2922.887449
mayfly-single,5,113005,1b9f3eca-a24f-4277-9623-43735f69d96a,completed,completed,v0.7.1,713.16050974527991,6061214,6502403,2048,2378.477419
mayfly-r16,5,113005,5db52d85-c669-4d10-bfa4-f2f75831af08,completed,completed,v0.7.1,719.89507420857751,816640,6533123,2048,3000.385514
sep-single,5,113005,54901e3f-8c67-404a-8b32-803623bc75ed,completed,completed,v0.1.0,747.5014762878418,1561600,1850371,1807,922.982139
sep-e5,5,113005,0c891cb2-a6f1-4ea5-85ce-5afe56a0e7ed,completed,completed,v0.1.0,694.42373275756836,5354496,5564419,5434,2803.785127
sep-r5,5,113005,5b42bcbc-415e-496e-833a-9c0009a58bb5,completed,completed,v0.1.0,687.74984232584632,5079040,6502403,6350,2854.476443
sep-ipop,5,113005,81066fdc-28b4-48c6-9178-22f16ae03232,completed,completed,v0.1.0,675.08453877766931,5706752,6502403,3954,3024.259424
mayfly-single,6,113006,247aba51-dab9-42ee-9b8f-265a1abfe9fa,completed,completed,v0.7.1,687.48513031005859,6191348,6502403,2048,2244.932964
mayfly-r16,6,113006,2b6330be-54fb-45da-993b-e8c6321e1b52,completed,completed,v0.7.1,713.86799748738611,3671706,6533123,2048,2995.413211
sep-single,6,113006,f2581ffb-3c35-4799-991b-75e1bdeca5b9,completed,completed,v0.1.0,770.37317657470703,949248,1295363,1265,553.668157
sep-e5,6,113006,43df967f-bb69-4ff9-b92c-1a39e47ada4c,completed,completed,v0.1.0,743.41139348347986,4030464,5055491,4937,1872.992557
sep-r5,6,113006,7b303144-91f8-4672-87f7-f2bd9221b30c,completed,completed,v0.1.0,667.06905237833655,6180864,6336515,6188,2562.119086
sep-ipop,6,113006,cd0ae99b-73a5-40d2-acba-43b6872f402a,completed,completed,v0.1.0,652.1964009602865,4166656,6502403,3378,2557.351988
mayfly-single,7,113007,97f99710-79e1-4287-8565-65b1c603f544,completed,completed,v0.7.1,718.35170364379883,6454790,6502403,2048,2949.639166
mayfly-r16,7,113007,7b4e6101-713e-4b44-a45a-f315d914ac5a,completed,completed,v0.7.1,707.9038976033529,5716480,6533123,2048,2939.924618
sep-single,7,113007,8bf83246-6cb1-41db-bb19-25c837e93a46,completed,completed,v0.1.0,666.08400344848633,1508352,1562627,1526,656.454086
sep-e5,7,113007,00f649b5-d810-448e-ba63-6035653db4f2,completed,completed,v0.1.0,655.47174708048499,4310016,4578307,4471,1884.654300
sep-r5,7,113007,60987b97-064c-4aed-b76a-66d558a1f19e,completed,completed,v0.1.0,645.69003677368164,3891200,6502403,6350,2684.871334
sep-ipop,7,113007,154ed15a-b4d6-4f53-9e59-aee4138953f2,completed,completed,v0.1.0,666.08400344848633,1508352,6502403,3938,2733.303911
mayfly-single,8,113008,b7b73265-c6ea-4017-b995-5d8cdc2eea5c,completed,completed,v0.7.1,734.30838012695312,6461138,6502403,2048,2905.247321
mayfly-r16,8,113008,8246e920-124c-4dfb-b837-54d075197af3,completed,completed,v0.7.1,747.28030776977539,816640,6533123,2048,3187.743252
sep-single,8,113008,5fab4dc5-282f-4d92-bb49-385b5c0f900c,completed,completed,v0.1.0,708.74578475952148,1067008,1196035,1168,494.984224
sep-e5,8,113008,68b8ee9e-bd20-4470-8eb0-f99beb96a22a,completed,completed,v0.1.0,672.53771082560218,5140480,5286915,5163,2156.625461
sep-r5,8,113008,335eabbc-0dfa-448d-884c-b9e8ad73bc02,completed,completed,v0.1.0,649.25117111206055,2247680,6397955,6248,2713.794013
sep-ipop,8,113008,3bed619c-f02b-4c49-8182-6a72e1f947af,completed,completed,v0.1.0,708.74578475952148,1067008,6502403,3154,2764.845104
mayfly-single,9,113009,a0d7509d-23ff-4be3-95de-4af940523a33,completed,completed,v0.7.1,710.90858840942383,4309166,6502403,2048,2919.522745
mayfly-r16,9,113009,28fb8529-1866-4d06-9e42-8e6ac9c83ebb,completed,completed,v0.7.1,721.26115544637048,2041600,6533123,2048,3163.538543
sep-single,9,113009,13112644-6049-488b-af0c-134da8869f77,completed,completed,v0.1.0,700.89110819498694,1689600,1768451,1727,719.664908
sep-e5,9,113009,97bddb5b-cf1c-4330-86e6-5f5b1b40cc9d,completed,completed,v0.1.0,654.11683654785156,4514816,5067779,4949,2003.467917
sep-r5,9,113009,bee65462-054d-4b0d-9909-eebcb9449c4d,completed,completed,v0.1.0,631.46229426066077,4918272,6502403,6350,2500.605519
