arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop,1,113001,0,0,large,1024,1325,1356800,701.71346028645837,tol_fun
sep-ipop,1,113001,0,1,large,2048,1350,2764800,696.46849314371741,condition_number
sep-ipop,1,113001,0,2,large,4096,581,2380800,723.82866923014319,maximum_evaluations
sep-ipop,2,113002,0,0,large,1024,2480,2539520,671.47956466674805,condition_number
sep-ipop,2,113002,0,1,large,2048,1604,3284992,659.2879524230957,tol_fun
sep-ipop,2,113002,0,2,large,4096,166,677888,852.92701085408532,maximum_evaluations
sep-ipop,3,113003,0,0,large,1024,3238,3315712,702.37454859415686,condition_number
sep-ipop,3,113003,0,1,large,2048,1556,3186688,658.11186599731445,maximum_evaluations
sep-ipop,4,113004,0,0,large,1024,1128,1155072,689.49778493245446,tol_fun
sep-ipop,4,113004,0,1,large,2048,1466,3002368,741.52708307902014,tol_fun
sep-ipop,4,113004,0,2,large,4096,573,2344960,755.86392084757483,maximum_evaluations
sep-ipop,5,113005,0,0,large,1024,1807,1850368,747.5014762878418,tol_fun
sep-ipop,5,113005,0,1,large,2048,2022,4141056,675.08453877766931,tol_fun
sep-ipop,5,113005,0,2,large,4096,125,510976,902.13203048706055,maximum_evaluations
sep-ipop,6,113006,0,0,large,1024,1265,1295360,770.37317657470703,tol_fun
sep-ipop,6,113006,0,1,large,2048,1683,3446784,652.1964009602865,tol_fun
sep-ipop,6,113006,0,2,large,4096,430,1760256,692.9002571105957,maximum_evaluations
sep-ipop,7,113007,0,0,large,1024,1526,1562624,666.08400344848633,tol_fun
sep-ipop,7,113007,0,1,large,2048,2412,4939776,751.48615137735999,maximum_evaluations
sep-ipop,8,113008,0,0,large,1024,1168,1196032,708.74578475952148,tol_fun
sep-ipop,8,113008,0,1,large,2048,1381,2828288,749.21352640787757,tol_fun
sep-ipop,8,113008,0,2,large,4096,605,2478080,748.59963353474939,maximum_evaluations
sep-ipop,9,113009,0,0,large,1024,1727,1768448,700.89110819498694,tol_fun
sep-ipop,9,113009,0,1,large,2048,1675,3430400,734.51885986328125,condition_number
sep-ipop,9,113009,0,2,large,4096,318,1303552,762.58714040120446,maximum_evaluations
sep-ipop,10,113010,0,0,large,1024,1406,1439744,652.53731791178382,tol_fun
sep-ipop,10,113010,0,1,large,2048,2273,4655104,698.31847508748376,tol_fun
sep-ipop,10,113010,0,2,large,4096,100,407552,944.31457265218103,maximum_evaluations
sep-ipop,11,113011,0,0,large,1024,1925,1971200,760.98998769124353,tol_fun
sep-ipop,11,113011,0,1,large,2048,1477,3024896,742.90791575113929,tol_fun
sep-ipop,11,113011,0,2,large,4096,368,1506304,792.81438191731775,maximum_evaluations
sep-ipop,12,113012,0,0,large,1024,1370,1402880,682.05747222900391,tol_fun
sep-ipop,12,113012,0,1,large,2048,2025,4147200,684.74241256713867,tol_fun
sep-ipop,12,113012,0,2,large,4096,233,952320,880.7682100931803,maximum_evaluations
