arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
mayfly-single,1,113001,1,5222,3380.4236119588218,2.6892222544415545,,,,0
mayfly-single,1,113001,5,17918,1629.3939297993977,2.504392732198415,,,,0
mayfly-single,1,113001,8,27440,1491.9936294555664,3.4090529859546175,,,,0
mayfly-single,1,113001,10,33788,1491.9936294555664,3.1506027192278476,,,,0
mayfly-single,1,113001,16,52832,1245.0881970723469,2.6794150170314874,,,,0
mayfly-single,1,113001,20,65528,1200.0672365824382,2.4745991226011186,,,,0
mayfly-single,1,113001,24,78224,1136.7131131490071,2.3305838193785968,,,,0
mayfly-single,1,113001,32,103616,1107.6318232218425,2.1246798193386471,,,,0
mayfly-single,1,113001,40,129008,1009.045026143392,1.7684029191963235,,,,0
mayfly-single,1,113001,48,154400,957.80293909708655,0.2081722125279204,,,,0
mayfly-single,1,113001,56,179792,935.72123336791992,0.19931838236532609,,,,0
mayfly-single,1,113001,64,205184,920.72175725301111,0.16387109271920411,,,,0
mayfly-single,1,113001,72,230576,912.21984354654944,0.17898279008526119,,,,0
mayfly-single,1,113001,80,255968,892.85869471232093,0.14876737510979826,,,,0
mayfly-single,1,113001,88,281360,864.84604136149085,0.16528157846641869,,,,0
mayfly-single,1,113001,96,306752,859.99555842081702,0.097297468344506963,,,,0
mayfly-single,1,113001,104,332144,858.83441797892249,0.069915180624454204,,,,0
mayfly-single,1,113001,112,357536,855.47375869750977,0.09235351401442142,,,,0
mayfly-single,1,113001,120,382928,854.1568819681803,0.06446068884337347,,,,0
mayfly-single,1,113001,128,408320,849.04672876993811,0.11087767202880087,,,,0
mayfly-single,1,113001,136,433712,845.77535502115882,0.10254201381008289,,,,0
mayfly-single,1,113001,144,459104,844.32965850830078,0.071416090358732656,,,,0
mayfly-single,1,113001,152,484496,843.15531539916992,0.083311892900648485,,,,0
mayfly-single,1,113001,160,509888,841.68662516276038,0.084903447213327501,,,,0
mayfly-single,1,113001,168,535280,841.60636011759436,0.054788779194213821,,,,0
mayfly-single,1,113001,176,560672,841.19194793701172,0.074457929921970034,,,,0
mayfly-single,1,113001,184,586064,840.90278498331702,0.10234869402087129,,,,0
mayfly-single,1,113001,192,611456,840.57528050740564,0.060185611093636161,,,,0
mayfly-single,1,113001,200,636848,840.47481409708655,0.038442623484626744,,,,0
mayfly-single,1,113001,208,662240,840.41621144612634,0.01686041639114165,,,,0
mayfly-single,1,113001,216,687632,840.37749735514319,0.012495157426337932,,,,0
mayfly-single,1,113001,224,713024,840.20026906331384,0.046941431048961223,,,,0
mayfly-single,1,113001,232,738416,840.16526667277014,0.035106881705560901,,,,0
mayfly-single,1,113001,240,763808,840.09595616658532,0.048068862828940184,,,,0
mayfly-single,1,113001,248,789200,839.96705881754554,0.034223108622839664,,,,0
mayfly-single,1,113001,255,811418,839.94248199462891,0.041626494785558479,,,,0
mayfly-single,1,113001,256,814592,839.93992360432946,0.041235879817291904,,,,0
mayfly-single,1,113001,264,839984,839.93443934122718,0.025939056754701262,,,,0
mayfly-single,1,113001,272,865376,839.91674168904626,0.032417477533676478,,,,0
mayfly-single,1,113001,280,890768,839.91191482543945,0.020341457054291724,,,,0
mayfly-single,1,113001,288,916160,839.88167572021484,0.036648908009474804,,,,0
mayfly-single,1,113001,296,941552,839.87883504231775,0.024269041673376294,,,,0
mayfly-single,1,113001,304,966944,839.69396082560218,0.038360482242825768,,,,0
mayfly-single,1,113001,312,992336,839.30091985066736,0.041127868867696274,,,,0
mayfly-single,1,113001,320,1017728,839.13236236572266,0.033576817110853842,,,,0
mayfly-single,1,113001,328,1043120,839.08375930786133,0.040351740684117461,,,,0
