arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
sep-r32-l64,1,117001,077e9200-9bd7-469d-b5c5-6cdb8d7a71c5,completed,completed,v0.1.0,894.91695658365882,964288,2432451,38007,1076.063220,cpu
blk-r32-l64,1,117001,6c1c3155-450e-4c48-a942-1f666e7563de,completed,completed,v0.1.0,916.62111790974939,1928448,2587395,40428,1185.611921,cpu
sep-r2-l1024,1,117001,84989758-6bcd-480d-b5e1-86298fe4f5a0,completed,completed,v0.1.0,945.2037569681803,532480,1740803,1700,540.676133,cpu
blk-r2-l1024,1,117001,f6e63936-c326-44fc-97fc-86dbf4a0e318,completed,completed,v0.1.0,1013.0882568359375,1335296,1440771,1407,562.607840,cpu
sep-r32-l64,2,117002,70ae2d9e-79d5-4cce-ba4b-1dc9dc35320d,completed,completed,v0.1.0,867.04376602172852,1840256,2365315,36958,1043.095296,cpu
blk-r32-l64,2,117002,783b3c2e-5f2d-4bcc-9c26-7a2eea46b1e1,completed,completed,v0.1.0,930.4874153137207,1612544,2573379,40209,1206.644146,cpu
sep-r2-l1024,2,117002,b05f1a33-ce3a-4efb-aeb5-9c8c3c16063f,completed,completed,v0.1.0,827.59457778930664,1200128,2428931,2372,734.616719,cpu
blk-r2-l1024,2,117002,6142c0eb-db91-4228-81e8-73c6aab8daa1,completed,completed,v0.1.0,1115.4041264851887,1586176,1605635,1568,604.794643,cpu
sep-r32-l64,3,117003,881c9a9e-5341-4219-9670-ee4b1bf8c429,completed,completed,v0.1.0,891.66584396362305,1645440,2401923,37530,1117.770072,cpu
blk-r32-l64,3,117003,31685064-d6d5-4ac6-bf6f-7115dfc76122,completed,completed,v0.1.0,893.56597264607751,1696000,2403843,37560,1154.030944,cpu
sep-r2-l1024,3,117003,2ea006ea-847a-46b7-947a-cdcae10db2be,completed,completed,v0.1.0,810.7277717590332,2658304,2833411,2767,917.162481,cpu
blk-r2-l1024,3,117003,75050b66-11ea-4a07-b364-edd901175e8c,completed,completed,v0.1.0,1121.4384015401204,1230848,1301507,1271,415.065277,cpu
sep-r32-l64,4,117004,56fbe6f1-a657-4fd8-8485-058db3777ae2,completed,completed,v0.1.0,884.84648259480798,1015808,2317827,36216,1087.416910,cpu
blk-r32-l64,4,117004,e0b3c0ea-d488-42f3-b28c-9cb24801047f,completed,completed,v0.1.0,898.16260401407874,778816,2532675,39573,1264.048862,cpu
sep-r2-l1024,4,117004,8bd570eb-e6d6-4bab-8865-eb31399120f1,completed,completed,v0.1.0,974.83725611368811,1477632,1733635,1693,620.148371,cpu
blk-r2-l1024,4,117004,4af21dff-5f3c-4f2e-8670-865ed442fddd,completed,completed,v0.1.0,849.5280431111654,483328,1363971,1332,476.861019,cpu
sep-r32-l64,5,117005,28bccdc1-cf87-4288-9f8c-c5aa10ebd9c4,completed,completed,v0.1.0,894.82482147216797,2276032,2551555,39868,1286.049299,cpu
blk-r32-l64,5,117005,f0ef951f-56ca-462e-b58e-69c16b95d38f,completed,completed,v0.1.0,895.25988388061523,2283136,2499907,39061,1287.804478,cpu
sep-r2-l1024,5,117005,86a2ea32-8849-44d7-9d1f-829e80a83ae3,completed,completed,v0.1.0,856.67338943481445,928768,2421763,2365,952.841767,cpu
blk-r2-l1024,5,117005,08a7896d-52e4-48b7-8e20-891a44e10c61,completed,completed,v0.1.0,882.33213806152344,582656,1630211,1592,596.728779,cpu
sep-r32-l64,6,117006,cbdb3e0f-e6b5-4f2e-bc96-dc6c92058960,completed,completed,v0.1.0,914.32895278930664,2133568,2442883,38170,1179.183232,cpu
blk-r32-l64,6,117006,c05d83a6-20b4-43a4-99a9-634ad0ea746a,completed,completed,v0.1.0,880.69174702962243,2238656,2472643,38635,1278.890924,cpu
sep-r2-l1024,6,117006,389502e3-af8b-445f-bed3-60f21833c184,completed,completed,v0.1.0,919.24247105916345,2607104,2776067,2711,1096.741947,cpu
blk-r2-l1024,6,117006,12c2d346-a58b-4d78-84a2-694b33d241f2,completed,completed,v0.1.0,896.53790283203125,592896,1460227,1426,592.823090,cpu
sep-r32-l64,7,117007,77606b98-794e-40ab-a635-002631d59a69,completed,completed,v0.1.0,911.80328241984046,944320,2354307,36786,1225.979863,cpu
blk-r32-l64,7,117007,8ec8ab09-6deb-4f97-9348-73cdd7875c83,completed,completed,v0.1.0,899.97914632161462,2254400,2483459,38804,1384.138695,cpu
sep-r2-l1024,7,117007,9389a796-c470-4796-a102-ef25385586ac,completed,completed,v0.1.0,967.40106964111328,2609152,2830339,2764,1220.666945,cpu
blk-r2-l1024,7,117007,cca0d2ce-c70c-4f8f-a010-2e0e514018bf,completed,completed,v0.1.0,826.38998667399085,1267712,1403907,1371,589.763679,cpu
sep-r32-l64,8,117008,298ab844-58fd-46be-a076-1131897c9e07,completed,completed,v0.1.0,827.72542953491211,2317696,2548803,39825,1353.029843,cpu
blk-r32-l64,8,117008,aa137b0a-01d7-43a7-82ac-29d456c21d23,completed,completed,v0.1.0,884.57733535766602,1611392,2450627,38291,1356.280862,cpu
sep-r2-l1024,8,117008,f56fdf91-82d6-4cda-86e4-88440238cd73,completed,completed,v0.1.0,846.46557998657227,2180096,2301955,2248,797.549759,cpu
blk-r2-l1024,8,117008,dcbd5daf-d7c9-4590-8208-b66c78d00bb9,completed,completed,v0.1.0,909.53461201985681,478208,1320963,1290,468.403004,cpu
sep-r32-l64,9,117009,2a7f5ed8-4143-46b1-9dee-7e2da0be8e9f,completed,completed,v0.1.0,902.85350163777673,2425216,2435523,38055,1273.869332,cpu
blk-r32-l64,9,117009,46863ebd-0777-43e7-8736-4d1330f9d53a,completed,completed,v0.1.0,896.71750132242835,792960,2510851,39232,1403.050412,cpu
sep-r2-l1024,9,117009,869fc3ef-b1ce-4655-8f95-7e4cc7bcf8f8,completed,completed,v0.1.0,991.19587453206384,2288640,2595843,2535,1200.300303,cpu
blk-r2-l1024,9,117009,1a07cf6b-35a4-40a1-8641-434f44e71f6c,completed,completed,v0.1.0,1069.1307322184246,598016,1675267,1636,585.155027,cpu
sep-r32-l64,10,117010,a4a0a022-12fb-45d4-b037-c0e42c79aec8,completed,completed,v0.1.0,906.98961893717444,837184,2280387,35631,1191.366950,cpu
blk-r32-l64,10,117010,c8ae8211-8523-4d84-8118-335f32a7627f,completed,completed,v0.1.0,895.74474843343103,760576,2617347,40896,1462.150317,cpu
sep-r2-l1024,10,117010,96b7d7d1-038b-4023-a8ef-031205d79148,completed,completed,v0.1.0,891.09822336832679,1798144,2203651,2152,945.851721,cpu
blk-r2-l1024,10,117010,61112923-ea1f-4ac0-bd3f-fdb3974d27f3,completed,completed,v0.1.0,890.59501647949219,1392640,1583107,1546,678.502381,cpu
sep-r32-l64,11,117011,37c294fb-675b-4fa4-b938-fe04cab112c2,completed,completed,v0.1.0,900.11355336507165,805952,2260227,35316,1233.800157,cpu
blk-r32-l64,11,117011,c760469e-2683-4113-a5fd-ff4f5d8bf140,completed,completed,v0.1.0,847.71947479248047,1534144,2404995,37578,1329.375913,cpu
sep-r2-l1024,11,117011,d625d945-e91e-49bb-a721-795ae8a22540,completed,completed,v0.1.0,956.58150482177734,2462720,2766851,2702,1250.911406,cpu
blk-r2-l1024,11,117011,012cfcea-5ff3-4fb8-a727-51a27d8dd286,completed,completed,v0.1.0,897.46067428588867,1372160,1444867,1411,612.013149,cpu
sep-r32-l64,12,117012,d319122d-ef72-4be5-a68d-723cea5b7722,completed,completed,v0.1.0,823.35834757486975,877952,2458691,38417,1351.394551,cpu
blk-r32-l64,12,117012,329d697a-dd33-4074-8661-6aac9bedacc9,completed,completed,v0.1.0,862.30135981241858,1522880,2448515,38258,1364.512291,cpu
sep-r2-l1024,12,117012,3d228e59-26a1-440a-b421-9699873db81a,completed,completed,v0.1.0,876.46892420450843,901120,1931267,1886,638.804375,cpu
blk-r2-l1024,12,117012,a63e81e4-17b7-49d0-b502-a21453cb14e0,completed,completed,v0.1.0,910.4132080078125,1343488,1658883,1620,608.733009,cpu
sep-r32-l64,13,117013,166e7bec-5496-4e58-8af9-f3914294e814,completed,completed,v0.1.0,896.69451777140296,1186816,2245443,35085,1202.163597,cpu
blk-r32-l64,13,117013,d83574eb-9d7b-4719-91e8-e5ff6dd8de20,completed,completed,v0.1.0,955.716542561849,1210048,2416643,37760,1336.093944,cpu
sep-r2-l1024,13,117013,52df5cc1-582a-4f6b-8580-17e586543a8b,completed,completed,v0.1.0,960.77401224772132,2043904,2212867,2161,862.969130,cpu
blk-r2-l1024,13,117013,e765fcab-d213-4358-871b-a25379e278f0,completed,completed,v0.1.0,879.93807093302405,661504,1528835,1493,621.744411,cpu
sep-r32-l64,14,117014,77b12301-9ad6-453d-933c-02777533cba9,completed,completed,v0.1.0,840.7777214050293,2124352,2409411,37647,1208.203434,cpu
blk-r32-l64,14,117014,e771a317-6562-4a84-9739-5ff3f68b1ed7,completed,completed,v0.1.0,887.80507278442383,401472,2596547,40571,1318.006823,cpu
sep-r2-l1024,14,117014,915f036c-f74d-4245-a05f-48af200e06c0,completed,completed,v0.1.0,845.03296788533532,1078272,2185219,2134,835.875123,cpu
blk-r2-l1024,14,117014,82161397-4cf9-42b4-b865-37ccc859fe80,completed,completed,v0.1.0,948.72529347737634,769024,1696771,1657,630.034194,cpu
sep-r32-l64,15,117015,20120b85-53fd-4391-a076-06fe3bb77a9f,completed,completed,v0.1.0,904.60835520426429,1969152,2270659,35479,1085.806253,cpu
blk-r32-l64,15,117015,7ac61642-554d-4d18-a6f3-0c4ba9f0244d,completed,completed,v0.1.0,826.85249710083008,2541056,2545859,39779,1180.413737,cpu
sep-r2-l1024,15,117015,0fea1150-e789-448d-a3c7-6335d30ce4c6,completed,completed,v0.1.0,931.71410751342773,1531904,1646595,1608,599.184852,cpu
blk-r2-l1024,15,117015,179fee56-a0ad-4a55-aaf2-861d98848114,completed,completed,v0.1.0,822.65945180257165,582656,1402883,1370,421.989247,cpu
