arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
sep-ipop,1,116001,2d6145cd-e910-4998-84a6-1e8b3e43576d,completed,completed,v0.1.0,851.01703770955407,9390080,12582915,4157,3639.494601,cpu
blk-ipop,1,116001,5fe02d60-88b9-41fd-9c26-c7741ebe588e,completed,completed,v0.1.0,815.77034123738611,12141568,12582915,3277,3192.472097,cpu
sep-ipop-passive,1,116001,20b93915-2a9f-4a0a-8ac3-77bc6b846bec,completed,completed,v0.1.0,851.01703770955407,9390080,12582915,4157,3635.609170,cpu
sep-ipop,2,116002,d1d53924-07f0-4400-a1f0-c44c37c16e9a,completed,completed,v0.1.0,864.20981852213538,12574720,12582915,4711,3944.953003,cpu
blk-ipop,2,116002,b2e01537-508b-4167-9a3a-49b232a5d423,completed,completed,v0.1.0,801.51598866780603,8656896,12582915,3418,3214.083144,cpu
sep-ipop-passive,2,116002,8d968ce6-2989-42a2-a93b-d3b9f823c00e,completed,completed,v0.1.0,864.20981852213538,12574720,12582915,4711,3940.256574,cpu
sep-ipop,3,116003,aa961ee7-1129-4f87-8576-97ec17e032a5,completed,completed,v0.1.0,842.04048029581702,7745536,12582915,4072,3468.947785,cpu
blk-ipop,3,116003,21c0e5cc-8e69-47c5-8bdd-71feff1cde2f,completed,completed,v0.1.0,819.87374877929688,12327936,12582915,3252,3685.431201,cpu
sep-ipop-passive,3,116003,656cd3db-148f-423b-8c24-1a397a05fe78,completed,completed,v0.1.0,842.04048029581702,7745536,12582915,4072,3226.093689,cpu
sep-ipop,4,116004,c54feb3d-8c8e-46f1-967d-fd112ea9fdae,completed,completed,v0.1.0,853.99683125813806,2225152,12582915,3915,3853.063671,cpu
blk-ipop,4,116004,9a6dd10c-35b1-46fd-88d4-fff7987ce078,completed,completed,v0.1.0,844.870839436849,12141568,12582915,3270,3396.306089,cpu
sep-ipop-passive,4,116004,c8538cf8-3b1e-4edf-96f9-c8d5666a3ea4,completed,completed,v0.1.0,853.99683125813806,2225152,12582915,3915,3801.075774,cpu
sep-ipop,5,116005,290ca838-62ff-4713-8043-9b1895ae07d7,completed,completed,v0.1.0,848.98754247029626,10045440,12582915,4887,3088.907588,cpu
blk-ipop,5,116005,c207f51c-7db8-4821-af64-c2e4537188a2,completed,completed,v0.1.0,842.47702153523767,1844224,12582915,3227,2872.660053,cpu
sep-ipop-passive,5,116005,28a78bd4-bb40-4cec-a4ea-b9ff17915b92,completed,completed,v0.1.0,848.98754247029626,10045440,12582915,4887,3079.502521,cpu
sep-ipop,6,116006,dd3ab401-6a8b-4360-a41c-4fa22b94df41,completed,completed,v0.1.0,836.90595626831055,4282368,12582915,4321,3304.519718,cpu
blk-ipop,6,116006,d0a03d0a-9e72-4e64-bbe8-02db4c7a4de1,completed,completed,v0.1.0,746.99529393514001,11678720,12582915,3094,3384.091720,cpu
sep-ipop-passive,6,116006,09797a41-27bd-4594-8d27-98cb02274be7,completed,completed,v0.1.0,836.90595626831055,4282368,12582915,4321,3303.026252,cpu
sep-ipop,7,116007,771cb3f1-16b6-4ba9-b8d5-6cf6d9f53887,completed,completed,v0.1.0,881.63348388671875,850944,12582915,4529,3118.835039,cpu
blk-ipop,7,116007,90897a07-3f6a-402a-87cc-7898c696a5a1,completed,completed,v0.1.0,797.59415435791016,12574720,12582915,3588,3723.521063,cpu
sep-ipop-passive,7,116007,2d1f36bd-eabb-4170-b1d8-d4c1974d3b8d,completed,completed,v0.1.0,881.63348388671875,850944,12582915,4529,3116.297626,cpu
sep-ipop,8,116008,ece3b00f-0662-46b0-b7eb-3a00211846d6,completed,completed,v0.1.0,874.48683166503906,785408,12582915,4655,3143.542415,cpu
blk-ipop,8,116008,6ddac23e-4a68-4585-b3c0-bebe951a58ee,completed,completed,v0.1.0,796.67606353759766,6181888,12582915,3334,3115.382335,cpu
sep-ipop-passive,8,116008,db985d66-26ec-42d9-b0b8-398567beb83a,completed,completed,v0.1.0,874.48683166503906,785408,12582915,4655,3148.635077,cpu
sep-ipop,9,116009,09963ce7-83a2-471f-b002-3aab7d9f6921,completed,completed,v0.1.0,877.56991577148438,8697856,12582915,4275,3577.604607,cpu
blk-ipop,9,116009,13b351e7-b5d2-4c6b-a3cb-e231b8d5b806,completed,completed,v0.1.0,857.31424967447913,12534784,12582915,3272,3252.895632,cpu
sep-ipop-passive,9,116009,e39db25c-aac5-4759-a2c2-43f628181eb4,completed,completed,v0.1.0,877.56991577148438,8697856,12582915,4275,3578.166602,cpu
sep-ipop,10,116010,52ea7f58-3566-446f-bcc0-8f6f9ced6858,completed,completed,v0.1.0,828.78842544555664,8764416,12582915,4232,3304.016344,cpu
blk-ipop,10,116010,f57a298e-6c83-4797-8b78-4756f6a9ef72,completed,completed,v0.1.0,913.16827011108398,658432,12582915,3554,3696.204128,cpu
