arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop,1,116001,0,0,large,1024,810,829440,906.15815226236975,tol_fun
sep-ipop,1,116001,0,1,large,2048,1284,2629632,1156.2620493570964,tol_fun
sep-ipop,1,116001,0,2,large,4096,1898,7774208,851.01703770955407,tol_fun
sep-ipop,1,116001,0,3,large,8192,165,1349632,1265.1387278238933,maximum_evaluations
blk-ipop,1,116001,0,0,large,1024,749,766976,940.1359748840332,tol_fun
blk-ipop,1,116001,0,1,large,2048,676,1384448,950.95229848225915,tol_fun
blk-ipop,1,116001,0,2,large,4096,1157,4739072,870.9333279927572,tol_fun
blk-ipop,1,116001,0,3,large,8192,695,5692416,815.77034123738611,maximum_evaluations
sep-ipop-passive,1,116001,0,0,large,1024,810,829440,906.15815226236975,tol_fun
sep-ipop-passive,1,116001,0,1,large,2048,1284,2629632,1156.2620493570964,tol_fun
sep-ipop-passive,1,116001,0,2,large,4096,1898,7774208,851.01703770955407,tol_fun
sep-ipop-passive,1,116001,0,3,large,8192,165,1349632,1265.1387278238933,maximum_evaluations
sep-ipop,2,116002,0,0,large,1024,1336,1368064,1202.6272506713867,tol_fun
sep-ipop,2,116002,0,1,large,2048,1274,2609152,1234.9304478963215,tol_fun
sep-ipop,2,116002,0,2,large,4096,2101,8605696,864.20981852213538,maximum_evaluations
blk-ipop,2,116002,0,0,large,1024,1002,1026048,954.42588806152344,tol_fun
blk-ipop,2,116002,0,1,large,2048,748,1531904,1043.632376352946,tol_fun
blk-ipop,2,116002,0,2,large,4096,889,3641344,892.07085673014319,tol_fun
blk-ipop,2,116002,0,3,large,8192,779,6383616,801.51598866780603,maximum_evaluations
sep-ipop-passive,2,116002,0,0,large,1024,1336,1368064,1202.6272506713867,tol_fun
sep-ipop-passive,2,116002,0,1,large,2048,1274,2609152,1234.9304478963215,tol_fun
sep-ipop-passive,2,116002,0,2,large,4096,2101,8605696,864.20981852213538,maximum_evaluations
sep-ipop,3,116003,0,0,large,1024,1060,1085440,1229.9972356160481,tol_fun
sep-ipop,3,116003,0,1,large,2048,1048,2146304,868.27702331542969,tol_fun
sep-ipop,3,116003,0,2,large,4096,1645,6737920,842.04048029581702,tol_fun
sep-ipop,3,116003,0,3,large,8192,319,2613248,967.01589202880859,maximum_evaluations
blk-ipop,3,116003,0,0,large,1024,805,824320,960.47246805826819,tol_fun
blk-ipop,3,116003,0,1,large,2048,635,1300480,877.38420867919922,tol_fun
blk-ipop,3,116003,0,2,large,4096,1071,4386816,993.35082753499353,tol_fun
blk-ipop,3,116003,0,3,large,8192,741,6071296,819.87374877929688,maximum_evaluations
sep-ipop-passive,3,116003,0,0,large,1024,1060,1085440,1229.9972356160481,tol_fun
sep-ipop-passive,3,116003,0,1,large,2048,1048,2146304,868.27702331542969,tol_fun
sep-ipop-passive,3,116003,0,2,large,4096,1645,6737920,842.04048029581702,tol_fun
sep-ipop-passive,3,116003,0,3,large,8192,319,2613248,967.01589202880859,maximum_evaluations
sep-ipop,4,116004,0,0,large,1024,861,881664,1152.2350514729817,tol_fun
sep-ipop,4,116004,0,1,large,2048,801,1640448,853.99683125813806,tol_fun
sep-ipop,4,116004,0,2,large,4096,2049,8392704,1239.9405784606934,tol_fun
sep-ipop,4,116004,0,3,large,8192,204,1668096,1164.8137016296387,maximum_evaluations
blk-ipop,4,116004,0,0,large,1024,743,760832,893.46701431274414,tol_fun
blk-ipop,4,116004,0,1,large,2048,737,1509376,889.47077433268225,tol_fun
blk-ipop,4,116004,0,2,large,4096,1062,4349952,889.1190083821615,tol_fun
blk-ipop,4,116004,0,3,large,8192,728,5962752,844.870839436849,maximum_evaluations
sep-ipop-passive,4,116004,0,0,large,1024,861,881664,1152.2350514729817,tol_fun
sep-ipop-passive,4,116004,0,1,large,2048,801,1640448,853.99683125813806,tol_fun
sep-ipop-passive,4,116004,0,2,large,4096,2049,8392704,1239.9405784606934,tol_fun
sep-ipop-passive,4,116004,0,3,large,8192,204,1668096,1164.8137016296387,maximum_evaluations
sep-ipop,5,116005,0,0,large,1024,962,985088,886.36834843953454,tol_fun
sep-ipop,5,116005,0,1,large,2048,2186,4476928,860.59438959757483,tol_fun
sep-ipop,5,116005,0,2,large,4096,1739,7120896,848.98754247029626,maximum_evaluations
blk-ipop,5,116005,0,0,large,1024,707,723968,1198.7520917256672,tol_fun
blk-ipop,5,116005,0,1,large,2048,658,1347584,842.47702153523767,tol_fun
blk-ipop,5,116005,0,2,large,4096,1158,4743168,1084.7694829305012,tol_fun
blk-ipop,5,116005,0,3,large,8192,704,5768192,1046.3826866149902,maximum_evaluations
sep-ipop-passive,5,116005,0,0,large,1024,962,985088,886.36834843953454,tol_fun
sep-ipop-passive,5,116005,0,1,large,2048,2186,4476928,860.59438959757483,tol_fun
sep-ipop-passive,5,116005,0,2,large,4096,1739,7120896,848.98754247029626,maximum_evaluations
sep-ipop,6,116006,0,0,large,1024,1006,1030144,1018.2581570943197,tol_fun
sep-ipop,6,116006,0,1,large,2048,1737,3557376,836.90595626831055,tol_fun
sep-ipop,6,116006,0,2,large,4096,1203,4927488,892.60753122965491,tol_fun
sep-ipop,6,116006,0,3,large,8192,375,3067904,1070.9661254882812,maximum_evaluations
blk-ipop,6,116006,0,0,large,1024,581,594944,793.10763804117835,tol_fun
blk-ipop,6,116006,0,1,large,2048,640,1310720,1128.1784540812175,tol_fun
blk-ipop,6,116006,0,2,large,4096,1140,4669440,863.22856775919593,tol_fun
blk-ipop,6,116006,0,3,large,8192,733,6007808,746.99529393514001,maximum_evaluations
sep-ipop-passive,6,116006,0,0,large,1024,1006,1030144,1018.2581570943197,tol_fun
sep-ipop-passive,6,116006,0,1,large,2048,1737,3557376,836.90595626831055,tol_fun
sep-ipop-passive,6,116006,0,2,large,4096,1203,4927488,892.60753122965491,tol_fun
sep-ipop-passive,6,116006,0,3,large,8192,375,3067904,1070.9661254882812,maximum_evaluations
sep-ipop,7,116007,0,0,large,1024,1037,1061888,881.63348388671875,tol_fun
sep-ipop,7,116007,0,1,large,2048,1359,2783232,903.23140335083008,tol_fun
sep-ipop,7,116007,0,2,large,4096,2133,8737792,927.09043629964196,maximum_evaluations
blk-ipop,7,116007,0,0,large,1024,1058,1083392,940.86200205485022,tol_fun
blk-ipop,7,116007,0,1,large,2048,755,1546240,827.66778310139978,tol_fun
blk-ipop,7,116007,0,2,large,4096,1120,4587520,1188.7321955362956,tol_fun
blk-ipop,7,116007,0,3,large,8192,655,5365760,797.59415435791016,maximum_evaluations
sep-ipop-passive,7,116007,0,0,large,1024,1037,1061888,881.63348388671875,tol_fun
sep-ipop-passive,7,116007,0,1,large,2048,1359,2783232,903.23140335083008,tol_fun
sep-ipop-passive,7,116007,0,2,large,4096,2133,8737792,927.09043629964196,maximum_evaluations
sep-ipop,8,116008,0,0,large,1024,965,988160,874.48683166503906,tol_fun
sep-ipop,8,116008,0,1,large,2048,2016,4128768,890.15154902140296,tol_fun
sep-ipop,8,116008,0,2,large,4096,1526,6250496,946.96685536702478,tol_fun
sep-ipop,8,116008,0,3,large,8192,148,1215488,1300.6652336120605,maximum_evaluations
blk-ipop,8,116008,0,0,large,1024,691,707584,853.29486592610681,tol_fun
blk-ipop,8,116008,0,1,large,2048,875,1792000,812.61646270751953,tol_fun
blk-ipop,8,116008,0,2,large,4096,1075,4403200,796.67606353759766,tol_fun
blk-ipop,8,116008,0,3,large,8192,693,5680128,901.23269780476892,maximum_evaluations
sep-ipop-passive,8,116008,0,0,large,1024,965,988160,874.48683166503906,tol_fun
sep-ipop-passive,8,116008,0,1,large,2048,2016,4128768,890.15154902140296,tol_fun
sep-ipop-passive,8,116008,0,2,large,4096,1526,6250496,946.96685536702478,tol_fun
sep-ipop-passive,8,116008,0,3,large,8192,148,1215488,1300.6652336120605,maximum_evaluations
sep-ipop,9,116009,0,0,large,1024,940,962560,877.73436228434241,tol_fun
sep-ipop,9,116009,0,1,large,2048,1555,3184640,1089.3725229899089,tol_fun
sep-ipop,9,116009,0,2,large,4096,1501,6148096,877.56991577148438,tol_fun
sep-ipop,9,116009,0,3,large,8192,279,2287616,1080.7378819783528,maximum_evaluations
blk-ipop,9,116009,0,0,large,1024,659,674816,1041.860876719157,tol_fun
blk-ipop,9,116009,0,1,large,2048,933,1910784,962.95322163899743,tol_fun
blk-ipop,9,116009,0,2,large,4096,919,3764224,1142.5527318318684,tol_fun
blk-ipop,9,116009,0,3,large,8192,761,6233088,857.31424967447913,maximum_evaluations
sep-ipop-passive,9,116009,0,0,large,1024,940,962560,877.73436228434241,tol_fun
sep-ipop-passive,9,116009,0,1,large,2048,1555,3184640,1089.3725229899089,tol_fun
sep-ipop-passive,9,116009,0,2,large,4096,1501,6148096,877.56991577148438,tol_fun
sep-ipop-passive,9,116009,0,3,large,8192,279,2287616,1080.7378819783528,maximum_evaluations
sep-ipop,10,116010,0,0,large,1024,913,934912,967.37069702148438,tol_fun
sep-ipop,10,116010,0,1,large,2048,1133,2320384,892.45661544799805,tol_fun
sep-ipop,10,116010,0,2,large,4096,2095,8581120,828.78842544555664,tol_fun
sep-ipop,10,116010,0,3,large,8192,91,746496,1386.4846293131511,maximum_evaluations
blk-ipop,10,116010,0,0,large,1024,815,834560,913.16827011108398,tol_fun
blk-ipop,10,116010,0,1,large,2048,754,1544192,937.23230743408203,tol_fun
blk-ipop,10,116010,0,2,large,4096,1479,6057984,1196.1384925842285,tol_fun
blk-ipop,10,116010,0,3,large,8192,506,4146176,952.16938908894861,maximum_evaluations
sep-ipop-passive,10,116010,0,0,large,1024,913,934912,967.37069702148438,tol_fun
sep-ipop-passive,10,116010,0,1,large,2048,1133,2320384,892.45661544799805,tol_fun
sep-ipop-passive,10,116010,0,2,large,4096,2095,8581120,828.78842544555664,tol_fun
sep-ipop-passive,10,116010,0,3,large,8192,91,746496,1386.4846293131511,maximum_evaluations
sep-ipop,11,116011,0,0,large,1024,1359,1391616,1135.1665827433269,tol_fun
sep-ipop,11,116011,0,1,large,2048,1101,2254848,884.23133595784509,tol_fun
sep-ipop,11,116011,0,2,large,4096,1742,7135232,954.78743743896484,tol_fun
sep-ipop,11,116011,0,3,large,8192,220,1801216,1106.0293846130371,maximum_evaluations
blk-ipop,11,116011,0,0,large,1024,685,701440,872.68544387817383,tol_fun
blk-ipop,11,116011,0,1,large,2048,963,1972224,1122.6411158243816,tol_fun
blk-ipop,11,116011,0,2,large,4096,947,3878912,827.0898221333822,tol_fun
blk-ipop,11,116011,0,3,large,8192,736,6030336,1210.5314191182454,maximum_evaluations
sep-ipop-passive,11,116011,0,0,large,1024,1359,1391616,1135.1665827433269,tol_fun
sep-ipop-passive,11,116011,0,1,large,2048,1101,2254848,884.23133595784509,tol_fun
sep-ipop-passive,11,116011,0,2,large,4096,1742,7135232,954.78743743896484,tol_fun
