arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
sep-ipop,1,116001,1,1024,9873.3490753173828,,0.29004013390297811,5.8864902551838973,0.092316412301849976,0
sep-ipop,1,116001,5,5120,2105.0047416687012,,0.91092953261670861,44.061007855735127,0.63476309219901617,0
sep-ipop,1,116001,48,49152,1518.078406016032,,7.9073161665973055,329.26232446806665,0.26907244411413556,0
sep-ipop,1,116001,96,98304,1306.0562527974446,,42.242584140850873,1409.0711927791126,0.27128104378204199,0
sep-ipop,1,116001,144,147456,1161.3317019144695,,305.6415212941065,4216.3451464029658,0.23201475073213576,0
sep-ipop,1,116001,160,163840,1107.4343566894531,,795.99456022422942,3302.8443427060906,0.25202398424591854,0
sep-ipop,1,116001,192,196608,1002.9239184061686,,3928.3680679309659,3486.0727120769257,0.24478852217899422,0
sep-ipop,1,116001,240,245760,954.33236948649085,,33777.264382520654,15472.042849075187,0.16263939861861626,0
sep-ipop,1,116001,255,261120,944.64132944742835,,55908.323739476633,38186.046416160432,0.13888144551969886,0
sep-ipop,1,116001,288,294912,938.57489522298181,,184365.57459879713,912017.68788830715,0.19729938866961666,0
sep-ipop,1,116001,336,344064,932.45749028523767,,2584625.595661338,429947.11340130627,0.22968511403307865,0
sep-ipop,1,116001,384,393216,912.632090250651,,46790766.984484531,34501.35294563794,0.060127565874490252,0
sep-ipop,1,116001,432,442368,907.99536895751953,,80417174.971144006,145851.46427625796,0.016147869802883939,0
sep-ipop,1,116001,480,491520,906.66434733072913,,221766887.5186815,411109.53769265633,0.0076263118253595092,0
sep-ipop,1,116001,528,540672,906.3292236328125,,391129080.85975266,4748955.2845296999,0.0056351784280798279,0
sep-ipop,1,116001,576,589824,906.19800186157227,,665263378.09979343,131539915.80126078,0.0065418301776511579,0
sep-ipop,1,116001,624,638976,906.16565322875977,,1100022966.0071139,63428821.91305887,0.0037835029626006851,0
sep-ipop,1,116001,672,688128,906.15815226236975,,3140002326.1986551,1539804233.1850474,0.0046708808779009955,0
sep-ipop,1,116001,720,737280,906.15815226236975,,8002960129.7062845,3248108965.7717776,0.0040095569180420322,0
sep-ipop,1,116001,768,786432,906.15815226236975,,6469548163.1737432,3448308380.816021,0.0029148197852233398,0
sep-ipop,1,116001,813,835584,906.15815226236975,,0.50930728279902304,4.316957984097674,0.7807475187070736,1
sep-ipop,1,116001,837,884736,906.15815226236975,,1.1118122634472065,13.903497129835676,0.47611943518814709,1
sep-ipop,1,116001,861,933888,906.15815226236975,,2.3755870973734092,74.152377704442955,0.30870932251257693,1
sep-ipop,1,116001,885,983040,906.15815226236975,,10.240475498348763,420.70655819787493,0.29418602042876058,1
sep-ipop,1,116001,909,1032192,906.15815226236975,,19.230513423866821,3524.8537876311416,0.28709433443626231,1
sep-ipop,1,116001,933,1081344,906.15815226236975,,82.228383498182936,1966.1742717826162,0.31161206260760566,1
sep-ipop,1,116001,957,1130496,906.15815226236975,,220.95790316520396,5729.5267879810926,0.24602979862745702,1
sep-ipop,1,116001,981,1179648,906.15815226236975,,779.87173448438352,11713.305903959277,0.2600217104084418,1
sep-ipop,1,116001,1005,1228800,906.15815226236975,,3094.5264366037768,15024.807075346407,0.27549556570156525,1
sep-ipop,1,116001,1029,1277952,906.15815226236975,,13694.339808823728,9233.1006061105545,0.27978217963811058,1
sep-ipop,1,116001,1053,1327104,906.15815226236975,,72899.010631526107,6580.367498081423,0.27513067784824502,1
sep-ipop,1,116001,1077,1376256,906.15815226236975,,384419.19610969798,6665.4636143068992,0.28153190699368846,1
sep-ipop,1,116001,1101,1425408,906.15815226236975,,1714597.672239972,12576.499494492506,0.27474506762304673,1
sep-ipop,1,116001,1125,1474560,906.15815226236975,,6321231.5252557397,12883.487612244247,0.25916091861362406,1
sep-ipop,1,116001,1149,1523712,906.15815226236975,,19321103.639155228,27604.273483521793,0.22662987957800942,1
sep-ipop,1,116001,1173,1572864,906.15815226236975,,44066741.158859678,91198.20394874792,0.2219033472079317,1
sep-ipop,1,116001,1197,1622016,906.15815226236975,,90138714.349867731,138922.16730971844,0.22544033257358978,1
sep-ipop,1,116001,1221,1671168,906.15815226236975,,230555943.69642785,160880.27370129942,0.24582880203784649,1
sep-ipop,1,116001,1245,1720320,906.15815226236975,,1668089351.5398452,79912.107659206798,0.15975126401241324,1
sep-ipop,1,116001,1269,1769472,906.15815226236975,,3633914861.1844673,112494.80955780618,0.074461888622792544,1
sep-ipop,1,116001,1293,1818624,906.15815226236975,,7356443805.4100475,112959.85317087619,0.04653091687232698,1
sep-ipop,1,116001,1317,1867776,906.15815226236975,,15720403307.559143,651192.55886462005,0.050325363381280339,1
sep-ipop,1,116001,1341,1916928,906.15815226236975,,34565726572.575813,5792256.706481182,0.05143493115940366,1
sep-ipop,1,116001,1365,1966080,906.15815226236975,,51041161584.16993,5110422.9954079567,0.039175858567535179,1
sep-ipop,1,116001,1389,2015232,906.15815226236975,,148903866235.00528,4409956.0552131636,0.051019808358217393,1
sep-ipop,1,116001,1413,2064384,906.15815226236975,,277955975240.14777,11435752.066751918,0.050272209833419991,1
sep-ipop,1,116001,1437,2113536,906.15815226236975,,634275179170.70483,31645194.049297672,0.04432296245534046,1
sep-ipop,1,116001,1461,2162688,906.15815226236975,,929976252603.30493,852912619.17583287,0.049052188046676271,1
sep-ipop,1,116001,1485,2211840,906.15815226236975,,1257314042188.1938,2439719489.4325533,0.043188399234884461,1
sep-ipop,1,116001,1509,2260992,906.15815226236975,,2116938587556.0691,2387954780.921371,0.04152046193292485,1
sep-ipop,1,116001,1533,2310144,906.15815226236975,,3023811180315.0254,3057114837.7551279,0.037959064338606803,1
sep-ipop,1,116001,1557,2359296,906.15815226236975,,4509276151902.5479,12842323429.625515,0.045778272150157263,1
sep-ipop,1,116001,1581,2408448,906.15815226236975,,8475181670452.3027,12577166355.874292,0.044230925672374355,1
sep-ipop,1,116001,1605,2457600,906.15815226236975,,20363581762873.566,31307746186.391132,0.049674095153856929,1
sep-ipop,1,116001,1629,2506752,906.15815226236975,,43539079076877.328,49865811947.119499,0.045981663426225797,1
sep-ipop,1,116001,1653,2555904,906.15815226236975,,58632044229221.203,41425154248.164032,0.03328960658482031,1
sep-ipop,1,116001,1677,2605056,906.15815226236975,,58500564846342.43,42886279017.437958,0.030548208860420346,1
sep-ipop,1,116001,1701,2654208,906.15815226236975,,58033272508591.391,48231728186.643288,0.028516316737916339,1
sep-ipop,1,116001,1725,2703360,906.15815226236975,,59638477938798.875,94772738830.088242,0.028616536575393106,1
sep-ipop,1,116001,1749,2752512,906.15815226236975,,59287078675405.922,138699032614.80508,0.033532356247478204,1
sep-ipop,1,116001,1773,2801664,906.15815226236975,,60309316420958.586,168930661996.26633,0.03357923030507242,1
sep-ipop,1,116001,1797,2850816,906.15815226236975,,67265160368450.359,82142423146.470428,0.028173331585307097,1
sep-ipop,1,116001,1821,2899968,906.15815226236975,,72058533190110.25,99206799559.509827,0.030171213550805535,1
sep-ipop,1,116001,1845,2949120,906.15815226236975,,70002275346708.172,173046462527.65814,0.039827198428277054,1
sep-ipop,1,116001,1869,2998272,906.15815226236975,,72753740693380.375,330088993036.55206,0.042965610266288437,1
sep-ipop,1,116001,1893,3047424,906.15815226236975,,72339003086485.438,302507652620.22437,0.034832596924241212,1
sep-ipop,1,116001,1917,3096576,906.15815226236975,,77422632659673.516,204956995406.31955,0.027859651423626067,1
sep-ipop,1,116001,1941,3145728,906.15815226236975,,85702719129956.734,217582122607.30807,0.029540660079368668,1
sep-ipop,1,116001,1965,3194880,906.15815226236975,,86857975020787.766,254553638124.09775,0.028304648536565946,1
sep-ipop,1,116001,1989,3244032,906.15815226236975,,83222926637632.328,325024636240.93317,0.027838439156416574,1
sep-ipop,1,116001,2013,3293184,906.15815226236975,,86476923509324.922,437522345611.80707,0.03489660365777747,1
sep-ipop,1,116001,2037,3342336,906.15815226236975,,82289910667409.047,335694207051.29449,0.030079226736283767,1
sep-ipop,1,116001,2061,3391488,906.15815226236975,,82722108157918.281,306152462749.78101,0.025817923292342292,1
sep-ipop,1,116001,2085,3440640,906.15815226236975,,76809233096167.656,301614003565.78931,0.025713614047077615,1
sep-ipop,1,116001,2103,3495936,906.15815226236975,,0.78853314845845335,18.835539926258647,0.95795515099084472,2
sep-ipop,1,116001,2115,3545088,906.15815226236975,,1.1950543159667686,18.724772404265867,0.47479448944604191,2
sep-ipop,1,116001,2127,3594240,906.15815226236975,,1.9667281276346429,30.171943719647398,0.37253669721467997,2
sep-ipop,1,116001,2139,3643392,906.15815226236975,,3.6811464011266697,105.03292508503041,0.32676364049813295,2
sep-ipop,1,116001,2151,3692544,906.15815226236975,,6.8059456066757464,244.7803169546562,0.32929791079538617,2
sep-ipop,1,116001,2163,3741696,906.15815226236975,,9.7050540112343047,1030.3239315298072,0.32200107109111653,2
sep-ipop,1,116001,2175,3790848,906.15815226236975,,14.048454406184819,1567.4228579931696,0.30305522198167534,2
