arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
sep-ipop,1,114001,46f45cf9-7400-448a-a299-abd7a91a9f86,completed,completed,v0.1.0,812.51421356201172,7975936,12582915,4431,3669.857084,cpu
blk-ipop,1,114001,b027ceb1-9552-496e-9923-c020a7bc1524,completed,completed,v0.1.0,792.65095392862952,12450816,12582915,3148,3602.134859,cpu
blk-l4096,1,114001,c65e221f-0c0a-4fb9-963d-6e4dc0ce19ac,completed,completed,v0.1.0,951.89189656575525,2572288,3940355,962,947.653149,cpu
sep-l4096,1,114001,3f90b71a-5b70-41fc-8aec-30b1534cf139,completed,completed,v0.1.0,1069.2561594645183,3149824,5259267,1284,1380.493860,cpu
sep-ipop-s015,1,114001,c3e35f2c-a57e-4545-8e0b-82064a2af3da,completed,completed,v0.1.0,831.36457697550452,4244480,12582915,4205,3696.397929,cpu
sep-ipop-s050,1,114001,3930c107-43e5-4cd0-8cff-0ee061c0ad32,completed,completed,v0.1.0,880.7875862121582,3430400,12582915,4683,3927.172612,cpu
sep-ipop-passive,1,114001,c986048e-8c2b-452d-87e7-013c425815fe,completed,completed,v0.1.0,812.51421356201172,7975936,12582915,4431,3665.293766,cpu
sep-e8,1,114001,b061ffe3-0dee-424d-8bdd-c362ee5966ac,completed,completed,v0.1.0,934.62385940551758,2822144,5525507,5396,1839.056541,cpu
sep-warm-e8,1,114001,30ab5fa0-a773-4ce2-8894-8213f1eacaac,completed,completed,v0.1.0,742.55622736612952,4962304,5073923,4955,1504.036900,cpu
sep-ipop,2,114002,8383ea9c-c37a-4ed7-891a-7317c03bdb0e,completed,completed,v0.1.0,867.16571426391602,4303872,12582915,5227,3735.491657,cpu
blk-ipop,2,114002,a41aaba4-3465-4550-a2c7-be2dcdb262b4,completed,completed,v0.1.0,791.75850804646814,5963776,12582915,3467,3760.127091,cpu
blk-l4096,2,114002,fe11662d-c284-4be7-a021-57b1b6c6fba4,completed,completed,v0.1.0,856.36373011271155,3084288,5087235,1242,1454.174764,cpu
sep-l4096,2,114002,f4213329-78b6-4cfa-9db2-a8a215050665,completed,completed,v0.1.0,986.65309397379554,5484544,6787075,1657,1883.769600,cpu
sep-ipop-s015,2,114002,ad9e410e-58d8-49db-bf65-89fd53c9f687,completed,completed,v0.1.0,873.28585433959961,4253696,12582915,4734,3287.509573,cpu
sep-ipop-s050,2,114002,fc06fa8c-e8b3-4443-b5bc-0a1ef26081f6,completed,completed,v0.1.0,943.42600123087561,3825664,12582915,4547,3428.136807,cpu
sep-e8,2,114002,0a621887-520e-423e-bd7c-2bbbc0d33c78,completed,completed,v0.1.0,1251.160348256429,5508096,5739523,5605,2028.134521,cpu
sep-warm-e8,2,114002,58dbc0bd-0a56-40c0-900c-2566418e5fa0,completed,completed,v0.1.0,743.01576105753577,2502656,5264387,5141,1373.614500,cpu
sep-ipop,3,114003,d34222b3-8834-49a1-a736-ed781ab50e29,completed,completed,v0.1.0,856.8563117980957,12020736,12582915,4583,3364.930842,cpu
blk-ipop,3,114003,27591a44-eb5c-40d8-b4e5-6787b2a6cd08,completed,completed,v0.1.0,829.7186381022135,5349376,12582915,3319,3351.551442,cpu
blk-l4096,3,114003,e7cd1f70-7f5f-4ac7-a56b-84ee1eeceaf4,completed,completed,v0.1.0,1211.6567166646321,2891776,5652483,1380,1818.852698,cpu
sep-l4096,3,114003,d11fe5aa-9ad7-4a9f-a256-3cca45662590,completed,completed,v0.1.0,837.72284062703454,3907584,6119427,1494,1498.993904,cpu
sep-ipop-s015,3,114003,7d8ebb17-12d3-4a63-b0c4-49306ddc3036,completed,completed,v0.1.0,964.62048085530603,8296448,12582915,4237,3429.977127,cpu
sep-ipop-s050,3,114003,ec872911-e33f-48b7-91d5-e07c46cbc67d,completed,completed,v0.1.0,870.15151214599609,4922368,12582915,4831,3619.453987,cpu
sep-e8,3,114003,6d8a9e01-0479-4867-8ca7-d56247fb7a18,completed,completed,v0.1.0,892.59826787312829,4678656,5373955,5248,1538.664229,cpu
sep-warm-e8,3,114003,926d17b9-d28b-4edd-b16a-ba4ec28ea729,completed,completed,v0.1.0,742.58387629191077,2906112,4994051,4877,1259.081933,cpu
sep-ipop,4,114004,2788c7ee-9384-430c-87db-4476f0499538,completed,completed,v0.1.0,857.36890284220374,849920,12582915,4350,3339.848390,cpu
blk-ipop,4,114004,bb0ffe1a-966a-4aa4-8150-27132b6beb00,completed,completed,v0.1.0,750.51330947875977,12489728,12582915,3712,3365.743968,cpu
blk-l4096,4,114004,63bc2ec2-4cc1-4c11-931f-675f1a0cfedd,completed,completed,v0.1.0,1230.056827545166,3137536,4304899,1051,1306.237446,cpu
sep-l4096,4,114004,e551174a-8c66-4ba8-a6c3-425eb9eba1b8,completed,completed,v0.1.0,1045.3694699605305,5693440,9691139,2366,2487.944768,cpu
sep-ipop-s015,4,114004,4ca73273-b442-4ffc-b3b2-b8451975ed01,completed,completed,v0.1.0,825.15283330281579,2800640,12582915,4469,3054.301906,cpu
sep-ipop-s050,4,114004,a76815a1-2e1d-4889-87fc-fe90f27031c0,completed,completed,v0.1.0,836.99214426676429,5228544,12582915,4616,3244.401551,cpu
sep-e8,4,114004,7531d3e0-e9d5-49e1-959f-88015dc4def3,completed,completed,v0.1.0,850.77590306599939,4358144,5054467,4936,1202.942569,cpu
sep-warm-e8,4,114004,d2cb6413-f29a-48bd-95dc-28e2fceb6905,completed,completed,v0.1.0,743.06151453653968,3220480,5154819,5034,1303.034918,cpu
sep-ipop,5,114005,9b091c18-ec00-4653-8f18-476336f00e2d,completed,completed,v0.1.0,868.60967127482093,11087872,12582915,5346,3536.475741,cpu
blk-ipop,5,114005,0ab17ffb-8e9a-4d19-bc82-022daad38cc9,completed,completed,v0.1.0,855.45672861735022,1927168,12582915,3193,3473.952077,cpu
blk-l4096,5,114005,564b87e3-939b-4a0f-b2dd-4c1d7779bb35,completed,completed,v0.1.0,940.28142038981116,2297856,4075523,995,799.309936,cpu
sep-l4096,5,114005,f6de8d47-5bbd-4700-83ee-8a712fec4f48,completed,completed,v0.1.0,995.59271748860681,3411968,4132867,1009,1232.875047,cpu
sep-ipop-s015,5,114005,5e833b0f-b514-4aa5-a975-ffe287c1ebdb,completed,completed,v0.1.0,844.63464991251624,1044480,12582915,4102,3141.980561,cpu
sep-ipop-s050,5,114005,9a5879f1-dffd-4d37-ab44-e4b17b7ab1f2,completed,completed,v0.1.0,824.68245951334632,2719744,12582915,4340,2948.220485,cpu
sep-e8,5,114005,4f5e2ada-a4b3-4ecb-822e-a8de4d33fe13,completed,completed,v0.1.0,841.50545501708984,4872192,5491715,5363,1382.436573,cpu
sep-warm-e8,5,114005,cd00c06f-29c6-4a3e-b3e9-85197b8cec9c,completed,completed,v0.1.0,743.89231491088867,1379328,5199875,5078,1312.578242,cpu
sep-ipop,6,114006,e9fd0a4f-006d-4c97-864b-7e3f0c9e8b4a,completed,completed,v0.1.0,864.26234308878577,2910208,12582915,4322,3348.777251,cpu
blk-ipop,6,114006,dc561a27-6e51-463a-a37c-ea9818b5e085,completed,completed,v0.1.0,793.07600529988611,12527616,12582915,3336,3036.700974,cpu
blk-l4096,6,114006,3153021e-eb1b-43e4-bf3d-04f69f2bf330,completed,completed,v0.1.0,906.30519612630212,2736128,5685251,1388,1277.486003,cpu
sep-l4096,6,114006,2e52ed48-eee8-42a7-84e4-995b547ea8ae,completed,completed,v0.1.0,901.30924606323242,5672960,6742019,1646,1753.850401,cpu
sep-ipop-s015,6,114006,586e7829-384a-4a14-beac-87a4ae38189c,completed,completed,v0.1.0,909.35032145182288,3587072,12582915,4403,3145.564938,cpu
sep-ipop-s050,6,114006,fea6a405-2c6d-4f41-81c1-8877710d6fe9,completed,completed,v0.1.0,851.65842056274414,4116480,12582915,4730,3291.630245,cpu
sep-e8,6,114006,a6c26e28-1399-43ee-b86c-568f0473dd97,completed,completed,v0.1.0,918.68973795572913,5742592,5905411,5767,1816.938442,cpu
sep-warm-e8,6,114006,9efd9eae-b331-42d6-b96b-e75825bd21df,completed,completed,v0.1.0,742.55131276448571,4889600,5686275,5553,1443.484102,cpu
sep-ipop,7,114007,bd7ca7d7-1fa6-435c-b523-a2c395887ae3,completed,completed,v0.1.0,860.28712844848633,2917376,12582915,4507,3197.955558,cpu
blk-ipop,7,114007,65b38e2f-e75f-4d80-8ae9-822e8a28ede6,completed,completed,v0.1.0,726.19843546549475,12546048,12582915,3291,3055.101252,cpu
blk-l4096,7,114007,095bf842-8c73-46f6-b265-9bf6c292dcbf,completed,completed,v0.1.0,839.6751594543457,2756608,4009987,979,937.567220,cpu
sep-l4096,7,114007,7da2d737-4cb1-4450-823f-6e17740f71dc,completed,completed,v0.1.0,935.46993128458655,3284992,4370435,1067,1140.029905,cpu
sep-ipop-s015,7,114007,b56bde5b-98fa-4ac0-b71d-e8a89cd29402,completed,completed,v0.1.0,890.4857292175293,661504,12582915,4348,2948.624405,cpu
sep-ipop-s050,7,114007,4a1e3b3d-17b1-460e-a292-f2bf397f9e91,completed,completed,v0.1.0,821.71642684936523,12574720,12582915,5089,3468.801774,cpu
sep-e8,7,114007,190196b5-405c-4876-b8cc-68aac6dfcf63,completed,completed,v0.1.0,962.04536946614587,5782528,6038531,5897,1582.657640,cpu
sep-warm-e8,7,114007,4f886183-0827-44f1-b2b5-ea541b9d3051,completed,completed,v0.1.0,744.36689376831055,5343232,5493763,5365,1401.195049,cpu
sep-ipop,8,114008,e54e93aa-fe1e-4299-be41-27489ea7840b,completed,completed,v0.1.0,835.67383193969727,4483072,12582915,4728,2941.150167,cpu
blk-ipop,8,114008,528ada69-bb24-4055-b058-5dc5b09e221e,completed,completed,v0.1.0,787.47299702962243,629760,12582915,3303,3292.338838,cpu
blk-l4096,8,114008,532b83ea-9739-4785-a833-42468422f46f,completed,completed,v0.1.0,861.68980026245117,2936832,3788803,925,1064.318887,cpu
sep-l4096,8,114008,592dbb8a-07ae-40b2-98b8-8efb36e37fe1,completed,completed,v0.1.0,903.05256144205725,4784128,6291459,1536,1649.123015,cpu
sep-ipop-s015,8,114008,815db0e9-ca62-42ff-b242-114334319a55,completed,completed,v0.1.0,846.08559544881189,8945664,12582915,4744,3023.423002,cpu
sep-ipop-s050,8,114008,a71c54de-be76-458f-b0cd-2725f4b6ea43,completed,completed,v0.1.0,828.25161361694336,10996736,12582915,4290,3078.744629,cpu
sep-e8,8,114008,b5c73603-2790-40f8-978c-2951acb79c7c,completed,completed,v0.1.0,848.83980178833008,3682304,5099523,4980,1322.257875,cpu
sep-warm-e8,8,114008,dfdce2f7-c6f4-4051-ad29-4bff1a575acb,completed,completed,v0.1.0,742.71586990356445,2542592,5547011,5417,1393.567823,cpu
sep-ipop,9,114009,b652211a-a2a3-4186-9ade-b2671a153acb,completed,completed,v0.1.0,890.79038111368811,7063552,12582915,4076,3443.008975,cpu
blk-ipop,9,114009,a528240e-36b0-4004-a0e9-40875ba77fd9,completed,completed,v0.1.0,811.40031687418616,12536832,12582915,3255,3076.412365,cpu
blk-l4096,9,114009,f8e021f0-d5a7-42e8-8009-3f562b311973,completed,completed,v0.1.0,817.19913609822595,3227648,4587523,1120,1086.487278,cpu
sep-l4096,9,114009,8ff1359c-dc24-4ab7-824f-ff58fd87cce9,completed,completed,v0.1.0,1037.1546732584636,5410816,6836227,1669,1681.666264,cpu
sep-ipop-s015,9,114009,04e27b47-d5f6-4065-8051-93e4264258da,completed,completed,v0.1.0,905.95455169677734,12579840,12582915,5371,3389.691565,cpu
sep-ipop-s050,9,114009,3eb95b11-2f09-4b60-9be5-1436d6b52e9c,completed,completed,v0.1.0,896.95613225301111,10040320,12582915,5244,3165.160629,cpu
sep-e8,9,114009,e1653b1c-2906-44f7-8522-d680d5a2da3e,completed,completed,v0.1.0,966.57589721679688,5635072,5883907,5746,1752.972503,cpu
sep-warm-e8,9,114009,738a2bd7-6a9e-4467-b7b3-93b61a04e654,completed,completed,v0.1.0,743.80526987711585,930816,5338115,5213,1345.260022,cpu
sep-ipop,10,114010,8949a48e-6b63-4b25-8aa8-3f5a9553e74e,completed,completed,v0.1.0,938.99226633707679,8408064,12582915,4124,3139.087368,cpu
blk-ipop,10,114010,1f956df0-48a5-4f5d-b3b7-f9b570457015,completed,completed,v0.1.0,753.37909571329749,2580480,12582915,3460,3394.462309,cpu
blk-l4096,10,114010,94f6ee64-eff7-4b60-b70c-6e5712e57b9d,completed,completed,v0.1.0,871.41265360514319,2486272,3723267,909,1016.488728,cpu
sep-l4096,10,114010,30597626-32c1-499c-a3b6-ab251accf7aa,completed,completed,v0.1.0,874.30586624145508,6193152,8179715,1997,2073.409102,cpu
