arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
warm-s020,1,115001,3,3072,752.99239603678382,,0.021290488873850016,6.5335069846200637,0.024185349433128583,0
warm-s020,1,115001,48,49152,752.99239603678382,,0.059134390861009536,11912.814814266585,0.016071068434559552,0
warm-s020,1,115001,96,98304,752.74470520019531,,0.21704981541007343,458537.0633815024,0.0081940088986510364,0
warm-s020,1,115001,144,147456,752.37028376261389,,0.52261315462084335,18172191.262263652,0.0062259161280894286,0
warm-s020,1,115001,192,196608,752.26161448160804,,1.909528077289965,29440048.576547053,0.0044617600674403948,0
warm-s020,1,115001,240,245760,752.16445287068689,,10.407129061201161,23234535.068057008,0.0045677244274411844,0
warm-s020,1,115001,255,261120,752.16445287068689,,14.426897467819533,25962387.884553045,0.0040042380343990715,0
warm-s020,1,115001,288,294912,752.16445287068689,,30.700393747416854,62998639.397300452,0.0041551514652012414,0
warm-s020,1,115001,336,344064,752.16445287068689,,46.40482977442106,242986626.78004709,0.0031623366208187939,0
warm-s020,1,115001,384,393216,752.09068044026696,,45.905162199191444,4591995389.0553417,0.0029524331281207102,0
warm-s020,1,115001,432,442368,752.09068044026696,,49.086759857915091,16786291225.607733,0.0025482590571039541,0
warm-s020,1,115001,480,491520,752.09068044026696,,42.969738615836704,15873369597.142221,0.0021259826435490246,0
warm-s020,1,115001,528,540672,752.09028371175134,,51.475186502424265,38411704783.630814,0.0025442963611261426,0
warm-s020,1,115001,576,589824,752.09028371175134,,64.981310675618133,34901135052.507736,0.0030543664201811926,0
warm-s020,1,115001,624,638976,752.09028371175134,,0.036222767169713531,2511.1786527644276,0.036496318372213427,0
warm-s020,1,115001,672,688128,752.09028371175134,,0.091928717129956261,39121.220536460642,0.0080727772503986044,0
warm-s020,1,115001,720,737280,752.09028371175134,,0.21221059478712645,3864200.9246575162,0.004781058419281386,0
warm-s020,1,115001,768,786432,752.09028371175134,,0.43681795700367931,23281039.490800552,0.0042301932670133803,0
warm-s020,1,115001,816,835584,752.09028371175134,,1.0825486851398514,22608651.654450707,0.0035255677537171424,0
warm-s020,1,115001,864,884736,752.09028371175134,,2.0657817084802419,105535642.85333413,0.0034943909695223335,0
warm-s020,1,115001,912,933888,752.09028371175134,,2.5440775753762299,1412232671.8455005,0.0036664376437407758,0
warm-s020,1,115001,960,983040,752.09028371175134,,2.2818160896531388,868967657.24641204,0.0018275968022046527,0
warm-s020,1,115001,1008,1032192,752.09028371175134,,0.030674756899825566,2284.9883003078703,0.037012076592561442,0
warm-s020,1,115001,1056,1081344,752.09028371175134,,0.0851405240919655,124762.12830478944,0.0093776848473880667,0
warm-s020,1,115001,1104,1130496,751.92152277628577,,0.2539150166031664,13403970.840947021,0.0065310615000188782,0
warm-s020,1,115001,1152,1179648,751.77895863850915,,0.66787548913129824,21441444.545016576,0.004887396029064326,0
warm-s020,1,115001,1200,1228800,751.74519348144531,,1.5121062892556303,107615764.71200436,0.0043838974536892592,0
warm-s020,1,115001,1248,1277952,751.72855758666992,,4.3466829746883953,62547165.701338463,0.0036049170483660451,0
warm-s020,1,115001,1296,1327104,751.72197341918945,,4.8610931320323925,148004374.08786041,0.003366710520628089,0
warm-s020,1,115001,1344,1376256,751.72197341918945,,6.7667325589320182,114344085.01263413,0.0028685737327439884,0
warm-s020,1,115001,1392,1425408,751.72197341918945,,0.030468501469548215,1490.0425063316097,0.027814314289285186,0
warm-s020,1,115001,1440,1474560,751.72197341918945,,0.10766816885374147,97002.314086585495,0.008893687735264999,0
warm-s020,1,115001,1488,1523712,751.34207789103186,,0.26603436382773527,5651281.2892910009,0.0042191277784707657,0
warm-s020,1,115001,1536,1572864,751.08624649047852,,0.47093315026495075,41846039.274814546,0.0038445071366118265,0
warm-s020,1,115001,1584,1622016,750.9879366556803,,1.9640045498423915,664480275.61549747,0.0053220436156263323,0
warm-s020,1,115001,1632,1671168,750.92106628417969,,7.6877119606326305,1145123046.2373438,0.0042570718309689372,0
warm-s020,1,115001,1680,1720320,750.92106628417969,,10.196906846533482,2652259357.4401202,0.0039781542988990897,0
warm-s020,1,115001,1728,1769472,750.92106628417969,,18.679335349409627,2335949059.3528328,0.003260945947293608,0
warm-s020,1,115001,1776,1818624,750.89754486083984,,28.712825126215861,1734058931.2986467,0.0025036198810814854,0
warm-s020,1,115001,1824,1867776,750.89754486083984,,26.370018764276498,5811948541.1315088,0.0028103468981602194,0
