arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop,1,114001,0,0,large,1024,883,904192,1060.2612520853679,tol_fun
sep-ipop,1,114001,0,1,large,2048,1501,3074048,858.45784886678064,tol_fun
sep-ipop,1,114001,0,2,large,4096,1993,8163328,812.51421356201172,tol_fun
sep-ipop,1,114001,0,3,large,8192,54,441344,1531.5769780476887,maximum_evaluations
blk-ipop,1,114001,0,0,large,1024,589,603136,850.6935704549154,tol_fun
blk-ipop,1,114001,0,1,large,2048,717,1468416,913.59224573771155,tol_fun
blk-ipop,1,114001,0,2,large,4096,1118,4579328,851.65909194946289,tol_fun
blk-ipop,1,114001,0,3,large,8192,724,5932032,792.65095392862952,maximum_evaluations
sep-ipop-s015,1,114001,0,0,large,1024,917,939008,1019.0745862325033,tol_fun
sep-ipop-s015,1,114001,0,1,large,2048,1769,3622912,831.36457697550452,tol_fun
sep-ipop-s015,1,114001,0,2,large,4096,1080,4423680,888.59673182169593,tol_fun
sep-ipop-s015,1,114001,0,3,large,8192,439,3597312,936.38128153483069,maximum_evaluations
sep-ipop-s050,1,114001,0,0,large,1024,1228,1257472,1277.5204162597656,tol_fun
sep-ipop-s050,1,114001,0,1,large,2048,1649,3377152,880.7875862121582,tol_fun
sep-ipop-s050,1,114001,0,2,large,4096,1671,6844416,959.19565073649085,tol_fun
sep-ipop-s050,1,114001,0,3,large,8192,135,1103872,1323.485279083252,maximum_evaluations
sep-ipop-passive,1,114001,0,0,large,1024,883,904192,1060.2612520853679,tol_fun
sep-ipop-passive,1,114001,0,1,large,2048,1501,3074048,858.45784886678064,tol_fun
sep-ipop-passive,1,114001,0,2,large,4096,1993,8163328,812.51421356201172,tol_fun
sep-ipop-passive,1,114001,0,3,large,8192,54,441344,1531.5769780476887,maximum_evaluations
sep-ipop,2,114002,0,0,large,1024,1877,1922048,1287.456241607666,tol_fun
sep-ipop,2,114002,0,1,large,2048,1494,3059712,867.16571426391602,tol_fun
sep-ipop,2,114002,0,2,large,4096,1856,7601152,900.64229202270508,maximum_evaluations
blk-ipop,2,114002,0,0,large,1024,682,698368,866.58092371622718,tol_fun
blk-ipop,2,114002,0,1,large,2048,939,1923072,1014.1641972859701,tol_fun
blk-ipop,2,114002,0,2,large,4096,1260,5160960,791.75850804646814,tol_fun
blk-ipop,2,114002,0,3,large,8192,586,4800512,1210.0259958902996,maximum_evaluations
sep-ipop-s015,2,114002,0,0,large,1024,1058,1083392,965.46370569864905,tol_fun
sep-ipop-s015,2,114002,0,1,large,2048,1815,3717120,873.28585433959961,tol_fun
sep-ipop-s015,2,114002,0,2,large,4096,1821,7458816,919.1865348815918,tol_fun
sep-ipop-s015,2,114002,0,3,large,8192,40,323584,1578.2624982198079,maximum_evaluations
sep-ipop-s050,2,114002,0,0,large,1024,1022,1046528,1223.1439526875813,tol_fun
sep-ipop-s050,2,114002,0,1,large,2048,1486,3043328,943.42600123087561,tol_fun
sep-ipop-s050,2,114002,0,2,large,4096,2005,8212480,987.40040715535486,tol_fun
sep-ipop-s050,2,114002,0,3,large,8192,34,280576,1609.3015454610188,maximum_evaluations
sep-ipop,3,114003,0,0,large,1024,1079,1104896,943.822764078776,tol_fun
sep-ipop,3,114003,0,1,large,2048,1404,2875392,1163.8730646769206,tol_fun
sep-ipop,3,114003,0,2,large,4096,2100,8602624,856.8563117980957,maximum_evaluations
blk-ipop,3,114003,0,0,large,1024,666,681984,839.59737777709961,tol_fun
blk-ipop,3,114003,0,1,large,2048,829,1697792,1208.9909718831379,tol_fun
blk-ipop,3,114003,0,2,large,4096,1156,4734976,829.7186381022135,tol_fun
blk-ipop,3,114003,0,3,large,8192,668,5468160,928.87745920817054,maximum_evaluations
sep-ipop-s015,3,114003,0,0,large,1024,1268,1298432,1232.3985010782878,tol_fun
sep-ipop-s015,3,114003,0,1,large,2048,965,1976320,990.43568420410156,tol_fun
sep-ipop-s015,3,114003,0,2,large,4096,1735,7106560,964.62048085530603,tol_fun
sep-ipop-s015,3,114003,0,3,large,8192,269,2201600,1052.1050656636555,maximum_evaluations
sep-ipop-s050,3,114003,0,0,large,1024,1183,1211392,966.28844579060876,tol_fun
sep-ipop-s050,3,114003,0,1,large,2048,1963,4020224,870.15151214599609,tol_fun
sep-ipop-s050,3,114003,0,2,large,4096,1576,6455296,923.19624837239587,tol_fun
sep-ipop-s050,3,114003,0,3,large,8192,109,896000,1375.0656382242839,maximum_evaluations
sep-ipop,4,114004,0,0,large,1024,1086,1112064,857.36890284220374,tol_fun
sep-ipop,4,114004,0,1,large,2048,1164,2383872,1088.1146952311199,tol_fun
sep-ipop,4,114004,0,2,large,4096,1982,8118272,939.97487767537439,tol_fun
sep-ipop,4,114004,0,3,large,8192,118,968704,1313.6501146952312,maximum_evaluations
blk-ipop,4,114004,0,0,large,1024,831,850944,1011.8199323018392,tol_fun
blk-ipop,4,114004,0,1,large,2048,1193,2443264,850.77203877766931,tol_fun
blk-ipop,4,114004,0,2,large,4096,1109,4542464,1011.0518391927084,tol_fun
blk-ipop,4,114004,0,3,large,8192,579,4746240,750.51330947875977,maximum_evaluations
sep-ipop-s015,4,114004,0,0,large,1024,1097,1123328,893.96954727172852,tol_fun
sep-ipop-s015,4,114004,0,1,large,2048,1148,2351104,825.15283330281579,tol_fun
sep-ipop-s015,4,114004,0,2,large,4096,2224,9108480,1117.6779683430989,maximum_evaluations
