arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
sep-ipop,1,114001,1,1024,17013.880579630535,,0.28689355085689944,6.2913417068592761,0.086321993195909608,0
sep-ipop,1,114001,5,5120,1941.1107241312664,,1.0142695708066256,24.715868134923614,0.53583562744407998,0
sep-ipop,1,114001,10,10240,1721.1374244689941,,1.8803800863547284,86.90208142938512,1.2447556671325963,0
sep-ipop,1,114001,48,49152,1467.7204984029133,,9.1409361766658748,96.271498951465176,0.2625301518125277,0
sep-ipop,1,114001,80,81920,1350.7973403930664,,24.239654806883252,1011.5376493105416,0.23421999765039908,0
sep-ipop,1,114001,96,98304,1293.4207140604656,,52.295404724194704,2036.7079329688322,0.27767913511194697,0
sep-ipop,1,114001,144,147456,1210.088358561198,,376.8467446680055,121864.42995741237,0.24522115309301651,0
sep-ipop,1,114001,192,196608,1201.6465733846028,,9803.0316996518632,85904.391708354946,0.25644958549095009,0
sep-ipop,1,114001,240,245760,1181.4559885660808,,267262.33092559682,79221.565897717155,0.25216047775270212,0
sep-ipop,1,114001,255,261120,1174.4288304646809,,678561.80264484324,57213.560793737968,0.25112036038522589,0
sep-ipop,1,114001,288,294912,1164.2300847371419,,2931060.1421636459,156513.43315116715,0.22895496279305599,0
sep-ipop,1,114001,336,344064,1156.7849807739258,,26487126.175189704,108916.77998221011,0.2362485078645585,0
sep-ipop,1,114001,384,393216,1093.5306485493977,,1297814185.6319001,2396.2784074910651,0.13106933943764168,0
sep-ipop,1,114001,432,442368,1066.0905812581379,,9382014662.0001869,5044.2070871083224,0.057465835107693812,0
sep-ipop,1,114001,480,491520,1063.1535542805989,,38264905263.70694,37566.675650679237,0.048790941675859768,0
sep-ipop,1,114001,528,540672,1062.0904579162598,,135768541466.75047,44955.772495322999,0.047240112800121858,0
sep-ipop,1,114001,576,589824,1060.9121398925781,,836202002077.6665,191389.16138024552,0.042822296793421963,0
sep-ipop,1,114001,624,638976,1060.5481274922688,,3895521341775.6392,1848899.4822049995,0.043317043511690002,0
sep-ipop,1,114001,672,688128,1060.4009691874187,,8852950070527.0254,269979967.79866999,0.039649019645127008,0
sep-ipop,1,114001,720,737280,1060.2988700866699,,27359138121254.137,3088371039.555829,0.044344468696116537,0
sep-ipop,1,114001,768,786432,1060.2679354349773,,63558257910113.43,6864579483.1294136,0.04216806790509342,0
sep-ipop,1,114001,816,835584,1060.2612520853679,,172111245964806.16,30616854809.34465,0.042706713928621805,0
sep-ipop,1,114001,864,884736,1060.2612520853679,,175238062902624.91,70751038509.389282,0.024839432932445702,0
sep-ipop,1,114001,900,939008,1060.2612520853679,,0.98766525368531943,20.265911650590017,0.73435939257341498,1
sep-ipop,1,114001,924,988160,1060.2612520853679,,2.0387729038329576,99.133498246303034,0.32092356467455624,1
sep-ipop,1,114001,948,1037312,1060.2612520853679,,6.083068324627277,553.3237118773277,0.32441012187446833,1
sep-ipop,1,114001,972,1086464,1060.2612520853679,,9.9282527318725506,3337.6871254537014,0.294625869154999,1
sep-ipop,1,114001,996,1135616,1060.2612520853679,,36.976508300110126,2153.5173949298714,0.26571071797579665,1
sep-ipop,1,114001,1020,1184768,1060.2612520853679,,142.37832534912783,1301.1860848896174,0.28484853234529262,1
sep-ipop,1,114001,1044,1233920,1060.2612520853679,,393.90219156510773,2813.4084502600513,0.24982093183219245,1
sep-ipop,1,114001,1068,1283072,1060.2612520853679,,1783.6462528316638,2056.4319504863965,0.27495383891145225,1
sep-ipop,1,114001,1092,1332224,1060.2612520853679,,8657.8231994323232,2606.6181666198781,0.28464967886575332,1
sep-ipop,1,114001,1115,1379328,1054.2607587178547,,37474.732378432222,10583.403099333589,0.27475143688740161,1
sep-ipop,1,114001,1139,1428480,1036.1471163431804,,170982.92653177309,32668.739347389914,0.26105560443550713,1
sep-ipop,1,114001,1164,1479680,1017.5080820719401,,1376652.3461192329,29975.262346823518,0.29184105522109677,1
sep-ipop,1,114001,1187,1526784,997.05424753824866,,6392222.1441257428,38270.947187391132,0.26797455787776697,1
sep-ipop,1,114001,1212,1577984,987.41888046264648,,30470220.667802762,65080.505514997691,0.24598307955399981,1
sep-ipop,1,114001,1236,1627136,981.59583282470703,,136762563.46640921,93198.169432393028,0.24682652523960072,1
sep-ipop,1,114001,1260,1676288,977.74950408935547,,550949485.46332073,165428.87776356179,0.23089742603711949,1
sep-ipop,1,114001,1283,1723392,947.14783223470056,,3541962990.5452204,91618.777528578983,0.30014802013420749,1
sep-ipop,1,114001,1308,1774592,917.18959935506189,,16855562037.453424,67110.290619572974,0.24369758093905416,1
sep-ipop,1,114001,1330,1819648,911.79107666015625,,53120554946.651222,333726.99844610249,0.24988980071365641,1
sep-ipop,1,114001,1354,1868800,902.09290059407556,,202396233218.12634,208865.52070226832,0.21831650758785409,1
sep-ipop,1,114001,1379,1920000,889.4410616556803,,1515196475550.2952,26220.579337231993,0.13610703025370441,1
sep-ipop,1,114001,1402,1967104,880.36383310953772,,6167071526878.9502,12890.175991713826,0.071962966492009103,1
sep-ipop,1,114001,1427,2018304,875.02016830444336,,27510857579411.855,11757.902632280067,0.045764146306940083,1
sep-ipop,1,114001,1450,2065408,872.36002477010095,,90288911080285.109,9900.6016599011509,0.026837671445309009,1
sep-ipop,1,114001,1476,2118656,871.39446004231775,,431125948762229.94,10605.55548965776,0.02710142308502253,1
sep-ipop,1,114001,1500,2167808,869.87464777628577,,2274693404394722,12940.479860203905,0.032565237882525438,1
sep-ipop,1,114001,1523,2214912,868.54346974690759,,8344009059534850,13946.469208624674,0.027270884090281212,1
sep-ipop,1,114001,1547,2264064,867.46868896484375,,28870320787639596,15628.660384859808,0.025888839331946627,1
sep-ipop,1,114001,1572,2315264,866.44150543212891,,1.1141324616229086e+17,10333.575292423833,0.023983943403496223,1
sep-ipop,1,114001,1596,2364416,865.55404790242517,,4.3160257898952845e+17,13563.646049289575,0.021529209629675819,1
sep-ipop,1,114001,1620,2413568,864.74354807535804,,2.0899917072317363e+18,10134.033442956412,0.021885943094146144,1
sep-ipop,1,114001,1643,2460672,863.85520426432288,,6.5522891563107113e+18,10903.069130001853,0.018021516109077578,1
sep-ipop,1,114001,1667,2509824,863.07719930013025,,2.1164727822062641e+19,15119.607516565138,0.019448806396934512,1
sep-ipop,1,114001,1692,2561024,862.58367029825843,,6.1432693127499121e+19,11445.104524701856,0.012997555981648064,1
sep-ipop,1,114001,1715,2608128,861.9923095703125,,1.5587865985335614e+20,10817.486585756258,0.010688188888505111,1
sep-ipop,1,114001,1739,2657280,861.58078002929688,,4.0570981647114764e+20,8286.1927930188231,0.008859736090175329,1
sep-ipop,1,114001,1763,2706432,861.30883407592773,,1.2117272901817197e+21,11758.182412303891,0.010521514832184749,1
sep-ipop,1,114001,1787,2755584,860.82526779174805,,3.5888492791748986e+21,9054.8026329287477,0.011832731486867122,1
sep-ipop,1,114001,1812,2806784,860.70618184407556,,1.1171606466013562e+22,13418.360690516802,0.013419126871334692,1
sep-ipop,1,114001,1834,2851840,860.51761627197266,,3.2139012512485491e+22,16884.712150551139,0.013263155441391266,1
sep-ipop,1,114001,1860,2905088,860.04410425821936,,1.067569032092636e+23,126599.30279238443,0.013265964860214804,1
sep-ipop,1,114001,1883,2952192,859.66500345865882,,2.076138871750662e+23,3261662.4339871081,0.011508354214354342,1
sep-ipop,1,114001,1907,3001344,859.45403544108069,,5.6899569654302224e+23,9062398.1147032324,0.014266507017772337,1
sep-ipop,1,114001,1932,3052544,859.20146179199219,,1.9216171391289364e+24,7377293.8341542054,0.012307833907284182,1
sep-ipop,1,114001,1956,3101696,859.03485107421875,,4.9463440228198061e+24,16660315.164376296,0.012790171993956071,1
sep-ipop,1,114001,1979,3148800,858.88415145874023,,9.1146271966953684e+24,22708968.879460882,0.011703972045933278,1
sep-ipop,1,114001,2004,3200000,858.78052012125647,,1.5424527294851394e+25,18915487.237418652,0.0088460575794610773,1
sep-ipop,1,114001,2026,3245056,858.64875157674157,,2.1441327963325999e+25,13941389.477881467,0.006139820621307546,1
sep-ipop,1,114001,2050,3294208,858.54971440633142,,4.1591380253907007e+25,10694859.223440878,0.0061776954789287859,1
sep-ipop,1,114001,2074,3343360,858.51893742879236,,6.1098503611126617e+25,22473264.374797754,0.0059825558203598838,1
sep-ipop,1,114001,2098,3392512,858.49863688151038,,1.3386215115755711e+26,182120733.34916228,0.0075125702409776021,1
sep-ipop,1,114001,2124,3445760,858.48544947306311,,3.582676094357801e+26,428297797.6184932,0.0062962993084837464,1
sep-ipop,1,114001,2148,3494912,858.46705500284827,,1.0403350634853449e+27,328500267.96386278,0.006133016904783517,1
sep-ipop,1,114001,2170,3539968,858.46518198649085,,2.1602058936055919e+27,448699845.18470198,0.0060153098411073755,1
sep-ipop,1,114001,2196,3593216,858.46402867635095,,3.7955997834270282e+27,480698984.8969937,0.0054811536374848539,1
sep-ipop,1,114001,2220,3642368,858.45784886678064,,5.9450637642308169e+27,120774336.79231432,0.002555308495870877,1
sep-ipop,1,114001,2244,3691520,858.45784886678064,,6.54633401378522e+27,158819718.33428973,0.0023320507354935936,1
sep-ipop,1,114001,2268,3740672,858.45784886678064,,5.9111088977230039e+27,166392307.06788319,0.0019557957023324016,1
sep-ipop,1,114001,2292,3789824,858.45784886678064,,5.4318998002538711e+27,196558279.73862499,0.0020859974946951698,1
