arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
ext-w8,1,120001,0e31a560-6074-4868-bf05-331fa0883896,completed,completed,v0.1.0,622.26701482137048,3089111,6222873,97233,8894.902811,cpu
ext-w4,1,120001,62884ae0-65c5-49d6-a68c-fe97e874953e,completed,completed,v0.1.0,593.72600555419922,3164505,6238235,97473,12585.463805,cpu
ext-w2,1,120001,30881c5c-39a2-4e35-b394-42e94e3aeeb5,completed,completed,v0.1.0,569.66259765625,4788829,6232351,97381,14029.049421,cpu
ext-w1,1,120001,275e17f4-12a2-4155-9cbe-8fbbe0120bc5,completed,completed,v0.1.0,576.51208750406897,5669413,6224807,97263,14669.038651,cpu
cold-w16,1,120001,e906c7e7-935a-4a77-8934-e53a1a4e538d,completed,completed,v0.1.0,730.50220235188806,4293568,6313475,98648,7546.664806,cpu
ext-w8,2,120002,e55481d2-f579-41c3-8b18-196fd871c07e,completed,completed,v0.1.0,602.62120056152344,1420311,6272537,98009,8957.622262,cpu
ext-w4,2,120002,aaaacd73-c2e0-4705-9d50-01576cdd77f6,completed,completed,v0.1.0,587.18650690714514,4977369,6193947,96781,12577.684355,cpu
ext-w2,2,120002,b217bf4f-a7b6-47b1-98ba-2ef1ab5bfe7f,completed,completed,v0.1.0,577.36481857299805,5556957,6222559,97228,14073.086918,cpu
ext-w1,2,120002,e786de4f-549d-4f46-ae6e-469836c1e31e,completed,completed,v0.1.0,574.00393676757812,5491685,6210215,97035,14669.512623,cpu
cold-w16,2,120002,439b4203-fcb3-497f-9ab7-f28a2513d402,completed,completed,v0.1.0,680.83610280354821,5327232,6187651,96682,7330.226342,cpu
ext-w8,3,120003,0b8aacd9-202e-4f2c-904a-9c3d53799ae1,completed,completed,v0.1.0,622.13302739461267,438487,6242265,97536,9260.603586,cpu
ext-w4,3,120003,ac47a657-5c74-4b27-96b4-126fa9748f61,completed,completed,v0.1.0,582.48087437947595,3783257,6218267,97161,12848.243620,cpu
ext-w2,3,120003,9c81068d-0efa-42dc-adb1-c83f681df41c,completed,completed,v0.1.0,571.31933975219727,4821085,6216351,97131,14082.546222,cpu
ext-w1,3,120003,72264db2-aab4-4f01-a8a8-b9abb5033d12,completed,completed,v0.1.0,574.1147791544596,5887269,6215207,97113,14676.826144,cpu
cold-w16,3,120003,01f8c90f-3946-47f8-a674-949fe3c21554,completed,completed,v0.1.0,766.12815729777014,2959168,6208067,97001,7577.338980,cpu
ext-w8,4,120004,f8cee089-1fd0-4935-95cb-807be4a3f021,completed,completed,v0.1.0,609.64297866821289,4126807,6189145,96706,9355.782378,cpu
ext-w4,4,120004,06334e9d-fb61-4f32-894b-e9b7dc949611,completed,completed,v0.1.0,598.37656656901038,5163289,6256603,97760,12913.119878,cpu
ext-w2,4,120004,55d60225-0896-43b7-93a2-94923a33d659,completed,completed,v0.1.0,576.87829717000329,5392797,6216543,97134,14138.148551,cpu
ext-w1,4,120004,aee97fe8-8e1b-4c4a-a6a3-88baee0b50b1,completed,completed,v0.1.0,574.11256408691406,6028325,6235047,97423,14685.722767,cpu
cold-w16,4,120004,26fa6f23-b826-4b03-b536-0c2d98df66df,completed,completed,v0.1.0,768.46459325154626,2069952,6355715,99308,7715.971416,cpu
ext-w8,5,120005,a7baf2cc-46e2-4ee1-9215-e465d790d3e4,completed,completed,v0.1.0,601.85312016805017,3475287,6183577,96619,10372.521567,cpu
