arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
ext-w8,1,120001,0,0,,0,1695,108480,685.79057184855139,convergence
ext-w8,1,120001,0,1,,0,1686,107904,683.26805750528968,convergence
ext-w8,1,120001,0,2,,0,1225,78400,660.38382339477539,convergence
ext-w8,1,120001,0,3,,0,1573,100672,654.85182571411133,convergence
ext-w8,1,120001,0,4,,0,1411,90304,660.3648351033529,convergence
ext-w8,1,120001,0,5,,0,1280,81920,670.14647674560547,convergence
ext-w8,1,120001,0,6,,0,1269,81216,677.75173950195312,convergence
ext-w8,1,120001,0,7,,0,1548,99072,623.28801472981775,convergence
ext-w8,1,120001,0,8,,0,1401,89664,671.24162038167321,convergence
ext-w8,1,120001,0,9,,0,1307,83648,649.65329360961914,convergence
ext-w8,1,120001,0,10,,0,1293,82752,659.24581400553382,convergence
ext-w8,1,120001,0,11,,0,1724,110336,649.64936955769861,convergence
ext-w8,1,120001,0,12,,0,1455,93120,645.73482259114587,convergence
ext-w8,1,120001,0,13,,0,1364,87296,659.81861114501953,convergence
ext-w8,1,120001,0,14,,0,1260,80640,655.40531158447266,convergence
ext-w8,1,120001,0,15,,0,1615,103360,659.84553400675452,convergence
ext-w8,1,120001,0,16,,0,1426,91264,681.55617904663086,convergence
ext-w8,1,120001,0,17,,0,1126,72064,646.80013529459632,convergence
ext-w8,1,120001,0,18,,0,1317,84288,657.67092768351233,convergence
ext-w8,1,120001,0,19,,0,1534,98176,642.22159194946289,convergence
ext-w8,1,120001,0,20,,0,1605,102720,649.49082565307617,convergence
ext-w8,1,120001,0,21,,0,1660,106240,681.41989135742188,convergence
ext-w8,1,120001,0,22,,0,1442,92288,661.05388895670569,convergence
ext-w8,1,120001,0,23,,0,1648,105472,677.78288269042969,convergence
ext-w8,1,120001,0,24,,0,1832,117248,663.9383875528971,convergence
ext-w8,1,120001,0,25,,0,1570,100480,657.2951990763346,convergence
ext-w8,1,120001,0,26,,0,1516,97024,649.85316975911462,convergence
ext-w8,1,120001,0,27,,0,1562,99968,665.50190607706702,convergence
ext-w8,1,120001,0,28,,0,1423,91072,627.08875274658203,convergence
ext-w8,1,120001,0,29,,0,2947,188608,680.55377070109046,convergence
ext-w8,1,120001,0,30,,0,1438,92032,660.83007049560547,convergence
ext-w8,1,120001,0,31,,0,1333,85312,622.26701482137048,convergence
ext-w8,1,120001,0,32,,0,2725,174400,665.00612640380859,convergence
ext-w8,1,120001,0,33,,0,1425,91200,696.12426503499353,convergence
ext-w8,1,120001,0,34,,0,1532,98048,633.14896011352539,convergence
ext-w8,1,120001,0,35,,0,1658,106112,650.36410776774085,convergence
ext-w8,1,120001,0,36,,0,1320,84480,679.87219746907556,convergence
ext-w8,1,120001,0,37,,0,1298,83072,662.34644444783532,convergence
ext-w8,1,120001,0,38,,0,1973,126272,679.76066716512048,convergence
ext-w8,1,120001,0,39,,0,1410,90240,642.61961491902673,convergence
ext-w8,1,120001,0,40,,0,1160,74240,651.29305267333984,convergence
ext-w8,1,120001,0,41,,0,1758,112512,640.90237299601233,convergence
ext-w8,1,120001,0,42,,0,1502,96128,645.7191263834635,convergence
ext-w8,1,120001,0,43,,0,2735,175040,639.64450327555335,convergence
ext-w8,1,120001,0,44,,0,1624,103936,662.27937698364258,convergence
ext-w8,1,120001,0,45,,0,1336,85504,656.71386337280273,convergence
ext-w8,1,120001,0,46,,0,1198,76672,664.16697565714514,convergence
ext-w8,1,120001,0,47,,0,1193,76352,642.92652893066406,convergence
ext-w8,1,120001,0,48,,0,1324,84736,666.46854527791345,convergence
ext-w8,1,120001,0,49,,0,1710,109440,680.7657140096029,convergence
ext-w8,1,120001,0,50,,0,2532,162048,652.22357304890954,convergence
ext-w8,1,120001,0,51,,0,1283,82112,659.9389864603678,convergence
ext-w8,1,120001,0,52,,0,1289,82496,663.50331624348962,convergence
ext-w8,1,120001,0,53,,0,1885,120640,660.90098444620764,convergence
ext-w8,1,120001,0,54,,0,1328,84992,647.30326843261719,convergence
ext-w8,1,120001,0,55,,0,1387,88768,648.57453536987305,convergence
ext-w8,1,120001,0,56,,0,1062,67968,665.03812535603845,convergence
ext-w8,1,120001,0,57,,0,1317,84288,636.29798634847009,convergence
ext-w8,1,120001,0,58,,0,1192,76288,665.13219960530603,convergence
ext-w8,1,120001,0,59,,0,1120,71680,677.22493616739905,convergence
ext-w8,1,120001,0,60,,0,1431,91584,641.0638427734375,convergence
ext-w8,1,120001,0,61,,0,1356,86784,672.90306727091468,convergence
ext-w8,1,120001,0,62,,0,1295,82880,640.16580963134766,convergence
ext-w8,1,120001,0,63,,0,1389,88896,675.87436294555664,convergence
ext-w4,1,120001,0,0,,0,759,48576,644.49334589640296,convergence
ext-w4,1,120001,0,1,,0,688,44032,656.4201876322428,convergence
ext-w4,1,120001,0,2,,0,647,41408,653.39956537882483,convergence
ext-w4,1,120001,0,3,,0,739,47296,657.12658945719397,convergence
ext-w4,1,120001,0,4,,0,874,55936,672.86102167765296,convergence
ext-w4,1,120001,0,5,,0,580,37120,674.19180425008142,convergence
ext-w4,1,120001,0,6,,0,598,38272,651.73644510904944,convergence
ext-w4,1,120001,0,7,,0,741,47424,668.45756403605139,convergence
ext-w4,1,120001,0,8,,0,647,41408,651.88994979858398,convergence
ext-w4,1,120001,0,9,,0,750,48000,676.32317733764648,convergence
ext-w4,1,120001,0,10,,0,727,46528,656.91067504882812,convergence
ext-w4,1,120001,0,11,,0,689,44096,671.96577580769861,convergence
ext-w4,1,120001,0,12,,0,690,44160,671.72528076171875,convergence
ext-w4,1,120001,0,13,,0,693,44352,680.44569905598962,convergence
ext-w4,1,120001,0,14,,0,513,32832,677.07632191975915,convergence
ext-w4,1,120001,0,15,,0,708,45312,655.69629796346032,convergence
ext-w4,1,120001,0,16,,0,629,40256,671.82931900024414,convergence
ext-w4,1,120001,0,17,,0,587,37568,655.26933288574219,convergence
ext-w4,1,120001,0,18,,0,551,35264,651.83326848347986,convergence
ext-w4,1,120001,0,19,,0,570,36480,658.24349466959632,convergence
ext-w4,1,120001,0,20,,0,694,44416,693.89228820800781,convergence
ext-w4,1,120001,0,21,,0,640,40960,685.90282440185547,convergence
ext-w4,1,120001,0,22,,0,681,43584,675.66794586181641,convergence
ext-w4,1,120001,0,23,,0,822,52608,670.68678283691406,convergence
ext-w4,1,120001,0,24,,0,698,44672,673.4157600402832,convergence
ext-w4,1,120001,0,25,,0,538,34432,677.16061401367188,convergence
ext-w4,1,120001,0,26,,0,617,39488,675.47373580932617,convergence
ext-w4,1,120001,0,27,,0,571,36544,657.73158772786462,convergence
ext-w4,1,120001,0,28,,0,743,47552,673.94078191121423,convergence
ext-w4,1,120001,0,29,,0,583,37312,670.36505126953125,convergence
