arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
cmaes-single,1,111001,b87075ba-4c69-4602-adbd-8675f017b83d,completed,completed,v0.1.0,911.22232818603516,1219584,1441795,1408,443.227316
cmaes-ipop,1,111001,f024761d-4a79-4a41-853d-45ea74025fd0,completed,completed,v0.1.0,857.45978037516272,6500352,6502403,3454,1884.465194
cmaes-ipop-l64,1,111001,90af264b-2d30-4428-ac71-66ebe74e3cd7,completed,completed,v0.1.0,899.9503072102865,5860736,6502403,11315,2240.122239
cmaes-ipop-l20,1,111001,9f3663cd-1ed3-4152-bb27-6afe94c0ffcc,completed,completed,v0.1.0,890.14032363891602,6415720,6502403,15864,2203.876096
sep-cmaes-single,1,111001,5b88c8b9-107d-4748-b3cf-f2a19f9da7b2,completed,completed,v0.1.0,1026.3736139933269,934912,1044483,1020,253.302594
sep-cmaes-ipop,1,111001,a04dbb46-c2eb-41db-a273-621661496898,completed,completed,v0.1.0,863.42004521687829,6500352,6502403,3017,1893.102548
sep-cmaes-ipop-l64,1,111001,8b3d4eb0-401b-4a8b-9a9a-9409cb09bbd7,completed,completed,v0.1.0,903.35965092976892,1655680,6502403,6677,1887.327408
sep-cmaes-ipop-l20,1,111001,bedcff9c-a3da-4eee-95a3-d2a415226895,completed,completed,v0.1.0,841.79115041097009,5591820,6502403,9895,1616.367742
cmaes-single,2,111002,c89a18b1-a630-4ceb-b8cd-5799e9075217,completed,completed,v0.1.0,864.43690236409509,1761280,2530307,2471,744.094300
cmaes-ipop,2,111002,73cabc60-7fcc-4ee0-b654-325d3ff1f4ba,completed,completed,v0.1.0,864.43690236409509,1761280,6502403,4378,2125.751478
cmaes-ipop-l64,2,111002,9f5434ca-58a1-4caf-b6e8-f87dc8f24910,completed,completed,v0.1.0,902.49424616495764,1711552,6502403,10332,2128.212975
cmaes-ipop-l20,2,111002,adad2641-28e4-4273-8403-985f7dde5fe5,completed,completed,v0.1.0,911.87643432617188,4263760,6502403,32399,2283.859309
sep-cmaes-single,2,111002,2d2e6e02-ba25-4155-b65b-b3b1db877c80,completed,completed,v0.1.0,930.09509531656897,779264,947203,925,244.988937
sep-cmaes-ipop,2,111002,642820c8-503a-4512-b435-c2ecfe33a881,completed,completed,v0.1.0,848.39795303344727,6493184,6502403,2910,1572.042949
