arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent
cmaes-single,1,111001,1,1024,17388.415322621662,,0.28721553943396272,1.1159929067231362,0.27918199009620265
cmaes-single,1,111001,5,5120,2801.6680285135903,,0.38228161713046671,1.8933204842774998,0.42949462631444996
cmaes-single,1,111001,10,10240,2211.7227045694985,,0.7066011981952024,2.6954569674564444,0.87313311054622245
cmaes-single,1,111001,20,20480,1871.0012817382812,,0.78762274318849601,3.1658222035133661,0.94325005431345177
cmaes-single,1,111001,25,25600,1871.0012817382812,,0.7524858558092562,3.2465303601986624,0.86268730218311596
cmaes-single,1,111001,40,40960,1812.9500910441081,,0.6533180136512885,4.6654931107552544,0.67217971066564075
cmaes-single,1,111001,50,51200,1655.1579615275066,,0.58514588265509682,5.3647494509423241,0.53078611889566452
cmaes-single,1,111001,75,76800,1581.4470761617024,,0.44600122721524527,7.1939324599047811,0.32141099757070452
cmaes-single,1,111001,80,81920,1581.4470761617024,,0.41253122577658224,7.8146240396425855,0.28985837124809249
cmaes-single,1,111001,100,102400,1486.6555887858074,,0.37834343024246708,24.807444585529801,0.27905719380817862
cmaes-single,1,111001,125,128000,1418.8303337097168,,0.35216882306550173,57.761948024903532,0.22971324160699433
cmaes-single,1,111001,149,152576,1381.3376108805339,,0.38787317742480615,258.778587688573,0.23863745500172506
cmaes-single,1,111001,160,163840,1362.3163274129231,,0.40281525769269483,439.83834863764145,0.23957490750449656
cmaes-single,1,111001,174,178176,1325.6680246988933,,0.39019886567206274,738.94472798413278,0.22797485772644921
cmaes-single,1,111001,199,203776,1285.430965423584,,0.4173679717508037,1176.1896615590747,0.21884104681578012
cmaes-single,1,111001,224,229376,1222.619686126709,,0.46899960965065807,1760.7114817227639,0.2167667905081192
cmaes-single,1,111001,249,254976,1166.7141024271648,,0.57605480873828185,3204.1722803718353,0.2350382821154951
cmaes-single,1,111001,255,261120,1135.2002792358398,,0.63441369488704802,3771.8381257865608,0.2578754826372906
cmaes-single,1,111001,273,279552,1104.8423309326172,,0.6317899478995419,4125.8595183493171,0.22229520020733484
cmaes-single,1,111001,298,305152,1065.3084780375164,,0.66064123534616204,5269.9944919797163,0.20759133565083546
cmaes-single,1,111001,323,330752,1035.0683809916179,,0.73146787433734151,7584.8046694902923,0.2121031953383716
cmaes-single,1,111001,348,356352,1011.799378712972,,1.1628915629787799,8043.9616571216502,0.27259523456752827
cmaes-single,1,111001,373,381952,988.4908777872721,,1.058303590848866,10555.567795918258,0.20745738014513623
cmaes-single,1,111001,397,406528,965.53936386108398,,1.3682973702754535,20004.081807893883,0.25975294616509031
cmaes-single,1,111001,422,432128,940.40614064534509,,1.6722394048729061,7530.451146486992,0.15495248704126877
cmaes-single,1,111001,447,457728,929.43830998738611,,1.4412113650650407,7600.0741990253255,0.088489841295787006
