arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
mayfly-single,1,111001,35f5d916-b9fb-4a7f-9d25-986fef11b454,completed,completed,v0.7.1,1163.0034344991047,5426414,6502403,2048,2103.305755
mayfly-r16,1,111001,4a0cb83e-0f82-449b-86db-ba87961f5965,completed,completed,v0.7.1,959.26223754882812,5304986,6533123,2048,2314.577436
cmaes-single,1,111001,b4a14186-c2dd-450d-ad44-f45019377b35,completed,completed,v0.1.0,911.22232818603516,1219584,1441795,1408,421.401844
cmaes-ipop,1,111001,a2d3c15e-5fd2-4f7f-9cb7-07f1733557ff,completed,completed,v0.1.0,857.45978037516272,6500352,6502403,3454,1852.238648
sep-cmaes-ipop,1,111001,b084421a-371c-4a70-84da-a71fea139e47,completed,completed,v0.1.0,863.42004521687829,6500352,6502403,3017,1875.705391
mayfly-single,2,111002,837628df-c992-4f4f-8dd8-d141dc535a9b,completed,completed,v0.7.1,864.56865692138672,6045344,6502403,2048,1727.954974
mayfly-r16,2,111002,21f05f2c-24db-4451-94d3-a89482e032fb,completed,completed,v0.7.1,970.44177627563477,2041600,6533123,2048,2435.893708
cmaes-single,2,111002,a2920304-ae85-43d8-92ae-01f576c98d22,completed,completed,v0.1.0,864.43690236409509,1761280,2530307,2471,830.563035
cmaes-ipop,2,111002,33b1ca82-6b49-4ecc-89d6-5a48a2c820b9,completed,completed,v0.1.0,864.43690236409509,1761280,6502403,4378,2204.750502
sep-cmaes-ipop,2,111002,7857e5b6-1ac2-42e6-894b-ecef126fcb06,completed,completed,v0.1.0,848.39795303344727,6493184,6502403,2910,1671.400177
mayfly-single,3,111003,d9ad00f1-773e-4307-bce4-1cee3448d611,completed,completed,v0.7.1,914.73942311604821,6470660,6502403,2048,1855.220134
mayfly-r16,3,111003,462484fb-2e9d-43bf-b70a-8d4e8b13f29c,completed,completed,v0.7.1,1035.0637321472168,408320,6533123,2048,2649.347608
cmaes-single,3,111003,a0ca8f95-b722-455c-a758-964ff2cbe227,completed,completed,v0.1.0,1021.8302726745605,1304576,1583107,1546,527.435709
cmaes-ipop,3,111003,e55ac684-2f49-4577-835b-8dc99b102adc,completed,completed,v0.1.0,887.92769495646155,3895296,6502403,3726,2314.039727
sep-cmaes-ipop,3,111003,7de3220f-86e6-40ef-ae79-1781d3faa236,completed,completed,v0.1.0,845.0821863810221,4775936,6502403,3447,1650.764479
mayfly-single,4,111004,1d4159b8-b214-4407-9afd-ac83444ac9ae,completed,completed,v0.7.1,908.07176208496094,5124884,6502403,2048,2059.907625
mayfly-r16,4,111004,452dbce1-1024-4257-9dc7-7fc9882b7f98,completed,completed,v0.7.1,965.64476267496741,2041600,6533123,2048,2414.242502
cmaes-single,4,111004,ba37210e-4118-4d8e-b45b-3aae80ccce98,completed,completed,v0.1.0,1219.253308614095,1149952,1799171,1757,805.178639
cmaes-ipop,4,111004,33c1cff0-0a97-4741-a540-81b1edb3bb64,completed,completed,v0.1.0,1158.1447995503743,4236288,6502403,3801,2208.817843
sep-cmaes-ipop,4,111004,8b9f1a5b-f727-4e38-aa96-86cf73aec4d9,completed,completed,v0.1.0,875.38711420694983,6502400,6502403,2826,1750.418605
mayfly-single,5,111005,049a03b9-0b9e-46fa-a437-cc760f773beb,completed,completed,v0.7.1,1319.9433275858562,6213566,6502403,2048,2597.425064
mayfly-r16,5,111005,a6c6c409-e11e-4b00-a2c0-bff14866fed0,completed,completed,v0.7.1,925.05186208089196,1633280,6533123,2048,2347.411931
cmaes-single,5,111005,3cbc9c5f-33ee-44b9-9125-a089b0df0b79,completed,completed,v0.1.0,956.19165166219079,1643520,2190339,2139,521.427959
cmaes-ipop,5,111005,48bc1bf0-a710-48c0-a460-30b21e51f245,completed,completed,v0.1.0,956.19165166219079,1643520,6502403,3980,1737.377609
sep-cmaes-ipop,5,111005,16f26a5e-53e5-45a7-800d-8054abde9b1b,completed,completed,v0.1.0,1014.8622703552246,1332224,6502403,3496,1664.013218
mayfly-single,6,111006,9306d11e-d84c-460e-8851-1340c71e16c7,completed,completed,v0.7.1,1042.0597432454426,6486530,6502403,2048,2016.179404
mayfly-r16,6,111006,86174201-d470-456e-bf97-b9030f899769,completed,completed,v0.7.1,923.96747080485022,2858240,6533123,2048,2277.575197
cmaes-single,6,111006,2811397f-d309-4e51-8100-dc16a8298da9,completed,completed,v0.1.0,1129.9530245463054,1887232,2156547,2106,806.552721
cmaes-ipop,6,111006,2ac8f026-612b-4b20-acc3-14df37d5b79e,completed,completed,v0.1.0,900.55649058024085,4544512,6502403,3957,2250.625269
sep-cmaes-ipop,6,111006,6ca73c96-c225-4d7d-b56a-9b9c44ab4bf7,completed,completed,v0.1.0,845.38111623128259,6500352,6502403,2933,1608.346860
mayfly-single,7,111007,c1631995-2839-4743-957f-a60a797b5216,completed,completed,v0.7.1,1158.5509808858235,5702552,6502403,2048,1779.318405
mayfly-r16,7,111007,af537ddc-e405-48c7-9701-c2ef82f7718c,completed,completed,v0.7.1,957.50524648030603,803944,6533123,2048,2241.624008
cmaes-single,7,111007,04860767-b18a-4788-8acc-fc75f3b1da78,completed,completed,v0.1.0,883.55600992838538,1147904,1552387,1516,417.250172
cmaes-ipop,7,111007,a4654b3c-9ca0-4efe-89f2-38996038110c,completed,completed,v0.1.0,820.91655222574866,4403200,6502403,3685,1729.798891
sep-cmaes-ipop,7,111007,cca6cf49-7f6c-48f6-a53e-322684589a46,completed,completed,v0.1.0,849.74995676676429,1230848,6502403,3730,1554.375572
mayfly-single,8,111008,d2689307-255e-4e6e-8f92-01002c7bb7c5,completed,completed,v0.7.1,968.99384307861328,5527982,6502403,2048,2045.864979
mayfly-r16,8,111008,05aa7dfb-d480-406b-9db2-e6e80910b100,completed,completed,v0.7.1,955.86723454793298,3266560,6533123,2048,2175.854170
cmaes-single,8,111008,65655d7d-3f71-44dd-bf61-4a78ee4138a7,completed,completed,v0.1.0,869.06100336710608,1329152,1501187,1466,464.711571
cmaes-ipop,8,111008,5cabe3cc-f548-497c-95aa-7d85c690a9b9,completed,completed,v0.1.0,774.64609400431311,4419584,6502403,3510,1917.087314
sep-cmaes-ipop,8,111008,9414e865-b7d9-4686-a2ab-949f86dc44af,completed,completed,v0.1.0,882.07351430257165,2952192,6502403,3127,1482.318030
mayfly-single,9,111009,482d378c-f463-4b94-8de4-f17f63d22757,completed,completed,v0.7.1,1255.1011187235515,5680334,6502403,2048,2137.797542
mayfly-r16,9,111009,67abfa48-a0d3-4ed7-91b8-e3e2cb75e1db,completed,completed,v0.7.1,984.63920720418298,2035252,6533123,2048,2327.695590
cmaes-single,9,111009,2ef537f3-5777-4c80-b1eb-145b1c7f2b6a,completed,completed,v0.1.0,911.38956832885742,1498112,1779715,1738,577.097283
cmaes-ipop,9,111009,58327600-cbfc-4e0b-a1f9-cfe55772d8a7,completed,completed,v0.1.0,911.38956832885742,1498112,6502403,3912,1937.384235
sep-cmaes-ipop,9,111009,69a6fb05-5871-4c6c-85f3-7566511f5c55,completed,completed,v0.1.0,865.77431996663415,2623488,6502403,2779,1458.322391
mayfly-single,10,111010,488d17dd-66d6-47a4-8208-f13d3ac0cbb5,completed,completed,v0.7.1,1208.9468015034993,2918954,6502403,2048,2101.144510
mayfly-r16,10,111010,40d60b67-cf75-40a8-9cc0-1f8d479df68a,completed,completed,v0.7.1,974.19400787353516,816640,6533123,2048,2271.606850
