arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
pol-none,1,130001,d00d4599-910c-4e6c-a4bf-0c8a8d3ef7db,completed,completed,v0.1.0,576.51471074422204,5916901,6227303,97302,3703.602746,cpu
pol-term-cma,1,130001,078b9620-ce26-4131-b69e-d8076e1490a8,completed,completed,v0.1.0,560.00680541992188,6947391,7507368,122902,4755.275429,cpu
pol-int-cma,1,130001,fb2065da-b909-4693-ad36-8eea8a50e2ff,completed,completed,v0.1.0,555.76959864298499,7495855,7495855,122722,7230.205366,cpu
pol-term-may,1,130001,9556ea9f-f902-407a-ac31-4ec1d35a7442,completed,completed,v0.1.0,563.82299041748047,7511720,7511720,105494,4603.286265,cpu
pol-int-may,1,130001,a0411c69-c46b-4ee1-ae61-872161347682,completed,completed,v0.1.0,560.32328796386719,7505647,7505647,105399,7125.999191,cpu
pol-none,2,130002,9fe6e55a-f487-4d38-846c-11d3230f140e,completed,completed,v0.1.0,576.66159693400061,6038373,6231847,97373,3811.317298,cpu
pol-term-cma,2,130002,aaab190a-e2bd-40da-8646-015d94bc7651,completed,completed,v0.1.0,554.09003702799475,7311953,7511912,122973,5024.064510,cpu
pol-int-cma,2,130002,27fc7704-91a9-43dc-8487-a99e7e29728f,completed,completed,v0.1.0,556.17800903320312,7500783,7500783,122799,7298.792273,cpu
pol-term-may,2,130002,8f63fccc-f101-4be6-88fd-3f5ac5df06ee,completed,completed,v0.1.0,560.58314514160156,7516264,7516264,105565,4937.608193,cpu
pol-int-may,2,130002,75d1f13b-4329-4087-a14b-4eefcf652b19,completed,completed,v0.1.0,565.20545705159509,7490799,7490799,105167,7267.300186,cpu
pol-none,3,130003,6e66c938-4438-4fc7-843a-7e46a027fd72,completed,completed,v0.1.0,574.02086512247718,5895013,6207079,96986,4053.718447,cpu
pol-term-cma,3,130003,7c02c413-ff62-460c-84fa-e9f921a8c33a,completed,completed,v0.1.0,555.36042912801111,7487144,7487144,122586,5078.130532,cpu
pol-int-cma,3,130003,f8839c5d-19e1-4189-9c52-95a71fd5c41e,completed,completed,v0.1.0,557.93031565348304,7444256,7484207,122540,7342.524516,cpu
pol-term-may,3,130003,98eaed97-e468-452f-808e-23ce8f3348a7,completed,completed,v0.1.0,563.11616770426429,7451615,7491496,105178,4963.996511,cpu
pol-int-may,3,130003,37cb6701-8f7c-42d6-b02e-0bdf76e8c499,completed,completed,v0.1.0,560.83027267456055,7504943,7504943,105388,7270.740413,cpu
pol-none,4,130004,e0c265a4-3e0c-413e-a305-e359a4272aca,completed,completed,v0.1.0,574.004892985026,5984613,6206247,96973,4083.603492,cpu
pol-term-cma,4,130004,c650f2c6-3f82-407f-8ce2-97539e431a62,completed,completed,v0.1.0,555.37024307250977,7206349,7486312,122573,5131.748460,cpu
pol-int-cma,4,130004,b4d7cc8d-0be7-4e31-99e7-c0f59b47c282,completed,completed,v0.1.0,555.10912704467773,7461600,7501551,122811,7340.328108,cpu
pol-term-may,4,130004,684c4121-4afa-4a84-bd2c-95cd6677aac8,completed,completed,v0.1.0,559.37010320027673,7450783,7490664,105165,5080.392942,cpu
pol-int-may,4,130004,c027bb75-5631-482c-9bd0-4d5845b396ba,completed,completed,v0.1.0,563.69636281331384,7510959,7510959,105482,7275.220155,cpu
pol-none,5,130005,feb50f81-6426-4730-9b2e-93ebd4595649,completed,completed,v0.1.0,576.51514434814453,6185317,6228199,97316,4082.682629,cpu
pol-term-cma,5,130005,bd848e60-5eb4-4363-98c1-4fbeb103ba10,completed,completed,v0.1.0,558.91877365112305,7468313,7508264,122916,5154.115205,cpu
pol-int-cma,5,130005,0cb1a8a0-8299-400c-9c14-d02a4de8866b,completed,completed,v0.1.0,553.71412785847986,7458528,7498479,122763,7336.834635,cpu
pol-term-may,5,130005,7033db9f-0314-49bf-8647-e73e2e152a52,completed,completed,v0.1.0,563.43851598103845,7512616,7512616,105508,5348.749587,cpu
pol-int-may,5,130005,f07552cc-1880-4b65-a5bf-c8897dc639cc,completed,completed,v0.1.0,571.48694610595703,7442598,7482479,105037,7306.185148,cpu
pol-none,6,130006,c539c956-4b88-47c1-abaa-3db7fe3f97fb,completed,completed,v0.1.0,574.11575063069665,5787813,6217319,97146,4138.944321,cpu
pol-term-cma,6,130006,0a90291f-9d59-4b3c-90b6-fe356d067015,completed,completed,v0.1.0,555.16407140096032,7337427,7497384,122746,5459.476710,cpu
pol-int-cma,6,130006,0ecef8f7-0dfb-40b4-aa1e-f816acb02ced,completed,completed,v0.1.0,556.42191823323571,7451296,7491247,122650,7369.807832,cpu
pol-term-may,6,130006,a5fa37fb-1a2d-4cdf-98e8-c78120e705fc,completed,completed,v0.1.0,559.70298639933264,7501736,7501736,105338,5423.057963,cpu
pol-int-may,6,130006,8372f31b-ec40-40ac-b457-e90ef64f3134,completed,completed,v0.1.0,558.92626190185547,7490927,7490927,105169,7303.154003,cpu
pol-none,7,130007,3a53a94c-6c68-48f3-99d8-155551cb45d7,completed,completed,v0.1.0,574.1246223449707,5460517,6223335,97240,4137.099222,cpu
pol-term-cma,7,130007,4f3fa650-3946-4fbd-b8c9-8791a03d8383,completed,completed,v0.1.0,556.9971822102865,6823417,7503400,122840,5579.514856,cpu
pol-int-cma,7,130007,90440586-6569-415c-892e-1463b12b76c1,completed,completed,v0.1.0,557.98626708984375,7452192,7492143,122664,7368.896645,cpu
pol-term-may,7,130007,0c8788e6-2105-4548-bef6-252bc0fff63a,completed,completed,v0.1.0,561.68262227376306,7507752,7507752,105432,5477.178069,cpu
pol-int-may,7,130007,04c98d38-df58-4899-be2a-521c81bd179a,completed,completed,v0.1.0,560.93183135986328,7509807,7509807,105464,7215.605597,cpu
pol-none,8,130008,b1eaf47b-e79f-48bc-96cf-710efb668f28,completed,completed,v0.1.0,574.0176671346029,5598437,6216679,97136,4110.900514,cpu
pol-term-cma,8,130008,a98b7781-6e87-4a37-a667-7b1138f88fbb,completed,completed,v0.1.0,555.4291102091471,7496744,7496744,122736,5676.065040,cpu
pol-int-cma,8,130008,e9af1a01-a9ba-42f8-916e-ca45a2d12f3e,completed,completed,v0.1.0,555.31690343221032,7411870,7491823,122659,7301.819298,cpu
pol-term-may,8,130008,cc9d6d98-7781-488f-b9ff-9e32fc61e67e,completed,completed,v0.1.0,562.73619969685876,7461215,7501096,105328,5696.758489,cpu
pol-int-may,8,130008,3570e619-05df-4004-9923-fce3bf35ac6b,completed,completed,v0.1.0,562.14514541625977,7497519,7497519,105272,7242.876831,cpu
pol-none,9,130009,93e244e5-645f-4f8b-a4ee-54f0794382f1,completed,completed,v0.1.0,576.53764979044593,6022821,6225703,97277,4132.488017,cpu
pol-term-cma,9,130009,2a2fbc3e-db31-4ccf-a959-76bae00c13d7,completed,completed,v0.1.0,560.42809804280603,7465817,7505768,122877,5670.352128,cpu
pol-int-cma,9,130009,0f6363e8-5085-4b31-8ec3-db2bdf42046d,completed,completed,v0.1.0,556.13984044392907,7494255,7494255,122697,7300.465320,cpu
pol-term-may,9,130009,1f540d76-2844-4fe9-94d3-2d237e08ecb7,completed,completed,v0.1.0,564.51076253255212,7510120,7510120,105469,5595.235756,cpu
pol-int-may,9,130009,03b627b9-c97e-4fbe-ad1d-054e872cde6d,completed,completed,v0.1.0,562.06764729817712,7502767,7502767,105354,7251.508146,cpu
pol-none,10,130010,f0192232-7614-4e0e-b0b8-5b15f45e7cc5,completed,completed,v0.1.0,574.12581761678064,5836197,6219431,97179,4194.978118,cpu
pol-term-cma,10,130010,cf849b95-b636-4235-a35c-e116d89ee88f,completed,completed,v0.1.0,556.66456349690759,7459545,7499496,122779,5988.292051,cpu
pol-int-cma,10,130010,b5beccbb-114d-4323-8f16-06e008ca0bf3,completed,completed,v0.1.0,557.89163208007812,7457504,7497455,122747,7299.876400,cpu
pol-term-may,10,130010,21938467-7c8b-4bce-b5da-2d12028d78f6,completed,completed,v0.1.0,563.07733535766602,7503848,7503848,105371,5890.240137,cpu
pol-int-may,10,130010,2ca94ba7-6d04-430c-bae5-0781bf120475,completed,completed,v0.1.0,560.22535959879554,7502959,7502959,105357,7254.122364,cpu
pol-none,11,130011,2e08fad6-ad10-4442-99b7-afdd593c9ee2,completed,completed,v0.1.0,576.51197687784827,5542245,6223079,97236,4285.320503,cpu
pol-term-cma,11,130011,180c0b89-7e18-47c7-9259-c6333ad3c1ed,completed,completed,v0.1.0,560.00997543334961,7223181,7503144,122836,6078.115707,cpu
pol-int-cma,11,130011,eef32104-4853-4d80-87dc-59af8a570582,completed,completed,v0.1.0,555.02799479166663,7481391,7481391,122496,7312.357607,cpu
pol-term-may,11,130011,263f93bb-aea7-420d-afb2-a64f2af32cc5,completed,completed,v0.1.0,562.86324691772461,7467615,7507496,105428,6050.404563,cpu
pol-int-may,11,130011,5a65e236-c7a3-4ac8-8ff9-4bd6fdf68a06,completed,completed,v0.1.0,561.48706563313806,7513455,7513455,105521,7275.561077,cpu
pol-none,12,130012,d280823b-e66c-497d-9c1e-ca7c5540e911,completed,completed,v0.1.0,574.09862518310547,5817573,6214887,97108,4375.868734,cpu
pol-term-cma,12,130012,2008a1aa-68cc-4b9d-9016-e7726aa30c76,completed,completed,v0.1.0,555.71797688802087,7214989,7494952,122708,6262.929306,cpu
pol-int-cma,12,130012,749fde90-7cf6-4c7c-9f48-27f31efbce80,completed,completed,v0.1.0,554.59737523396814,7497007,7497007,122740,7315.633201,cpu
pol-term-may,12,130012,c48fcc0d-682c-4ffe-9ca4-abbed0c9fc48,completed,completed,v0.1.0,561.198496500651,7499304,7499304,105300,6110.641554,cpu
pol-int-may,12,130012,161fd950-beeb-4bda-b9d6-e31775a6248d,completed,completed,v0.1.0,561.32607777913415,7471206,7511087,105484,7284.580712,cpu
