arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
pol-none,1,130001,0,0,,0,163,10432,707.25000890096032,convergence
pol-none,1,130001,0,1,,0,192,12288,707.25134913126624,convergence
pol-none,1,130001,0,2,,0,165,10560,707.25000890096032,convergence
pol-none,1,130001,0,3,,0,146,9344,708.95520401000977,convergence
pol-none,1,130001,0,4,,0,185,11840,707.25165430704749,convergence
pol-none,1,130001,0,5,,0,154,9856,707.24989573160804,convergence
pol-none,1,130001,0,6,,0,162,10368,707.25846354166663,convergence
pol-none,1,130001,0,7,,0,122,7808,717.36565780639648,convergence
pol-none,1,130001,0,8,,0,186,11904,707.27204132080078,convergence
pol-none,1,130001,0,9,,0,135,8640,709.43803151448571,convergence
pol-none,1,130001,0,10,,0,155,9920,707.25058237711585,convergence
pol-none,1,130001,0,11,,0,135,8640,703.97793706258142,convergence
pol-none,1,130001,0,12,,0,132,8448,711.49836095174157,convergence
pol-none,1,130001,0,13,,0,181,11584,707.25875854492188,convergence
pol-none,1,130001,0,14,,0,140,8960,712.5828641255697,convergence
pol-none,1,130001,0,15,,0,214,13696,707.2493794759115,convergence
pol-none,1,130001,0,16,,0,204,13056,707.24937057495117,convergence
pol-none,1,130001,0,17,,0,166,10624,707.25134913126624,convergence
pol-none,1,130001,0,18,,0,158,10112,703.24639383951819,convergence
pol-none,1,130001,0,19,,0,123,7872,711.49836095174157,convergence
pol-none,1,130001,0,20,,0,193,12352,707.25038146972656,convergence
pol-none,1,130001,0,21,,0,160,10240,707.26877339680993,convergence
pol-none,1,130001,0,22,,0,210,13440,707.25008773803711,convergence
pol-none,1,130001,0,23,,0,208,13312,721.41930389404297,convergence
pol-none,1,130001,0,24,,0,154,9856,707.25706100463867,convergence
pol-none,1,130001,0,25,,0,165,10560,707.25000890096032,convergence
pol-none,1,130001,0,26,,0,185,11840,707.27617009480798,convergence
pol-none,1,130001,0,27,,0,180,11520,707.25202687581384,convergence
pol-none,1,130001,0,28,,0,120,7680,703.97617721557617,convergence
pol-none,1,130001,0,29,,0,177,11328,707.27132797241211,convergence
pol-none,1,130001,0,30,,0,139,8896,717.76983515421546,convergence
pol-none,1,130001,0,31,,0,123,7872,711.49662272135413,convergence
pol-none,1,130001,0,32,,0,178,11392,707.24900054931641,convergence
pol-none,1,130001,0,33,,0,130,8320,711.49117151896155,convergence
pol-none,1,130001,0,34,,0,204,13056,707.25134913126624,convergence
pol-none,1,130001,0,35,,0,157,10048,707.25381596883142,convergence
pol-none,1,130001,0,36,,0,107,6848,703.98246637980139,convergence
pol-none,1,130001,0,37,,0,165,10560,707.25071716308594,convergence
pol-none,1,130001,0,38,,0,159,10176,703.20934422810876,convergence
pol-none,1,130001,0,39,,0,214,13696,707.25783793131507,convergence
pol-none,1,130001,0,40,,0,138,8832,707.28180567423499,convergence
pol-none,1,130001,0,41,,0,161,10304,716.92364120483398,convergence
pol-none,1,130001,0,42,,0,168,10752,707.25071716308594,convergence
pol-none,1,130001,0,43,,0,154,9856,707.25211207071936,convergence
pol-none,1,130001,0,44,,0,123,7872,711.49117151896155,convergence
pol-none,1,130001,0,45,,0,162,10368,707.25633239746094,convergence
pol-none,1,130001,0,46,,0,156,9984,721.42591222127282,convergence
pol-none,1,130001,0,47,,0,126,8064,703.97863133748376,convergence
pol-none,1,130001,0,48,,0,151,9664,707.25663757324219,convergence
pol-none,1,130001,0,49,,0,125,8000,711.49662272135413,convergence
pol-none,1,130001,0,50,,0,172,11008,707.25000890096032,convergence
pol-none,1,130001,0,51,,0,134,8576,711.49117151896155,convergence
pol-none,1,130001,0,52,,0,199,12736,707.24900054931641,convergence
pol-none,1,130001,0,53,,0,181,11584,707.2562472025553,convergence
pol-none,1,130001,0,54,,0,146,9344,707.26348749796546,convergence
pol-none,1,130001,0,55,,0,132,8448,711.14456049601233,convergence
pol-none,1,130001,0,56,,0,168,10752,707.25705591837561,convergence
pol-none,1,130001,0,57,,0,159,10176,707.25217056274414,convergence
pol-none,1,130001,0,58,,0,184,11776,707.25591278076172,convergence
pol-none,1,130001,0,59,,0,200,12800,707.24889755249023,convergence
pol-none,1,130001,0,60,,0,116,7424,703.97793706258142,convergence
pol-none,1,130001,0,61,,0,153,9792,707.27681350708008,convergence
pol-none,1,130001,0,62,,0,161,10304,707.25030771891272,convergence
pol-none,1,130001,0,63,,0,121,7744,721.42610295613611,convergence
pol-none,1,130001,0,64,,0,150,9600,707.25706100463867,convergence
pol-none,1,130001,0,65,,0,178,11392,707.25146865844727,convergence
pol-none,1,130001,0,66,,0,160,10240,721.42872492472327,convergence
pol-none,1,130001,0,67,,0,161,10304,707.25633239746094,convergence
pol-none,1,130001,0,68,,0,185,11840,707.25360616048181,convergence
pol-none,1,130001,0,69,,0,136,8704,711.49117151896155,convergence
pol-none,1,130001,0,70,,0,149,9536,707.25202687581384,convergence
pol-none,1,130001,0,71,,0,141,9024,707.25633239746094,convergence
pol-none,1,130001,0,72,,0,184,11776,707.25114313761389,convergence
pol-none,1,130001,0,73,,0,165,10560,721.9943631490072,convergence
pol-none,1,130001,0,74,,0,137,8768,721.42610295613611,convergence
pol-none,1,130001,0,75,,0,126,8064,711.4885368347168,convergence
pol-none,1,130001,1,0,,0,142,9088,687.18671417236328,convergence
pol-none,1,130001,1,1,,0,141,9024,687.18456141153968,convergence
pol-none,1,130001,1,2,,0,157,10048,687.18230819702148,convergence
pol-none,1,130001,1,3,,0,185,11840,691.42113494873047,convergence
pol-none,1,130001,1,4,,0,167,10688,687.19115320841468,convergence
pol-none,1,130001,1,5,,0,158,10112,687.19156901041663,convergence
pol-none,1,130001,1,6,,0,179,11456,691.4539578755697,convergence
pol-none,1,130001,1,7,,0,131,8384,686.34471766153968,convergence
pol-none,1,130001,1,8,,0,147,9408,687.16886011759436,convergence
pol-none,1,130001,1,9,,0,138,8832,686.31810887654626,convergence
pol-none,1,130001,1,10,,0,151,9664,686.09545135498047,convergence
pol-none,1,130001,1,11,,0,162,10368,687.19131215413415,convergence
pol-none,1,130001,1,12,,0,168,10752,690.79231770833337,convergence
pol-none,1,130001,1,13,,0,156,9984,687.14735666910804,convergence
pol-none,1,130001,1,14,,0,149,9536,686.14857228597009,convergence
pol-none,1,130001,1,15,,0,141,9024,687.17286046346032,convergence
pol-none,1,130001,1,16,,0,157,10048,682.0769373575846,convergence
pol-none,1,130001,1,17,,0,132,8448,687.19205856323242,convergence
pol-none,1,130001,1,18,,0,157,10048,692.46161651611328,convergence
pol-none,1,130001,1,19,,0,127,8128,687.19237009684241,convergence
pol-none,1,130001,1,20,,0,181,11584,691.51676305135095,convergence
pol-none,1,130001,1,21,,0,122,7808,686.32529830932617,convergence
pol-none,1,130001,1,22,,0,163,10432,691.64112726847327,convergence
pol-none,1,130001,1,23,,0,135,8640,687.180898030599,convergence
pol-none,1,130001,1,24,,0,168,10752,687.18698501586914,convergence
pol-none,1,130001,1,25,,0,173,11072,684.80008061726892,convergence
pol-none,1,130001,1,26,,0,177,11328,687.18828074137366,convergence
pol-none,1,130001,1,27,,0,149,9536,687.19141387939453,convergence
pol-none,1,130001,1,28,,0,167,10688,691.55429585774743,convergence
pol-none,1,130001,1,29,,0,202,12928,691.13889821370446,convergence
pol-none,1,130001,1,30,,0,149,9536,687.19174575805664,convergence
pol-none,1,130001,1,31,,0,170,10880,687.11488596598304,convergence
pol-none,1,130001,1,32,,0,192,12288,692.18655395507812,convergence
pol-none,1,130001,1,33,,0,160,10240,687.19764963785804,convergence
pol-none,1,130001,1,34,,0,187,11968,682.07725397745764,convergence
pol-none,1,130001,1,35,,0,149,9536,687.20483016967773,convergence
pol-none,1,130001,1,36,,0,131,8384,687.17286046346032,convergence
pol-none,1,130001,1,37,,0,202,12928,694.99323654174805,convergence
pol-none,1,130001,1,38,,0,131,8384,687.17734018961585,convergence
pol-none,1,130001,1,39,,0,135,8640,687.17286046346032,convergence
pol-none,1,130001,1,40,,0,162,10368,691.38024266560876,convergence
pol-none,1,130001,1,41,,0,128,8192,678.80311457316077,convergence
pol-none,1,130001,1,42,,0,166,10624,691.47412999471032,convergence
pol-none,1,130001,1,43,,0,127,8128,686.31847635904944,convergence
pol-none,1,130001,1,44,,0,192,12288,691.43692652384436,convergence
pol-none,1,130001,1,45,,0,157,10048,687.15086110432946,convergence
pol-none,1,130001,1,46,,0,132,8448,687.18774159749353,convergence
pol-none,1,130001,1,47,,0,144,9216,687.17939631144202,convergence
pol-none,1,130001,1,48,,0,181,11584,682.07840601603186,convergence
pol-none,1,130001,1,49,,0,150,9600,687.14032618204749,convergence
pol-none,1,130001,1,50,,0,150,9600,686.93968327840173,convergence
pol-none,1,130001,1,51,,0,121,7744,678.80487442016602,convergence
