arm,block,seed,stage,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
pol-none,1,130001,0,2,87,728.30233128865564,,0.28054323440672313,1.7435684524452482,0.29424148734172301,0
pol-none,1,130001,0,52,3287,708.68571599324548,,0.37001652425850939,725.95791804697569,0.072527441115663102,0
pol-none,1,130001,0,102,6487,707.28133265177405,,0.17261746591841826,660091.41354968224,0.006046638220319916,0
pol-none,1,130001,0,162,10327,707.25000890096032,,0.11917030373547065,17406654.332257181,0.0010569357086950887,0
pol-none,1,130001,0,208,13271,707.25000890096032,,0.41934569664635224,818.02575270052955,0.12116750726417079,1
pol-none,1,130001,0,254,16215,707.25000890096032,,0.44420164468442952,156363.93007305244,0.017885261670261193,1
pol-none,1,130001,0,300,19159,707.25000890096032,,0.20722916543596742,2636367.0912296297,0.0018911266376305106,1
pol-none,1,130001,0,369,23575,707.25000890096032,,0.30503932706713194,20.123648454354704,0.26505198080670062,2
pol-none,1,130001,0,415,26519,707.25000890096032,,0.77557686639190948,16136.651256293799,0.12842982360429506,2
pol-none,1,130001,0,461,29463,707.25000890096032,,0.33230203769910227,4249791.8185079377,0.012898877771837503,2
pol-none,1,130001,0,507,32407,707.25000890096032,,0.15703907059612962,17717542.986710753,0.0014040384376313468,2
pol-none,1,130001,0,553,35351,707.25000890096032,,0.513558169880312,209.55254025993929,0.24975349613320966,3
pol-none,1,130001,0,599,38295,707.25000890096032,,1.6589154364655516,1238.7386439724187,0.15468577405376371,3
pol-none,1,130001,0,668,42711,707.25000890096032,,0.29035102458623607,1.8907220555185846,0.31055489537351361,4
pol-none,1,130001,0,714,45655,707.25000890096032,,0.25738999843699778,1353.3594849185899,0.064818607263990635,4
pol-none,1,130001,0,760,48599,707.25000890096032,,0.23106173548344494,262864.84411362204,0.010254057422597426,4
pol-none,1,130001,0,806,51543,707.25000890096032,,0.096317020760336033,7910359.7791247182,0.0019738284418673326,4
pol-none,1,130001,0,852,54487,707.25000890096032,,0.13424320600716544,230593.54451859585,0.00010921531640039677,4
pol-none,1,130001,0,898,57431,707.25000890096032,,0.40607775765977189,1195.096752600268,0.12858424449386352,5
pol-none,1,130001,0,967,61847,707.25000890096032,,0.22399245031864543,3499204.5275317682,0.0058822784471697061,5
pol-none,1,130001,0,1013,64791,707.24989573160804,,0.47828340565210298,12.244336212868065,0.60498150122287153,6
pol-none,1,130001,0,1059,67735,707.24989573160804,,0.33810573842443581,2052.9300070492914,0.055654966030545358,6
pol-none,1,130001,0,1105,70679,707.24989573160804,,0.19970087889631274,1284601.4521678183,0.0084568910940710004,6
pol-none,1,130001,0,1151,73623,707.24989573160804,,0.17192481895281625,5274153.5225153323,0.0012446968057023505,6
pol-none,1,130001,0,1197,76567,707.24989573160804,,0.33556083802725911,195.69550590905337,0.23163510050022651,7
pol-none,1,130001,0,1243,79511,707.24989573160804,,0.18760711844324507,1679.761296893779,0.011046547095622755,7
pol-none,1,130001,0,1312,83927,707.24989573160804,,0.22689632069635166,71.892927938497451,0.13615740181138339,8
