arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
sep-r2-l1024,1,111013,21949bde-c4a8-4528-8bcd-25a08ba8e693,completed,completed,v0.1.0,982.0013542175293,2046976,2223107,2171,740.990702,cpu
sep-r8-l256,1,111013,a56e55f5-4ee6-45f8-abd7-63d072ca4f42,completed,completed,v0.1.0,893.11152140299475,378112,1894915,7402,635.642058,cpu
sep-r32-l64,1,111013,e38e2382-1882-45a1-b119-ab731d54afac,completed,completed,v0.1.0,898.58785502115882,997120,2316931,36202,971.248716,cpu
sep-r64-l32,1,111013,5f563368-f879-4bba-9fef-670a97ccded9,completed,completed,v0.1.0,916.02159881591797,338976,2903235,90726,1258.133422,cpu
sep-ipop,1,111013,d077a847-0132-4160-81e1-a383ff46fbec,completed,completed,v0.1.0,979.71432876586914,4489216,6502403,3496,2208.786087,cpu
sep-ipop-w60,1,111013,013b0f97-910a-4cff-8258-b8ebecf88abd,completed,completed,v0.1.0,872.36816914876306,5954560,6502403,3571,1800.423646,cpu
sep-bipop-w60,1,111013,fb4fac00-9657-4de7-9bc2-a68d271b9167,completed,completed,v0.1.0,873.07457733154297,3738624,6502403,4259,2195.006057,cpu
sep-r2-l1024,2,111014,6812bb89-7ad0-46be-9b7f-9bd7e143f0d5,completed,completed,v0.1.0,971.03784306844079,2040832,2219011,2167,745.391214,cpu
sep-r8-l256,2,111014,193a5de9-1c05-470a-948d-4a66f55ace6a,completed,completed,v0.1.0,862.50557835896814,1441792,2043907,7984,664.146680,cpu
sep-r32-l64,2,111014,37264d89-0fde-48d5-b06d-f5b2c648ac0b,completed,completed,v0.1.0,840.81680297851562,1206656,2243395,35053,930.956338,cpu
sep-r64-l32,2,111014,23b11d94-320d-41b8-a409-3844624fe3a8,completed,completed,v0.1.0,824.36518224080407,2644960,2806275,87696,1244.340847,cpu
sep-ipop,2,111014,c127ed34-c231-4711-a804-4df4499239c9,completed,completed,v0.1.0,886.78351338704431,4376576,6502403,3328,2019.380153,cpu
sep-ipop-w60,2,111014,56a08cec-8f4a-4b08-b0f9-a95be233b824,completed,completed,v0.1.0,893.49309158325195,3659776,6502403,3083,2121.714907,cpu
sep-bipop-w60,2,111014,3f1fc37d-d8de-4f2f-888b-b6a02427eafd,completed,completed,v0.1.0,852.37690989176429,4432896,6502403,5051,2259.624286,cpu
sep-r2-l1024,3,111015,8fbc8b85-b158-4b69-86d0-09a5dcb72dae,completed,completed,v0.1.0,877.00405756632483,706560,1732611,1692,578.501088,cpu
sep-r8-l256,3,111015,4642653d-8e19-4479-956b-3dd32551b0c9,completed,completed,v0.1.0,903.29203287760413,1883392,1907459,7451,762.798722,cpu
sep-r32-l64,3,111015,34f82fda-ada7-45f5-890c-8963d40bd3fa,completed,completed,v0.1.0,905.70560328165686,1036992,2357251,36832,1145.441958,cpu
sep-r64-l32,3,111015,1d08cd09-9fe5-4c78-9d86-92336a3d2012,completed,completed,v0.1.0,856.88713328043616,2032480,2753763,86055,1317.605533,cpu
sep-ipop,3,111015,0e7bb843-67f4-4cae-b6ac-cedbf083e7d5,completed,completed,v0.1.0,852.73377863566077,4320256,6502403,3240,1820.948935,cpu
sep-ipop-w60,3,111015,56197021-497d-4227-8b02-15f053ad6ab5,completed,completed,v0.1.0,877.00405756632483,706560,6502403,2683,1925.330317,cpu
sep-bipop-w60,3,111015,873dd95e-6fd8-473d-a6c9-13c66a3fe311,completed,completed,v0.1.0,865.11179097493493,6493664,6502403,3711,1975.154691,cpu
sep-r2-l1024,4,111016,c444873c-2043-434e-8d51-505cdd93e315,completed,completed,v0.1.0,886.78205108642578,956416,2190339,2139,679.831560,cpu
sep-r8-l256,4,111016,c80ee027-8904-4577-a0c4-2b0df6eaf782,completed,completed,v0.1.0,886.44420623779297,1879040,1897475,7412,641.129248,cpu
sep-r32-l64,4,111016,16e46448-4bfd-4100-96b7-093b3816d3c6,completed,completed,v0.1.0,899.96011225382483,1848064,2443651,38182,1033.138878,cpu
sep-r64-l32,4,111016,9e6bb7ae-a19f-47cc-977e-c69c2ec8982c,completed,completed,v0.1.0,863.30606587727868,655808,2760835,86276,1167.721379,cpu
