arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop,1,111013,0,0,large,1024,1126,1153024,1052.5381533304851,tol_fun
sep-ipop,1,111013,0,1,large,2048,2128,4358144,979.71432876586914,tol_fun
sep-ipop,1,111013,0,2,large,4096,242,991232,1082.238956451416,maximum_evaluations
sep-ipop-w60,1,111013,0,0,large,1024,999,1022976,1052.5381533304851,stagnation
sep-ipop-w60,1,111013,0,1,large,2048,2468,5054464,872.36816914876306,stagnation
sep-ipop-w60,1,111013,0,2,large,4096,104,424960,1347.4042841593425,maximum_evaluations
sep-bipop-w60,1,111013,0,0,large,1024,999,1022976,1052.5381533304851,stagnation
sep-bipop-w60,1,111013,0,1,small,1024,231,236544,980.78179295857751,maximum_evaluations
sep-bipop-w60,1,111013,0,2,small,1024,232,237568,920.12989044189453,maximum_evaluations
sep-bipop-w60,1,111013,0,3,small,1024,227,232448,939.87965774536133,maximum_evaluations
sep-bipop-w60,1,111013,0,4,small,1024,218,223232,977.59867731730139,maximum_evaluations
sep-bipop-w60,1,111013,0,5,small,1024,182,186368,1253.9052950541179,maximum_evaluations
sep-bipop-w60,1,111013,0,6,large,2048,841,1722368,873.07457733154297,stagnation
sep-bipop-w60,1,111013,0,7,small,2007,150,301050,1197.9873886108398,maximum_evaluations
sep-bipop-w60,1,111013,0,8,small,1604,22,35288,1598.7814992268879,maximum_evaluations
sep-bipop-w60,1,111013,0,9,small,1232,578,712096,1137.4292945861816,maximum_evaluations
sep-bipop-w60,1,111013,0,10,small,1922,358,688076,940.64458465576172,maximum_evaluations
sep-bipop-w60,1,111013,0,11,large,4096,221,904386,1091.5915056864421,maximum_evaluations
sep-ipop,2,111014,0,0,large,1024,1210,1239040,1114.7998809814453,tol_fun
sep-ipop,2,111014,0,1,large,2048,1666,3411968,886.78351338704431,tol_fun
sep-ipop,2,111014,0,2,large,4096,452,1851392,1053.4809697469075,maximum_evaluations
sep-ipop-w60,2,111014,0,0,large,1024,1144,1171456,1114.7998809814453,stagnation
sep-ipop-w60,2,111014,0,1,large,2048,1275,2611200,893.49309158325195,stagnation
sep-ipop-w60,2,111014,0,2,large,4096,664,2719744,963.34007517496741,maximum_evaluations
sep-bipop-w60,2,111014,0,0,large,1024,1144,1171456,1114.7998809814453,stagnation
sep-bipop-w60,2,111014,0,1,small,1024,178,182272,1018.6052805582682,maximum_evaluations
sep-bipop-w60,2,111014,0,2,small,1024,173,177152,1100.7486788431804,maximum_evaluations
sep-bipop-w60,2,111014,0,3,small,1024,306,313344,1247.9051005045574,maximum_evaluations
sep-bipop-w60,2,111014,0,4,small,1024,91,93184,1369.0053227742512,maximum_evaluations
sep-bipop-w60,2,111014,0,5,small,1024,113,115712,1290.0585823059082,maximum_evaluations
sep-bipop-w60,2,111014,0,6,small,1024,164,167936,1261.5549087524414,maximum_evaluations
sep-bipop-w60,2,111014,0,7,small,1024,534,546816,930.86798604329431,maximum_evaluations
sep-bipop-w60,2,111014,0,8,large,2048,873,1787904,852.37690989176429,stagnation
sep-bipop-w60,2,111014,0,9,small,1046,158,165268,1074.7197825113933,maximum_evaluations
sep-bipop-w60,2,111014,0,10,small,1067,846,902682,992.60504150390625,maximum_evaluations
sep-bipop-w60,2,111014,0,11,small,1412,392,553504,1032.194206237793,maximum_evaluations
sep-bipop-w60,2,111014,0,12,large,4096,79,325170,1392.2272961934407,maximum_evaluations
sep-ipop,3,111015,0,0,large,1024,975,998400,877.00405756632483,tol_fun
sep-ipop,3,111015,0,1,large,2048,1843,3774464,852.73377863566077,tol_fun
sep-ipop,3,111015,0,2,large,4096,422,1729536,922.94817733764648,maximum_evaluations
sep-ipop-w60,3,111015,0,0,large,1024,750,768000,877.00405756632483,stagnation
sep-ipop-w60,3,111015,0,1,large,2048,1066,2183168,939.36024220784509,stagnation
sep-ipop-w60,3,111015,0,2,large,4096,867,3551232,926.1539192199707,maximum_evaluations
sep-bipop-w60,3,111015,0,0,large,1024,750,768000,877.00405756632483,stagnation
sep-bipop-w60,3,111015,0,1,small,1024,225,230400,943.70312627156579,maximum_evaluations
sep-bipop-w60,3,111015,0,2,small,1024,255,261120,1263.2351684570312,maximum_evaluations
