arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
sep-r2-l1024,1,111013,1,1024,7977.0302276611328,,0.2890300685685277,7.0563035858904506,0.13913979862240441,0
sep-r2-l1024,1,111013,5,5120,1935.8668543497722,,0.79650240332720268,25.074566130983523,0.68557326298915122,0
sep-r2-l1024,1,111013,10,10240,1691.8655738830566,,1.2922715588485434,21.638767790959864,0.75000513459031881,0
sep-r2-l1024,1,111013,20,20480,1642.5118319193523,,1.9922040546198505,5.9385822471449536,0.33189632204310926,0
sep-r2-l1024,1,111013,25,25600,1642.5118319193523,,2.2596768339493987,8.112225674321472,0.29363326382288613,0
sep-r2-l1024,1,111013,40,40960,1530.8413111368816,,4.0748827101212264,137.65506960013971,0.27823357166276763,0
sep-r2-l1024,1,111013,50,51200,1462.6151746114094,,5.9429647882612144,188.79437990948639,0.25426942897048854,0
sep-r2-l1024,1,111013,75,76800,1370.0557518005371,,13.508851750932928,1781.7417820140067,0.25398145061278798,0
sep-r2-l1024,1,111013,80,81920,1357.4318707784016,,16.13152414754552,2273.4567992501884,0.23666566759363916,0
sep-r2-l1024,1,111013,100,102400,1335.324784596761,,27.568727932073237,14236.881938557251,0.24040800725401382,0
sep-r2-l1024,1,111013,125,128000,1322.4076588948567,,70.423755849216718,77413.25529042806,0.24729448703728346,0
sep-r2-l1024,1,111013,149,152576,1303.7346674601238,,255.37999582499569,45769.628091949802,0.24927252923525822,0
sep-r2-l1024,1,111013,160,163840,1294.8966471354167,,437.23376432685922,42654.17148666436,0.22748274455342302,0
sep-r2-l1024,1,111013,174,178176,1287.3869883219402,,857.78432886938322,46788.675325956712,0.23458957495655414,0
sep-r2-l1024,1,111013,199,203776,1260.9398918151855,,4047.7183687632673,24660.692322567524,0.22416427794882282,0
sep-r2-l1024,1,111013,224,229376,1199.9591217041016,,20990.318397468807,4454.0885534370354,0.18715645593254754,0
sep-r2-l1024,1,111013,249,254976,1130.0395456949871,,78815.153559520666,667.89992343241579,0.08177757923276148,0
sep-r2-l1024,1,111013,255,261120,1116.1947072347004,,103106.13296070769,1040.5410112725656,0.089654515280044547,0
sep-r2-l1024,1,111013,273,279552,1098.0478833516438,,171126.32874921252,4350.7773567028553,0.097338286186166273,0
sep-r2-l1024,1,111013,298,305152,1089.723684946696,,447407.43954912818,54499.662287583487,0.16057471874058535,0
sep-r2-l1024,1,111013,323,330752,1084.0772768656414,,1266148.6216464147,172282.88097218247,0.17855987468112697,0
sep-r2-l1024,1,111013,348,356352,1075.242015838623,,8037771.4900012463,2944.0920847339607,0.05923505893122949,0
sep-r2-l1024,1,111013,373,381952,1067.9348551432292,,26372761.134411637,1562.0558293797626,0.023885664053504806,0
sep-r2-l1024,1,111013,397,406528,1065.6473553975422,,58576523.647695206,2997.082158381967,0.021169512720279903,0
sep-r2-l1024,1,111013,422,432128,1064.1849314371746,,109311902.25150383,14810.444354283929,0.015324097082535192,0
sep-r2-l1024,1,111013,447,457728,1062.9591801961262,,176690552.66370276,60443.723292681134,0.0098998704987292296,0
sep-r2-l1024,1,111013,472,483328,1062.0240732828777,,333873614.42148906,181594.09209446178,0.0084371697710868415,0
sep-r2-l1024,1,111013,497,508928,1061.7316335042317,,805678376.92774928,392693.64837487647,0.007813163217916818,0
sep-r2-l1024,1,111013,521,533504,1061.6014417012532,,2451468220.4671669,547443.04038246151,0.0082895271492708037,0
sep-r2-l1024,1,111013,546,559104,1061.3561770121257,,12678697667.80496,347182.71978217672,0.0085401167832403809,0
sep-r2-l1024,1,111013,571,584704,1060.7435696919758,,70767303010.217636,143854.95017077841,0.0094149766820172971,0
sep-r2-l1024,1,111013,596,610304,1059.8621788024902,,398461197327.5144,108940.08292568661,0.010870848891867835,0
sep-r2-l1024,1,111013,621,635904,1059.0122095743816,,1988761767817.4463,55648.144013129619,0.012580234890239579,0
sep-r2-l1024,1,111013,645,660480,1058.2707074483235,,6654444792611.1152,107918.69041045883,0.011030512620737312,0
sep-r2-l1024,1,111013,670,686080,1057.1804962158203,,29154112391655.309,144058.42744070597,0.013098697446706328,0
sep-r2-l1024,1,111013,695,711680,1055.8421274820964,,204973803402896.12,55274.624108492724,0.017912009644909809,0
sep-r2-l1024,1,111013,720,737280,1053.9164924621582,,687979588368551.12,45503.370695384416,0.012808404046112566,0
sep-r2-l1024,1,111013,745,762880,1053.2537701924641,,1167580992966170.2,163489.56304114748,0.007421641015778857,0
sep-r2-l1024,1,111013,769,787456,1053.0405120849609,,2430752457706120,563211.14320458996,0.0099712597538328812,0
sep-r2-l1024,1,111013,794,813056,1052.8063710530598,,4412669474636057,1052198.7828409998,0.006305637638045411,0
sep-r2-l1024,1,111013,819,838656,1052.6487859090169,,6504007842939066,13682393.130718177,0.0054184953844049694,0
sep-r2-l1024,1,111013,844,864256,1052.5863838195801,,12096900034387952,52486856.830034636,0.0055902401081303907,0
sep-r2-l1024,1,111013,869,889856,1052.549934387207,,23615417991925304,185876743.48125079,0.0046886668066725614,0
sep-r2-l1024,1,111013,893,914432,1052.5410334269206,,30469158365716208,359371536.18213916,0.0044088476074535142,0
sep-r2-l1024,1,111013,918,940032,1052.539909362793,,35510994098597036,414125411.27857476,0.0037434498321427473,0
sep-r2-l1024,1,111013,943,965632,1052.5381533304851,,58390572153674680,324195380.31727999,0.0043547598037261982,0
