arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
full-ipop-l64,1,119001,036491a5-e21d-48a0-9f8f-c25f2a7662e8,completed,completed,v0.1.0,928.36686452229821,669376,6502403,9551,2552.935468,cpu
full-r32-l64,1,119001,995dfbe8-8eb2-4511-954a-81f81862d0b9,completed,completed,v0.1.0,872.11705780029297,1823360,3342851,52232,1718.166017,cpu
full-fill-l64,1,119001,cc060483-6810-4343-b3bd-7c28b2c60f97,completed,completed,v0.1.0,872.11705780029297,1823360,6408643,100135,3399.714535,cpu
full-ipop-l64,2,119002,2ab7a6b7-8bf5-4045-88a1-28dfc5ab65b1,completed,completed,v0.1.0,939.8897921244303,1246080,6502403,9116,2497.856441,cpu
full-r32-l64,2,119002,8039a695-3942-4c9d-a8b6-ba92e7e743c5,completed,completed,v0.1.0,903.96696980794275,2508352,3296515,51508,1760.518733,cpu
full-fill-l64,2,119002,473a913a-211b-4ca1-89e4-d8fb2f618801,completed,completed,v0.1.0,903.96696980794275,2508352,6402563,100040,3433.477496,cpu
full-ipop-l64,3,119003,9930d479-4213-4732-a54d-aa2e5ce90aad,completed,completed,v0.1.0,789.79812240600586,5904640,6502403,9202,2416.598594,cpu
full-r32-l64,3,119003,72209a45-f91f-4da3-8ea7-5c58092e3bc8,completed,completed,v0.1.0,916.55087788899743,1954688,3234755,50543,1732.316349,cpu
full-fill-l64,3,119003,eac9cc7f-3377-4253-a059-68b75dc76294,completed,completed,v0.1.0,915.01646041870117,5002176,6358979,99359,3517.289883,cpu
full-ipop-l64,4,119004,ac790b78-1d1e-44b5-b8f8-fe4a46f3c6ad,completed,completed,v0.1.0,950.71667607625329,2811264,6502403,9367,2539.647452,cpu
full-r32-l64,4,119004,c10b791a-5fe7-4f80-b963-b3333e83d75e,completed,completed,v0.1.0,927.03434880574548,1382912,3357827,52466,1837.221953,cpu
full-fill-l64,4,119004,502ad98a-39ca-4762-8e02-7c474880d6f7,completed,completed,v0.1.0,919.6700325012207,3445440,6320067,98751,3590.817525,cpu
full-ipop-l64,5,119005,16769a78-f370-4efa-bc3a-54a3d76fe918,completed,completed,v0.1.0,877.8552360534668,3024000,6502403,10263,2450.301279,cpu
full-r32-l64,5,119005,46b67faa-88df-44d6-95bb-6d16f7d3ad4c,completed,completed,v0.1.0,930.1159451802572,1278848,3474755,54293,1850.357467,cpu
full-fill-l64,5,119005,2f7c1c00-a1f5-4b9b-b025-cac9e3e5b53c,completed,completed,v0.1.0,915.06608835856116,5143744,6420227,100316,3447.179123,cpu
full-ipop-l64,6,119006,ba4a746e-8575-476f-8a92-8e97aa767095,completed,completed,v0.1.0,822.58345921834314,1506560,6502403,9291,2625.618862,cpu
full-r32-l64,6,119006,4d9e27fd-5785-49b8-81e3-e9d20cd5fa0d,completed,completed,v0.1.0,916.78442891438806,1719808,3200387,50006,1833.600494,cpu
full-fill-l64,6,119006,bb03723f-3055-46a8-a5cc-efa6749a56c0,completed,completed,v0.1.0,916.78442891438806,1719808,6361219,99394,3479.776571,cpu
full-ipop-l64,7,119007,27a06ef7-4fb4-4514-a040-89739d706084,completed,completed,v0.1.0,915.60743586222327,662080,6502403,9719,2572.076631,cpu
full-r32-l64,7,119007,824693a6-6f9c-4849-b662-97bb5bf3a232,completed,completed,v0.1.0,897.90805308024085,1743680,3409539,53274,1834.624808,cpu
full-fill-l64,7,119007,a0aadc40-e3d2-47d1-8901-b86f0c5acd2f,completed,completed,v0.1.0,887.81329472859704,5156096,6400579,100009,3353.438305,cpu
full-ipop-l64,8,119008,ac3e499b-2aa8-4cf5-a926-b3d8c0c96857,completed,completed,v0.1.0,932.5141817728678,385856,6502403,10916,2457.125404,cpu
full-r32-l64,8,119008,3d506287-117f-430e-b53c-eec73a4d9356,completed,completed,v0.1.0,938.27566401163733,2834944,3454851,53982,1785.746793,cpu
full-fill-l64,8,119008,5f2f887e-215d-467a-a169-6bdfe2c62a56,completed,completed,v0.1.0,910.65461730957031,4550912,6363779,99434,3360.541861,cpu
full-ipop-l64,9,119009,ed447266-787b-461c-b3c6-e6380a0f39c4,completed,completed,v0.1.0,886.03665542602539,1374656,6502403,9423,2534.300645,cpu
full-r32-l64,9,119009,cdec9a66-1bcd-4e92-9bc5-ed449186e92a,completed,completed,v0.1.0,876.61063385009766,2107648,3182147,49721,1583.948679,cpu
full-fill-l64,9,119009,f4c27088-6ad3-4471-8aca-e65b93cd0d26,completed,completed,v0.1.0,876.61063385009766,2107648,6434179,100534,3319.077216,cpu
full-ipop-l64,10,119010,3f91c0e8-c952-443f-b0ad-d6064e4df1ac,completed,completed,v0.1.0,884.06018320719397,5625984,6502403,9514,2421.219705,cpu
full-r32-l64,10,119010,44284532-8a90-481d-bc91-5c6b6491f4e4,completed,completed,v0.1.0,899.58112462361657,1766528,3192707,49886,1689.900005,cpu
full-fill-l64,10,119010,e0b1fb18-6540-4ff8-8666-d3ee922c4240,completed,completed,v0.1.0,899.58112462361657,1766528,6363907,99436,3405.085776,cpu
full-ipop-l64,11,119011,d613b9c8-4ad4-497c-b83e-a94186bc15bb,completed,completed,v0.1.0,1051.5128606160481,70464,6502403,9952,2716.523629,cpu
full-r32-l64,11,119011,4b776939-b2ab-4d07-b2f5-8d8939ad8318,completed,completed,v0.1.0,927.15655899047852,1091968,3294019,51469,1705.535740,cpu
full-fill-l64,11,119011,c3205fde-2595-454c-9f56-bf77204dedb8,completed,completed,v0.1.0,910.04778671264648,3643136,6358595,99353,3595.163559,cpu
full-ipop-l64,12,119012,15e92be0-c873-47e7-92e4-27fbcbdc78de,completed,completed,v0.1.0,907.48767598470056,1425728,6502403,9249,2607.815248,cpu
full-r32-l64,12,119012,f2306e58-131a-4409-998a-71ab79bc2e4d,completed,completed,v0.1.0,912.38337834676111,2520384,3516547,54946,1922.179530,cpu
full-fill-l64,12,119012,73d3c84a-b9d7-446f-a1dc-b2138285dedf,completed,completed,v0.1.0,912.38337834676111,2520384,6301443,98460,3712.874883,cpu
full-ipop-l64,13,119013,24373b63-3739-4ca8-8e35-4209008316bc,completed,completed,v0.1.0,842.74893569946289,5782592,6502403,8934,2605.935926,cpu
full-r32-l64,13,119013,b738aeff-64b0-4226-a39e-fab7db68b482,completed,completed,v0.1.0,896.20695495605469,2785856,3448963,53890,2061.561629,cpu
full-fill-l64,13,119013,46a4a344-d2fd-459a-b5ab-61ae21f74d89,completed,completed,v0.1.0,896.20695495605469,2785856,6361475,99398,3842.662976,cpu
full-ipop-l64,14,119014,856799a9-aa72-4656-add4-94e005735f4a,completed,completed,v0.1.0,906.94300587972009,5442816,6502403,9158,2681.951864,cpu
full-r32-l64,14,119014,ece6e365-fa09-40f7-913d-30f35b273389,completed,completed,v0.1.0,912.366709391276,3028800,3390275,52973,2009.491777,cpu
full-fill-l64,14,119014,d001ebe2-b9a2-46d1-bfcf-9294b644635a,completed,completed,v0.1.0,912.366709391276,3028800,6364227,99441,3843.726171,cpu
full-ipop-l64,15,119015,d76f87b0-b7e7-4f32-b671-4a2ab102ba89,completed,completed,v0.1.0,871.78304163614905,4148672,6502403,10310,2900.156744,cpu
full-r32-l64,15,119015,90577280-0481-4eee-ad57-219a626c8343,completed,completed,v0.1.0,937.05428949991858,665088,3393731,53027,2036.079331,cpu
full-fill-l64,15,119015,7f8b4bd0-30eb-4726-81f3-df6d2eba1dd1,completed,completed,v0.1.0,937.05428949991858,665088,6396227,99941,3724.219223,cpu
full-ipop-l64,16,119016,e552b15c-5be0-480c-bbcf-b074908053fe,completed,completed,v0.1.0,915.02188110351562,655552,6502403,10539,2682.376168,cpu
full-r32-l64,16,119016,6aafe2a1-5cdf-4d3b-ad75-42020423da4d,completed,completed,v0.1.0,928.63576126098633,2807040,3318147,51846,2029.681527,cpu
full-fill-l64,16,119016,b90f44e5-0566-4ceb-8f61-028260cf3417,completed,completed,v0.1.0,907.18555450439453,3586304,6343235,99113,3581.348183,cpu
full-ipop-l64,17,119017,1c4025c9-a699-4306-af31-66804a0dcc2b,completed,completed,v0.1.0,901.93781789143884,89664,6502403,10047,2683.577091,cpu
full-r32-l64,17,119017,b585a3d1-4488-406c-bac2-19c67269e31f,completed,completed,v0.1.0,901.93781789143884,89664,3493955,54593,1968.847866,cpu
full-fill-l64,17,119017,ab49ebe6-3a29-4d17-9fa9-c98aa6b6e478,completed,completed,v0.1.0,892.44740041097009,5686336,6316611,98697,3470.719931,cpu
full-ipop-l64,18,119018,fd0645ec-212a-48ad-887a-b9bd8ddcdbec,completed,completed,v0.1.0,1115.2607739766438,5677440,6502403,8909,2517.515948,cpu
