arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
full-ipop-l64,1,119001,0,0,large,64,1405,89920,1110.7295366923015,tol_fun
full-ipop-l64,1,119001,0,1,large,128,1791,229248,1123.9744466145833,tol_fun
full-ipop-l64,1,119001,0,2,large,256,1433,366848,928.36686452229821,tol_fun
full-ipop-l64,1,119001,0,3,large,512,1606,822272,1074.7161547342937,tol_fun
full-ipop-l64,1,119001,0,4,large,1024,1755,1797120,1220.3764088948567,tol_fun
full-ipop-l64,1,119001,0,5,large,2048,1561,3196992,1220.17369333903,maximum_evaluations
full-r32-l64,1,119001,0,0,,0,1405,89920,1110.7295366923015,convergence
full-r32-l64,1,119001,0,1,,0,1781,113984,1149.0635922749836,convergence
full-r32-l64,1,119001,0,2,,0,1764,112896,1291.769847869873,convergence
full-r32-l64,1,119001,0,3,,0,3117,199488,1156.4685300191243,convergence
full-r32-l64,1,119001,0,4,,0,1419,90816,1110.7041867574055,convergence
full-r32-l64,1,119001,0,5,,0,1545,98880,1085.7453295389812,convergence
full-r32-l64,1,119001,0,6,,0,1316,84224,1191.2453727722168,convergence
full-r32-l64,1,119001,0,7,,0,1366,87424,1209.3305015563965,convergence
full-r32-l64,1,119001,0,8,,0,2096,134144,1286.3795750935872,convergence
full-r32-l64,1,119001,0,9,,0,1386,88704,1250.0230471293132,convergence
full-r32-l64,1,119001,0,10,,0,1301,83264,1167.4875653584797,convergence
full-r32-l64,1,119001,0,11,,0,1444,92416,962.65742238362634,convergence
full-r32-l64,1,119001,0,12,,0,1280,81920,1018.7425600687662,convergence
full-r32-l64,1,119001,0,13,,0,1450,92800,1194.409065246582,convergence
full-r32-l64,1,119001,0,14,,0,1655,105920,943.33321507771814,convergence
full-r32-l64,1,119001,0,15,,0,1270,81280,1021.8893648783366,convergence
full-r32-l64,1,119001,0,16,,0,1641,105024,893.18296432495117,convergence
full-r32-l64,1,119001,0,17,,0,1631,104384,872.11705780029297,convergence
full-r32-l64,1,119001,0,18,,0,2004,128256,1137.2251459757488,convergence
full-r32-l64,1,119001,0,19,,0,1296,82944,1071.2796986897786,convergence
full-r32-l64,1,119001,0,20,,0,1305,83520,1026.6545435587566,convergence
full-r32-l64,1,119001,0,21,,0,1179,75456,1298.736520131429,convergence
full-r32-l64,1,119001,0,22,,0,1493,95552,1330.7826957702637,convergence
full-r32-l64,1,119001,0,23,,0,1372,87808,1169.6051966349285,convergence
full-r32-l64,1,119001,0,24,,0,1756,112384,1111.9209658304851,convergence
full-r32-l64,1,119001,0,25,,0,1516,97024,1207.1876843770344,convergence
full-r32-l64,1,119001,0,26,,0,1576,100864,1220.4940897623699,convergence
full-r32-l64,1,119001,0,27,,0,1667,106688,1258.6598637898762,convergence
full-r32-l64,1,119001,0,28,,0,1805,115520,943.50745137532556,convergence
full-r32-l64,1,119001,0,29,,0,1559,99776,1061.5972175598145,convergence
full-r32-l64,1,119001,0,30,,0,1662,106368,1183.1802062988281,convergence
full-r32-l64,1,119001,0,31,,0,3175,203200,1202.0161031087239,completed
full-fill-l64,1,119001,0,0,,0,1405,89920,1110.7295366923015,convergence
full-fill-l64,1,119001,0,1,,0,1781,113984,1149.0635922749836,convergence
