arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
full-ipop-l64,1,119001,1,64,31727.456809997559,,0.25368732093623153,1.0660303479571873,0.25388766050695499,0
full-ipop-l64,1,119001,5,320,6134.2936248779297,,0.2327172365796594,1.2357404961907523,0.24428102222241091,0
full-ipop-l64,1,119001,20,1280,1986.2628529866536,,0.3161299123151366,2.0525128811170887,0.40364987097871441,0
full-ipop-l64,1,119001,40,2560,1823.7211570739746,,0.21337445677999298,2.461160514830993,0.28100653375606388,0
full-ipop-l64,1,119001,80,5120,1548.9691619873047,,0.10663256021124493,3.1317940711014884,0.14420318188206599,0
full-ipop-l64,1,119001,160,10240,1260.9697202046711,,0.044336837360631605,6.4081299522710209,0.061276406387798632,0
full-ipop-l64,1,119001,397,25408,1118.5597966512044,,0.0051156398275522558,120.51654936486699,0.012205668638267636,0
full-ipop-l64,1,119001,795,50880,1110.8690414428711,,0.00027365595439494397,317.92935843899664,0.00058193778618494368,0
full-ipop-l64,1,119001,1197,76608,1110.7295761108398,,7.8712499130431117e-06,3366.5873420365742,1.7131430923245098e-05,0
full-ipop-l64,1,119001,1512,103616,1110.7295366923015,,0.091552103423574921,5.7065304498322469,0.11405736160370954,1
full-ipop-l64,1,119001,1701,127808,1110.7295366923015,,0.017739639136156466,192.65404395380509,0.034067479225190198,1
full-ipop-l64,1,119001,1911,154688,1110.7295366923015,,0.012556543431508371,909.74042326489064,0.026623454963375481,1
full-ipop-l64,1,119001,2100,178880,1110.7295366923015,,0.0021732719898130519,1427.6011315061153,0.0048860616378096937,1
full-ipop-l64,1,119001,2310,205760,1110.7295366923015,,0.0012244448296731686,3902.4619670990869,0.0026864972282083874,1
full-ipop-l64,1,119001,2499,229952,1110.7295366923015,,0.00021876508745398613,71741.160471656534,0.00052507175509819242,1
full-ipop-l64,1,119001,2688,254144,1110.7295366923015,,8.1983914241097545e-05,652606.25715283898,0.00026124250806644738,1
full-ipop-l64,1,119001,2898,281024,1110.7295366923015,,2.6341716580867561e-05,560473.32804487087,7.3971575561681256e-05,1
full-ipop-l64,1,119001,3087,305216,1110.7295366923015,,2.0499272782336834e-05,763583.7065047411,6.1922229379244271e-05,1
full-ipop-l64,1,119001,3255,334272,1110.7295366923015,,0.27349131099866919,3.3072466926398576,0.31219643269673192,2
full-ipop-l64,1,119001,3339,355776,1110.7295366923015,,0.10102237641760803,23.53542789888234,0.12004975140613539,2
full-ipop-l64,1,119001,3444,382656,1110.7295366923015,,0.063323714198303654,169.77455036243362,0.091182446083855118,2
