arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
sep-ipop-l20,1,111013,93c525b3-6be8-4e25-85af-aa753873346b,completed,completed,v0.1.0,816.10327275594079,2325100,6502403,9766,1715.921887
sep-ipop-l20-w102,1,111013,a24bf77c-9429-4013-9e0a-a94e369959ae,completed,completed,v0.1.0,841.10881169637048,24420,6502403,8012,1861.052686
sep-ipop,1,111013,f9bba263-7be5-4cd0-8f2d-30b60981d6b9,completed,completed,v0.1.0,979.71432876586914,4489216,6502403,3496,1989.114901
sep-ipop-w60,1,111013,b30dc1f9-4a10-48a6-b4ef-8e6e2399c687,completed,completed,v0.1.0,872.36816914876306,5954560,6502403,3571,1639.980840
sep-ipop-l20,2,111014,a7297d7d-9b11-4fc6-aa4c-a280d4ba068b,completed,completed,v0.1.0,911.84927749633789,2211900,6502403,9183,1798.809595
sep-ipop-l20-w102,2,111014,94e243eb-089f-48f8-a2df-fdff2ad8ade5,completed,completed,v0.1.0,889.71570714314782,1121840,6502403,8300,1822.651175
sep-ipop,2,111014,71636ce3-2897-438b-a36e-be3bf9edac7b,completed,completed,v0.1.0,886.78351338704431,4376576,6502403,3328,1686.945369
sep-ipop-w60,2,111014,dc147b04-d0d4-4e1b-93be-0ff86e362892,completed,completed,v0.1.0,893.49309158325195,3659776,6502403,3083,1771.337866
sep-ipop-l20,3,111015,522244d3-ab38-4ad3-bb9e-caf9a6623143,completed,completed,v0.1.0,828.75575129191077,6497880,6502403,10037,1684.521429
sep-ipop-l20-w102,3,111015,e5f9133c-08af-4e0b-b70e-117c5c1610a9,completed,completed,v0.1.0,832.94229253133142,1266700,6502403,8162,1798.644016
sep-ipop,3,111015,c1a99ae7-07ea-482c-bd91-4a38b0ac895c,completed,completed,v0.1.0,852.73377863566077,4320256,6502403,3240,1527.336054
sep-ipop-w60,3,111015,8b9ed96e-43d0-46f8-93d9-d45a49ca4f36,completed,completed,v0.1.0,877.00405756632483,706560,6502403,2683,1640.783686
sep-ipop-l20,4,111016,06667a04-bacb-4f80-b0b1-7ce91ff15aec,completed,completed,v0.1.0,861.74307759602868,501840,6502403,8752,1779.768200
sep-ipop-l20-w102,4,111016,0c7f6bde-1472-4aa4-87f4-2dd23401c6f7,completed,completed,v0.1.0,843.39434941609704,551980,6502403,8659,2008.842131
