arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
sep-ipop-l20,1,112001,92a0d7aa-08c7-4cfb-af65-b46860a06367,completed,completed,v0.1.0,823.60364532470703,1149440,6502403,9938,1702.945584
sep-ipop-l20-w102,1,112001,5c60d66b-9f6b-4375-88e3-d462a0d3554d,completed,completed,v0.1.0,817.15004984537757,2612740,6502403,8422,1797.710070
sep-ipop-l20-w204,1,112001,ba71dab3-ca23-4b48-a1ab-46227258b83f,completed,completed,v0.1.0,831.13672256469727,2225740,6502403,8958,1853.897601
sep-ipop-l20-w816,1,112001,e4b1e7db-8c88-4d88-ac9e-33d666f2e46c,completed,completed,v0.1.0,823.60364532470703,1149440,6502403,9938,1704.276314
sep-ipop-l20-w204-min01,1,112001,94da95ba-e9ec-4c75-87b6-6312e06ef964,completed,completed,v0.1.0,837.07606252034509,583400,6502403,8577,1895.929516
sep-ipop,1,112001,2d67e7a8-b7ff-476a-994c-978b6962ce31,completed,completed,v0.1.0,845.01335906982422,926720,6502403,2921,1747.970308
sep-ipop-w60,1,112001,f00c4d02-b926-45ad-981a-f77619272af0,completed,completed,v0.1.0,843.87547175089514,6502400,6502403,2836,1734.901410
sep-ipop-w121,1,112001,53355fcd-9bc3-47cd-96d9-dd7ba741be0e,completed,completed,v0.1.0,845.01335906982422,926720,6502403,2899,1666.490220
sep-ipop-w484,1,112001,00d35d25-43b3-4096-b786-511468cf68dc,completed,completed,v0.1.0,845.01335906982422,926720,6502403,2921,1659.558489
sep-ipop-l20,2,112002,6f4cd685-960d-47e3-bb78-272afd98c22a,completed,completed,v0.1.0,888.1254666646322,2263980,6502403,9688,1685.697452
sep-ipop-l20-w102,2,112002,0b782320-22de-4376-b9a2-7e13f2cf2b8e,completed,completed,v0.1.0,889.25490188598633,152720,6502403,8099,1867.656303
sep-ipop-l20-w204,2,112002,bbe58398-d7b5-4d4c-995c-83d0b47691cc,completed,completed,v0.1.0,879.36867777506507,193240,6502403,10237,1808.599051
sep-ipop-l20-w816,2,112002,8dfe7617-ab33-413e-acc2-a0c70f586905,completed,completed,v0.1.0,888.1254666646322,2263980,6502403,9688,1685.467792
sep-ipop-l20-w204-min01,2,112002,f50d7eb0-20bb-4325-bc5d-64e3fb668a84,completed,completed,v0.1.0,835.45852661132812,694120,6502403,9646,1690.100537
sep-ipop,2,112002,2b5f82db-c391-4774-afc4-63fb7e8479fc,completed,completed,v0.1.0,851.91446812947595,3427328,6502403,3441,1621.121654
sep-ipop-w60,2,112002,63ebf160-e094-42b7-b1d7-f6a9866ab44b,completed,completed,v0.1.0,891.41808573404944,1413120,6502403,3181,1711.839262
sep-ipop-w121,2,112002,57439a01-7d36-4d47-af00-4d2aad229f08,completed,completed,v0.1.0,891.41808573404944,1413120,6502403,3345,2057.091044
sep-ipop-w484,2,112002,222b63d8-3b84-42ca-9fe7-61ba4e027c32,completed,completed,v0.1.0,851.91446812947595,3427328,6502403,3441,1620.371924
sep-ipop-l20,3,112003,3bc8d4d0-80fe-49b6-b20d-a95a0374dd7e,completed,completed,v0.1.0,840.83790588378906,330080,6502403,9532,1499.517426
sep-ipop-l20-w102,3,112003,28cfc873-3143-450e-a607-0a92b5fdfcd7,completed,completed,v0.1.0,867.68517557779944,4832080,6502403,8622,1703.841751
sep-ipop-l20-w204,3,112003,19ad4a88-e762-427f-bb1a-ead39487cff8,completed,completed,v0.1.0,861.92427953084314,566600,6502403,9440,1696.519980
sep-ipop-l20-w816,3,112003,39972755-2d6e-4186-8ad1-bc5ad00d9e59,completed,completed,v0.1.0,840.83790588378906,330080,6502403,9532,1450.588130
sep-ipop-l20-w204-min01,3,112003,e8128960-4447-48c8-9b66-340e79e3a81e,completed,completed,v0.1.0,886.86098607381189,2220900,6502403,7971,1677.563477
sep-ipop,3,112003,ffc02726-60d6-4b35-9ace-20b31e301f03,completed,completed,v0.1.0,833.98192723592126,2902016,6502403,2956,1754.421347
sep-ipop-w60,3,112003,6e45f490-64ec-4140-8a77-8e39f0a2845f,completed,completed,v0.1.0,875.55343882242835,4340736,6502403,3162,1693.240426
sep-ipop-w121,3,112003,5686e52f-1f39-486c-8638-469d8a5b204d,completed,completed,v0.1.0,847.50825627644861,6498304,6502403,3026,1593.079124
sep-ipop-w484,3,112003,338426d3-b9f7-4748-ba10-95629dc9a03a,completed,completed,v0.1.0,833.98192723592126,2902016,6502403,2956,1688.164733
