arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop-l20,1,112001,0,0,large,20,1688,33760,951.29455184936523,tol_fun
sep-ipop-l20,1,112001,0,1,large,40,1664,66560,1046.9518178304036,tol_fun
sep-ipop-l20,1,112001,0,2,large,80,1258,100640,1015.0881042480469,tol_fun
sep-ipop-l20,1,112001,0,3,large,160,1078,172480,934.56848653157556,tol_fun
sep-ipop-l20,1,112001,0,4,large,320,869,278080,1022.2144864400228,tol_fun
sep-ipop-l20,1,112001,0,5,large,640,1019,652160,823.60364532470703,tol_fun
sep-ipop-l20,1,112001,0,6,large,1280,819,1048320,972.07998784383142,tol_fun
sep-ipop-l20,1,112001,0,7,large,2560,1465,3750400,868.24942652384436,tol_fun
sep-ipop-l20,1,112001,0,8,large,5120,78,400000,1425.1679217020671,maximum_evaluations
sep-ipop-l20-w102,1,112001,0,0,large,20,1257,25140,951.30499140421546,stagnation
sep-ipop-l20-w102,1,112001,0,1,large,40,1134,45360,1173.014628092448,stagnation
sep-ipop-l20-w102,1,112001,0,2,large,80,1126,90080,911.27678171793616,tol_fun
sep-ipop-l20-w102,1,112001,0,3,large,160,878,140480,956.27878189086914,stagnation
sep-ipop-l20-w102,1,112001,0,4,large,320,766,245120,954.40152104695642,stagnation
sep-ipop-l20-w102,1,112001,0,5,large,640,687,439680,1077.9450950622559,stagnation
sep-ipop-l20-w102,1,112001,0,6,large,1280,1373,1757440,817.15004984537757,stagnation
sep-ipop-l20-w102,1,112001,0,7,large,2560,933,2388480,862.54072443644202,stagnation
sep-ipop-l20-w102,1,112001,0,8,large,5120,268,1370620,1102.3655764261882,maximum_evaluations
sep-ipop-l20-w204,1,112001,0,0,large,20,1569,31380,951.29455184936523,stagnation
sep-ipop-l20-w204,1,112001,0,1,large,40,1613,64520,1134.8114102681477,tol_fun
sep-ipop-l20-w204,1,112001,0,2,large,80,775,62000,995.43603897094727,tol_fun
sep-ipop-l20-w204,1,112001,0,3,large,160,770,123200,870.05684789021814,tol_fun
sep-ipop-l20-w204,1,112001,0,4,large,320,701,224320,860.47296651204431,tol_fun
sep-ipop-l20-w204,1,112001,0,5,large,640,826,528640,944.26443481445312,stagnation
sep-ipop-l20-w204,1,112001,0,6,large,1280,1135,1452800,831.13672256469727,stagnation
sep-ipop-l20-w204,1,112001,0,7,large,2560,1569,4015540,880.44120915730798,maximum_evaluations
sep-ipop-l20-w816,1,112001,0,0,large,20,1688,33760,951.29455184936523,tol_fun
sep-ipop-l20-w816,1,112001,0,1,large,40,1664,66560,1046.9518178304036,tol_fun
sep-ipop-l20-w816,1,112001,0,2,large,80,1258,100640,1015.0881042480469,tol_fun
sep-ipop-l20-w816,1,112001,0,3,large,160,1078,172480,934.56848653157556,tol_fun
sep-ipop-l20-w816,1,112001,0,4,large,320,869,278080,1022.2144864400228,tol_fun
sep-ipop-l20-w816,1,112001,0,5,large,640,1019,652160,823.60364532470703,tol_fun
sep-ipop-l20-w816,1,112001,0,6,large,1280,819,1048320,972.07998784383142,tol_fun
sep-ipop-l20-w816,1,112001,0,7,large,2560,1465,3750400,868.24942652384436,tol_fun
sep-ipop-l20-w816,1,112001,0,8,large,5120,78,400000,1425.1679217020671,maximum_evaluations
sep-ipop-l20-w204-min01,1,112001,0,0,large,20,1268,25360,951.29890314737952,stagnation
sep-ipop-l20-w204-min01,1,112001,0,1,large,40,1271,50840,937.70874786376953,stagnation
sep-ipop-l20-w204-min01,1,112001,0,2,large,80,880,70400,1327.6586621602376,stagnation
sep-ipop-l20-w204-min01,1,112001,0,3,large,160,1046,167360,927.47652689615882,stagnation
sep-ipop-l20-w204-min01,1,112001,0,4,large,320,950,304000,837.07606252034509,stagnation
sep-ipop-l20-w204-min01,1,112001,0,5,large,640,1034,661760,1117.2369372049968,stagnation
sep-ipop-l20-w204-min01,1,112001,0,6,large,1280,818,1047040,841.6328239440918,tol_fun
sep-ipop-l20-w204-min01,1,112001,0,7,large,2560,988,2529280,873.25352223714196,stagnation
sep-ipop-l20-w204-min01,1,112001,0,8,large,5120,322,1646360,932.78540929158532,maximum_evaluations
sep-ipop,1,112001,0,0,large,1024,1019,1043456,845.01335906982422,tol_fun
sep-ipop,1,112001,0,1,large,2048,1139,2332672,890.74163564046228,tol_fun
sep-ipop,1,112001,0,2,large,4096,763,3126272,902.60417811075843,maximum_evaluations
sep-ipop-w60,1,112001,0,0,large,1024,882,903168,845.08096949259436,stagnation
