arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
sep-ipop-l20,1,112001,1,20,34324.750593821205,,0.27208292234936909,1.0439724407781967,0.26787882083721964,0
sep-ipop-l20,1,112001,255,5100,1079.0371144612629,,0.019219064985616222,227.52391134078471,0.031869576461172777,0
sep-ipop-l20,1,112001,1320,26400,951.29561869303382,,0.00019162602228804898,383042.57809021778,0.00022944472882846401,0
sep-ipop-l20,1,112001,2178,53360,951.29455184936523,,0.067032082686892161,1616.563199379174,0.028104703756554099,1
sep-ipop-l20,1,112001,2772,77120,951.29455184936523,,0.0038301136672810564,34122082.407619372,0.0018554338841454744,1
sep-ipop-l20,1,112001,3432,106720,951.29455184936523,,0.15396370305460699,128.16707826365334,0.16750593572228648,2
sep-ipop-l20,1,112001,3696,127840,951.29455184936523,,0.4519443677862871,38032.761626832194,0.089268511673036066,2
sep-ipop-l20,1,112001,4026,154240,951.29455184936523,,0.35430961673785016,1520981.3162025693,0.0061063138121045619,2
sep-ipop-l20,1,112001,4356,180640,951.29455184936523,,0.45590129665433499,19156518.524386063,0.00096561680300840866,2
sep-ipop-l20,1,112001,4686,213120,951.29455184936523,,0.32837276389995174,2242.7407965194484,0.17283192338020981,3
sep-ipop-l20,1,112001,4818,234240,951.29455184936523,,2.5462703721525832,60092.964405882172,0.23077052069298098,3
sep-ipop-l20,1,112001,4950,255360,951.29455184936523,,100.82911686197345,2068.1439561899119,0.12291304994051717,3
sep-ipop-l20,1,112001,5148,287040,951.29455184936523,,32860.809259435751,2851.8444991449387,0.14109677121696995,3
sep-ipop-l20,1,112001,5263,305440,939.81816355387366,,200772.27889825526,1074.7205329703806,0.021091178132591197,3
sep-ipop-l20,1,112001,5425,331360,934.79217147827148,,268287.19422149088,538840.09916370001,0.0078539656072286034,3
sep-ipop-l20,1,112001,5582,356480,934.63708368937171,,178106.45310090896,277744328.63793761,0.0022572359961279512,3
sep-ipop-l20,1,112001,5742,390720,934.56848653157556,,1.5839742373185051,467.84083825801588,0.25269248754961632,4
sep-ipop-l20,1,112001,5808,411840,934.56848653157556,,9.5148033901296234,21926.928500397524,0.22717768030899296,4
sep-ipop-l20,1,112001,5874,432960,934.56848653157556,,420.85541170914075,52525.68896085005,0.25837864669899663,4
sep-ipop-l20,1,112001,6006,475200,934.56848653157556,,449766.65702293522,49827.987330196767,0.22632426040394979,4
sep-ipop-l20,1,112001,6072,496320,934.56848653157556,,8919595.7851315327,18362.719839651629,0.10405199007488894,4
sep-ipop-l20,1,112001,6138,517440,934.56848653157556,,247481705.59092221,3484.9445727112889,0.053610156442745388,4
sep-ipop-l20,1,112001,6204,538560,934.56848653157556,,2592437472.0423355,8484.0360436635619,0.024349988425375734,4
sep-ipop-l20,1,112001,6270,559680,934.56848653157556,,3224644409.1145864,290184.41280100023,0.013962268703858709,4
sep-ipop-l20,1,112001,6402,601920,934.56848653157556,,15673470891.801659,79694215.222389698,0.0044920201688136438,4
sep-ipop-l20,1,112001,6468,623040,934.56848653157556,,26110796458.659058,1911664654.7070141,0.0024057809372598237,4
sep-ipop-l20,1,112001,6534,644160,934.56848653157556,,33577377954.073513,21175184642.672546,0.0034135371644828283,4
sep-ipop-l20,1,112001,6600,679040,934.56848653157556,,2.0695178728289871,458.22496739339607,0.29870635178735716,5
