arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop-l20,1,111013,0,0,large,20,1355,27100,841.10881169637048,tol_fun
sep-ipop-l20,1,111013,0,1,large,40,1320,52800,1266.0070203145344,tol_fun
sep-ipop-l20,1,111013,0,2,large,80,997,79760,1273.9279861450195,tol_fun
sep-ipop-l20,1,111013,0,3,large,160,1636,261760,1187.922871907552,tol_fun
sep-ipop-l20,1,111013,0,4,large,320,943,301760,928.89106369018555,tol_fun
sep-ipop-l20,1,111013,0,5,large,640,989,632960,985.96285629272461,tol_fun
sep-ipop-l20,1,111013,0,6,large,1280,1032,1320960,816.10327275594079,tol_fun
sep-ipop-l20,1,111013,0,7,large,2560,1494,3825300,863.9990018208822,maximum_evaluations
sep-ipop-l20-w102,1,111013,0,0,large,20,1323,26460,841.10881169637048,stagnation
sep-ipop-l20-w102,1,111013,0,1,large,40,1127,45080,1251.7783864339192,stagnation
sep-ipop-l20-w102,1,111013,0,2,large,80,1229,98320,936.71284357706702,tol_fun
sep-ipop-l20-w102,1,111013,0,3,large,160,841,134560,1269.9230969746907,tol_fun
sep-ipop-l20-w102,1,111013,0,4,large,320,847,271040,986.93833796183264,tol_fun
sep-ipop-l20-w102,1,111013,0,5,large,640,389,248960,1031.7355893452961,stagnation
sep-ipop-l20-w102,1,111013,0,6,large,1280,912,1167360,870.58737309773767,stagnation
sep-ipop-l20-w102,1,111013,0,7,large,2560,927,2373120,1003.9871877034506,stagnation
sep-ipop-l20-w102,1,111013,0,8,large,5120,417,2137500,933.85199228922522,maximum_evaluations
sep-ipop,1,111013,0,0,large,1024,1126,1153024,1052.5381533304851,tol_fun
sep-ipop,1,111013,0,1,large,2048,2128,4358144,979.71432876586914,tol_fun
sep-ipop,1,111013,0,2,large,4096,242,991232,1082.238956451416,maximum_evaluations
sep-ipop-w60,1,111013,0,0,large,1024,999,1022976,1052.5381533304851,stagnation
sep-ipop-w60,1,111013,0,1,large,2048,2468,5054464,872.36816914876306,stagnation
sep-ipop-w60,1,111013,0,2,large,4096,104,424960,1347.4042841593425,maximum_evaluations
sep-ipop-l20,2,111014,0,0,large,20,1377,27540,992.53254191080725,tol_fun
sep-ipop-l20,2,111014,0,1,large,40,1237,49480,1254.2700030008953,tol_fun
sep-ipop-l20,2,111014,0,2,large,80,986,78880,957.012685139974,tol_fun
sep-ipop-l20,2,111014,0,3,large,160,1126,180160,932.94146728515625,tol_fun
sep-ipop-l20,2,111014,0,4,large,320,982,314240,914.10053126017249,tol_fun
sep-ipop-l20,2,111014,0,5,large,640,982,628480,994.26711400349939,tol_fun
sep-ipop-l20,2,111014,0,6,large,1280,905,1158400,911.84927749633789,tol_fun
sep-ipop-l20,2,111014,0,7,large,2560,1588,4065220,924.87498219807946,maximum_evaluations
sep-ipop-l20-w102,2,111014,0,0,large,20,1280,25600,992.53254191080725,stagnation
sep-ipop-l20-w102,2,111014,0,1,large,40,1188,47520,1182.611011505127,stagnation
sep-ipop-l20-w102,2,111014,0,2,large,80,939,75120,1227.0688527425129,tol_fun
sep-ipop-l20-w102,2,111014,0,3,large,160,1075,172000,1090.6664695739746,tol_fun
sep-ipop-l20-w102,2,111014,0,4,large,320,719,230080,897.45830790201819,tol_fun
sep-ipop-l20-w102,2,111014,0,5,large,640,995,636800,889.71570714314782,stagnation
sep-ipop-l20-w102,2,111014,0,6,large,1280,803,1027840,912.08988825480139,stagnation
sep-ipop-l20-w102,2,111014,0,7,large,2560,928,2375680,962.82575480143225,stagnation
sep-ipop-l20-w102,2,111014,0,8,large,5120,373,1911760,1124.0896504720051,maximum_evaluations
sep-ipop,2,111014,0,0,large,1024,1210,1239040,1114.7998809814453,tol_fun
sep-ipop,2,111014,0,1,large,2048,1666,3411968,886.78351338704431,tol_fun
sep-ipop,2,111014,0,2,large,4096,452,1851392,1053.4809697469075,maximum_evaluations
sep-ipop-w60,2,111014,0,0,large,1024,1144,1171456,1114.7998809814453,stagnation
sep-ipop-w60,2,111014,0,1,large,2048,1275,2611200,893.49309158325195,stagnation
sep-ipop-w60,2,111014,0,2,large,4096,664,2719744,963.34007517496741,maximum_evaluations
sep-ipop-l20,3,111015,0,0,large,20,2124,42480,942.15710957845056,tol_fun
sep-ipop-l20,3,111015,0,1,large,40,1479,59160,869.08077621459961,tol_fun
sep-ipop-l20,3,111015,0,2,large,80,877,70160,1220.8439992268879,tol_fun
sep-ipop-l20,3,111015,0,3,large,160,1206,192960,919.60117340087891,tol_fun
sep-ipop-l20,3,111015,0,4,large,320,726,232320,864.67490641276038,tol_fun
sep-ipop-l20,3,111015,0,5,large,640,1188,760320,962.50622177124023,tol_fun
sep-ipop-l20,3,111015,0,6,large,1280,854,1093120,1234.9240748087566,tol_fun
sep-ipop-l20,3,111015,0,7,large,2560,1583,4051880,828.75575129191077,maximum_evaluations
sep-ipop-l20-w102,3,111015,0,0,large,20,1279,25580,942.16189066569007,stagnation
sep-ipop-l20-w102,3,111015,0,1,large,40,1008,40320,1049.4867719014485,stagnation
sep-ipop-l20-w102,3,111015,0,2,large,80,810,64800,950.93200937906897,stagnation
sep-ipop-l20-w102,3,111015,0,3,large,160,914,146240,957.50270080566406,stagnation
sep-ipop-l20-w102,3,111015,0,4,large,320,1023,327360,1031.493480682373,tol_fun
sep-ipop-l20-w102,3,111015,0,5,large,640,1109,709760,832.94229253133142,tol_fun
sep-ipop-l20-w102,3,111015,0,6,large,1280,882,1128960,928.8873405456543,stagnation
sep-ipop-l20-w102,3,111015,0,7,large,2560,689,1763840,1002.5953725179037,stagnation
sep-ipop-l20-w102,3,111015,0,8,large,5120,448,2295540,907.72042846679688,maximum_evaluations
sep-ipop,3,111015,0,0,large,1024,975,998400,877.00405756632483,tol_fun
sep-ipop,3,111015,0,1,large,2048,1843,3774464,852.73377863566077,tol_fun
sep-ipop,3,111015,0,2,large,4096,422,1729536,922.94817733764648,maximum_evaluations
sep-ipop-w60,3,111015,0,0,large,1024,750,768000,877.00405756632483,stagnation
sep-ipop-w60,3,111015,0,1,large,2048,1066,2183168,939.36024220784509,stagnation
sep-ipop-w60,3,111015,0,2,large,4096,867,3551232,926.1539192199707,maximum_evaluations
sep-ipop-l20,4,111016,0,0,large,20,1314,26280,1024.891773223877,tol_fun
sep-ipop-l20,4,111016,0,1,large,40,1133,45320,1239.026969909668,tol_fun
sep-ipop-l20,4,111016,0,2,large,80,1022,81760,1163.3151702880859,tol_fun
sep-ipop-l20,4,111016,0,3,large,160,816,130560,1036.9736429850261,tol_fun
sep-ipop-l20,4,111016,0,4,large,320,746,238720,861.74307759602868,tol_fun
sep-ipop-l20,4,111016,0,5,large,640,1120,716800,1196.247538248698,tol_fun
sep-ipop-l20,4,111016,0,6,large,1280,1091,1396480,1008.5774002075195,tol_fun
sep-ipop-l20,4,111016,0,7,large,2560,1510,3866480,864.35652669270837,maximum_evaluations
sep-ipop-l20-w102,4,111016,0,0,large,20,1209,24180,1024.891773223877,stagnation
sep-ipop-l20-w102,4,111016,0,1,large,40,1027,41080,1262.1433054606121,tol_fun
sep-ipop-l20-w102,4,111016,0,2,large,80,866,69280,1217.7104415893555,stagnation
sep-ipop-l20-w102,4,111016,0,3,large,160,887,141920,928.93380355834961,tol_fun
sep-ipop-l20-w102,4,111016,0,4,large,320,963,308160,843.39434941609704,stagnation
sep-ipop-l20-w102,4,111016,0,5,large,640,1187,759680,959.72778065999353,stagnation
sep-ipop-l20-w102,4,111016,0,6,large,1280,1191,1524480,1042.0220235188801,stagnation
sep-ipop-l20-w102,4,111016,0,7,large,2560,1239,3171840,859.05616887410486,stagnation
sep-ipop-l20-w102,4,111016,0,8,large,5120,90,461780,1379.7054074605305,maximum_evaluations
sep-ipop,4,111016,0,0,large,1024,1211,1240064,886.78205108642578,tol_fun
sep-ipop,4,111016,0,1,large,2048,1004,2056192,924.25166575113929,tol_fun
sep-ipop,4,111016,0,2,large,4096,783,3206144,909.599110921224,maximum_evaluations
sep-ipop-w60,4,111016,0,0,large,1024,994,1017856,886.78205108642578,stagnation
sep-ipop-w60,4,111016,0,1,large,2048,1019,2086912,930.57212320963538,stagnation
sep-ipop-w60,4,111016,0,2,large,4096,830,3397632,927.50506337483728,maximum_evaluations
sep-ipop-l20,5,111017,0,0,large,20,1550,31000,1063.0850995381672,tol_fun
sep-ipop-l20,5,111017,0,1,large,40,1813,72520,1158.7260513305664,tol_fun
sep-ipop-l20,5,111017,0,2,large,80,1137,90960,966.68166732788086,tol_fun
sep-ipop-l20,5,111017,0,3,large,160,844,135040,1020.2326850891113,tol_fun
sep-ipop-l20,5,111017,0,4,large,320,855,273600,844.59446334838867,tol_fun
sep-ipop-l20,5,111017,0,5,large,640,1433,917120,1044.1322657267253,tol_fun
sep-ipop-l20,5,111017,0,6,large,1280,854,1093120,1132.2185325622559,tol_fun
sep-ipop-l20,5,111017,0,7,large,2560,1519,3889040,868.58039474487305,maximum_evaluations
sep-ipop-l20-w102,5,111017,0,0,large,20,1344,26880,1063.0899696350098,stagnation
sep-ipop-l20-w102,5,111017,0,1,large,40,1729,69160,1156.8628718058269,stagnation
sep-ipop-l20-w102,5,111017,0,2,large,80,1243,99440,985.49628194173181,tol_fun
sep-ipop-l20-w102,5,111017,0,3,large,160,1193,190880,1109.8998413085938,stagnation
sep-ipop-l20-w102,5,111017,0,4,large,320,830,265600,849.81209564208984,stagnation
sep-ipop-l20-w102,5,111017,0,5,large,640,737,471680,1170.4158096313477,tol_fun
sep-ipop-l20-w102,5,111017,0,6,large,1280,1182,1512960,840.83602905273438,stagnation
sep-ipop-l20-w102,5,111017,0,7,large,2560,883,2260480,1302.040677388509,stagnation
sep-ipop-l20-w102,5,111017,0,8,large,5120,314,1605320,1332.5825284322102,maximum_evaluations
sep-ipop,5,111017,0,0,large,1024,895,916480,1324.7440388997395,tol_fun
sep-ipop,5,111017,0,1,large,2048,1825,3737600,872.21657053629554,tol_fun
sep-ipop,5,111017,0,2,large,4096,451,1848320,931.85785293579102,maximum_evaluations
sep-ipop-w60,5,111017,0,0,large,1024,444,454656,1325.3968035380046,stagnation
sep-ipop-w60,5,111017,0,1,large,2048,1137,2328576,973.06189092000329,stagnation
sep-ipop-w60,5,111017,0,2,large,4096,908,3719168,904.39809799194336,maximum_evaluations
sep-ipop-l20,6,111018,0,0,large,20,1366,27320,1191.8859875996907,tol_fun
sep-ipop-l20,6,111018,0,1,large,40,878,35120,1092.7131589253743,tol_fun
sep-ipop-l20,6,111018,0,2,large,80,915,73200,1189.4876098632812,tol_fun
sep-ipop-l20,6,111018,0,3,large,160,871,139360,1168.658499399821,tol_fun
sep-ipop-l20,6,111018,0,4,large,320,1244,398080,852.92402648925781,tol_fun
sep-ipop-l20,6,111018,0,5,large,640,1134,725760,1202.7343597412109,tol_fun
sep-ipop-l20,6,111018,0,6,large,1280,1763,2256640,880.96303049723304,tol_fun
sep-ipop-l20,6,111018,0,7,large,2560,1112,2846920,903.00289281209314,maximum_evaluations
sep-ipop-l20-w102,6,111018,0,0,large,20,1342,26840,1191.8859875996907,stagnation
sep-ipop-l20-w102,6,111018,0,1,large,40,1460,58400,1113.1080436706543,stagnation
sep-ipop-l20-w102,6,111018,0,2,large,80,1067,85360,1220.9765764872234,stagnation
sep-ipop-l20-w102,6,111018,0,3,large,160,947,151520,1012.1106147766113,tol_fun
sep-ipop-l20-w102,6,111018,0,4,large,320,680,217600,885.66678365071618,tol_fun
sep-ipop-l20-w102,6,111018,0,5,large,640,812,519680,947.24818293253577,stagnation
sep-ipop-l20-w102,6,111018,0,6,large,1280,877,1122560,977.31537882486975,stagnation
sep-ipop-l20-w102,6,111018,0,7,large,2560,1688,4320440,928.918212890625,maximum_evaluations
sep-ipop,6,111018,0,0,large,1024,1727,1768448,752.52201207478845,tol_fun
sep-ipop,6,111018,0,1,large,2048,1291,2643968,828.42260487874353,tol_fun
sep-ipop,6,111018,0,2,large,4096,510,2089984,1003.2417627970377,maximum_evaluations
sep-ipop-w60,6,111018,0,0,large,1024,1256,1286144,752.52201207478845,stagnation
sep-ipop-w60,6,111018,0,1,large,2048,2221,4548608,823.48771286010742,stagnation
sep-ipop-w60,6,111018,0,2,large,4096,163,667648,1197.768798828125,maximum_evaluations
sep-ipop-l20,7,111019,0,0,large,20,1750,35000,1054.7902577718098,tol_fun
sep-ipop-l20,7,111019,0,1,large,40,1246,49840,1036.1709671020508,tol_fun
sep-ipop-l20,7,111019,0,2,large,80,1144,91520,826.1140467325846,tol_fun
sep-ipop-l20,7,111019,0,3,large,160,791,126560,935.19058609008789,tol_fun
sep-ipop-l20,7,111019,0,4,large,320,802,256640,945.15198389689124,tol_fun
sep-ipop-l20,7,111019,0,5,large,640,778,497920,1040.1065139770508,tol_fun
sep-ipop-l20,7,111019,0,6,large,1280,1425,1824000,839.34718449910486,tol_fun
sep-ipop-l20,7,111019,0,7,large,2560,1370,3507200,997.15986760457361,tol_fun
sep-ipop-l20,7,111019,0,8,large,5120,22,113720,1630.6062507629395,maximum_evaluations
sep-ipop-l20-w102,7,111019,0,0,large,20,1512,30240,1054.7902577718098,stagnation
sep-ipop-l20-w102,7,111019,0,1,large,40,1019,40760,878.61946614583337,stagnation
sep-ipop-l20-w102,7,111019,0,2,large,80,1397,111760,1059.9575258890789,stagnation
sep-ipop-l20-w102,7,111019,0,3,large,160,1051,168160,937.11243184407556,tol_fun
sep-ipop-l20-w102,7,111019,0,4,large,320,795,254400,843.45991516113281,tol_fun
sep-ipop-l20-w102,7,111019,0,5,large,640,1013,648320,948.10237884521484,stagnation
sep-ipop-l20-w102,7,111019,0,6,large,1280,912,1167360,833.63616434733069,stagnation
sep-ipop-l20-w102,7,111019,0,7,large,2560,1079,2762240,881.84962972005212,stagnation
sep-ipop-l20-w102,7,111019,0,8,large,5120,258,1319160,1069.2494163513184,maximum_evaluations
sep-ipop,7,111019,0,0,large,1024,1220,1249280,945.63711547851562,tol_fun
sep-ipop,7,111019,0,1,large,2048,1303,2668544,891.2981287638346,tol_fun
sep-ipop,7,111019,0,2,large,4096,631,2584576,899.48207600911462,maximum_evaluations
sep-ipop-w60,7,111019,0,0,large,1024,906,927744,945.63711547851562,stagnation
sep-ipop-w60,7,111019,0,1,large,2048,1301,2664448,911.98955535888672,stagnation
sep-ipop-w60,7,111019,0,2,large,4096,711,2910208,907.59158452351892,maximum_evaluations
sep-ipop-l20,8,111020,0,0,large,20,1397,27940,928.99072265625,tol_fun
sep-ipop-l20,8,111020,0,1,large,40,1479,59160,1172.5201848347981,tol_fun
sep-ipop-l20,8,111020,0,2,large,80,912,72960,1199.9346122741699,tol_fun
sep-ipop-l20,8,111020,0,3,large,160,749,119840,1029.0843861897786,tol_fun
sep-ipop-l20,8,111020,0,4,large,320,973,311360,878.45919164021814,tol_fun
sep-ipop-l20,8,111020,0,5,large,640,798,510720,919.93173980712891,tol_fun
sep-ipop-l20,8,111020,0,6,large,1280,1223,1565440,966.36261494954431,tol_fun
sep-ipop-l20,8,111020,0,7,large,2560,1498,3834980,921.53912607828772,maximum_evaluations
sep-ipop-l20-w102,8,111020,0,0,large,20,1249,24980,928.99072265625,stagnation
sep-ipop-l20-w102,8,111020,0,1,large,40,1474,58960,1052.3924471537273,stagnation
sep-ipop-l20-w102,8,111020,0,2,large,80,838,67040,1178.3736864725749,stagnation
sep-ipop-l20-w102,8,111020,0,3,large,160,796,127360,1008.7258911132812,stagnation
sep-ipop-l20-w102,8,111020,0,4,large,320,966,309120,865.63594055175781,stagnation
sep-ipop-l20-w102,8,111020,0,5,large,640,1066,682240,954.33924738566077,stagnation
sep-ipop-l20-w102,8,111020,0,6,large,1280,1016,1300480,873.28166707356775,stagnation
sep-ipop-l20-w102,8,111020,0,7,large,2560,1109,2839040,1038.5911610921223,stagnation
sep-ipop-l20-w102,8,111020,0,8,large,5120,214,1093180,1151.8678334554036,maximum_evaluations
sep-ipop,8,111020,0,0,large,1024,993,1016832,854.40448633829749,tol_fun
sep-ipop,8,111020,0,1,large,2048,1413,2893824,913.9632784525553,tol_fun
sep-ipop,8,111020,0,2,large,4096,633,2591744,906.32771937052405,maximum_evaluations
sep-ipop-w60,8,111020,0,0,large,1024,729,746496,854.40448633829749,stagnation
sep-ipop-w60,8,111020,0,1,large,2048,1001,2050048,869.15396753946936,stagnation
sep-ipop-w60,8,111020,0,2,large,4096,905,3705856,817.39932886759436,maximum_evaluations
sep-ipop-l20,9,111021,0,0,large,20,1781,35620,1227.7712465922039,tol_fun
sep-ipop-l20,9,111021,0,1,large,40,1466,58640,1187.0077387491863,tol_fun
sep-ipop-l20,9,111021,0,2,large,80,1045,83600,926.5014432271322,tol_fun
sep-ipop-l20,9,111021,0,3,large,160,912,145920,895.41250737508142,tol_fun
sep-ipop-l20,9,111021,0,4,large,320,914,292480,822.13646570841468,tol_fun
sep-ipop-l20,9,111021,0,5,large,640,1351,864640,1050.248441060384,tol_fun
sep-ipop-l20,9,111021,0,6,large,1280,1021,1306880,862.1738611857096,tol_fun
sep-ipop-l20,9,111021,0,7,large,2560,1451,3714620,957.44962183634436,maximum_evaluations
sep-ipop-l20-w102,9,111021,0,0,large,20,1418,28360,1227.7712465922039,stagnation
sep-ipop-l20-w102,9,111021,0,1,large,40,1503,60120,1227.1459706624348,tol_fun
sep-ipop-l20-w102,9,111021,0,2,large,80,1115,89200,894.3492215474447,stagnation
sep-ipop-l20-w102,9,111021,0,3,large,160,948,151680,849.26892852783203,stagnation
sep-ipop-l20-w102,9,111021,0,4,large,320,641,205120,883.92221323649085,tol_fun
sep-ipop-l20-w102,9,111021,0,5,large,640,1004,642560,887.78576532999671,stagnation
sep-ipop-l20-w102,9,111021,0,6,large,1280,909,1163520,941.01802571614587,stagnation
sep-ipop-l20-w102,9,111021,0,7,large,2560,923,2362880,906.04694493611657,stagnation
sep-ipop-l20-w102,9,111021,0,8,large,5120,351,1798960,996.84733327229821,maximum_evaluations
sep-ipop,9,111021,0,0,large,1024,1378,1411072,939.57033157348633,tol_fun
sep-ipop,9,111021,0,1,large,2048,1431,2930688,895.25213368733728,tol_fun
sep-ipop,9,111021,0,2,large,4096,528,2160640,890.990732828776,maximum_evaluations
sep-ipop-w60,9,111021,0,0,large,1024,1376,1409024,939.57033157348633,stagnation
sep-ipop-w60,9,111021,0,1,large,2048,985,2017280,1155.3626416524251,stagnation
sep-ipop-w60,9,111021,0,2,large,4096,751,3076096,869.03330612182617,maximum_evaluations
sep-ipop-l20,10,111022,0,0,large,20,1590,31800,1117.8272323608398,tol_fun
sep-ipop-l20,10,111022,0,1,large,40,1715,68600,1120.6249198913574,tol_fun
sep-ipop-l20,10,111022,0,2,large,80,1000,80000,940.77218627929688,tol_fun
sep-ipop-l20,10,111022,0,3,large,160,995,159200,1126.5509401957195,tol_fun
sep-ipop-l20,10,111022,0,4,large,320,707,226240,910.88722610473633,tol_fun
sep-ipop-l20,10,111022,0,5,large,640,964,616960,974.38076400756836,tol_fun
sep-ipop-l20,10,111022,0,6,large,1280,901,1153280,933.68337885538733,tol_fun
sep-ipop-l20,10,111022,0,7,large,2560,1627,4166320,886.14957555135095,maximum_evaluations
sep-ipop-l20-w102,10,111022,0,0,large,20,1441,28820,1117.8272323608398,stagnation
sep-ipop-l20-w102,10,111022,0,1,large,40,1876,75040,1162.1478004455566,stagnation
sep-ipop-l20-w102,10,111022,0,2,large,80,1347,107760,1022.4753748575846,tol_fun
sep-ipop-l20-w102,10,111022,0,3,large,160,890,142400,953.62320454915368,stagnation
sep-ipop-l20-w102,10,111022,0,4,large,320,679,217280,935.3453152974447,tol_fun
sep-ipop-l20-w102,10,111022,0,5,large,640,1033,661120,1159.2447395324707,stagnation
sep-ipop-l20-w102,10,111022,0,6,large,1280,1147,1468160,849.57773590087891,stagnation
sep-ipop-l20-w102,10,111022,0,7,large,2560,836,2140160,908.7870877583822,stagnation
sep-ipop-l20-w102,10,111022,0,8,large,5120,325,1661660,1145.0306053161621,maximum_evaluations
sep-ipop,10,111022,0,0,large,1024,782,800768,1015.2362950642904,tol_fun
sep-ipop,10,111022,0,1,large,2048,1090,2232320,892.58084742228186,tol_fun
sep-ipop,10,111022,0,2,large,4096,847,3469312,902.12310409545898,maximum_evaluations
sep-ipop-w60,10,111022,0,0,large,1024,695,711680,1015.2362950642904,stagnation
sep-ipop-w60,10,111022,0,1,large,2048,1074,2199552,827.6839599609375,stagnation
sep-ipop-w60,10,111022,0,2,large,4096,877,3591168,1285.0862948099773,maximum_evaluations
sep-ipop-l20,11,111023,0,0,large,20,2141,42820,1187.5186564127605,tol_fun
sep-ipop-l20,11,111023,0,1,large,40,1561,62440,1074.7939796447754,tol_fun
sep-ipop-l20,11,111023,0,2,large,80,1052,84160,908.60791015625,tol_fun
sep-ipop-l20,11,111023,0,3,large,160,876,140160,917.09315363566077,tol_fun
sep-ipop-l20,11,111023,0,4,large,320,669,214080,917.32559585571289,tol_fun
sep-ipop-l20,11,111023,0,5,large,640,680,435200,1251.0277277628581,tol_fun
sep-ipop-l20,11,111023,0,6,large,1280,1332,1704960,911.12006251017249,tol_fun
sep-ipop-l20,11,111023,0,7,large,2560,1161,2972160,933.25117365519202,tol_fun
sep-ipop-l20,11,111023,0,8,large,5120,165,846420,1224.8329493204753,maximum_evaluations
sep-ipop-l20-w102,11,111023,0,0,large,20,1928,38560,1187.5186564127605,stagnation
sep-ipop-l20-w102,11,111023,0,1,large,40,1234,49360,1212.0649897257488,stagnation
sep-ipop-l20-w102,11,111023,0,2,large,80,943,75440,1026.6280682881672,tol_fun
sep-ipop-l20-w102,11,111023,0,3,large,160,936,149760,852.89491399129236,stagnation
sep-ipop-l20-w102,11,111023,0,4,large,320,611,195520,900.76847457885742,tol_fun
sep-ipop-l20-w102,11,111023,0,5,large,640,815,521600,959.15239206949866,tol_fun
sep-ipop-l20-w102,11,111023,0,6,large,1280,1030,1318400,953.27340571085608,stagnation
sep-ipop-l20-w102,11,111023,0,7,large,2560,1623,4153760,991.19515864054358,maximum_evaluations
sep-ipop,11,111023,0,0,large,1024,1070,1095680,966.92156855265296,tol_fun
sep-ipop,11,111023,0,1,large,2048,1273,2607104,1302.856273651123,tol_fun
sep-ipop,11,111023,0,2,large,4096,684,2799616,898.70255661010742,maximum_evaluations
sep-ipop-w60,11,111023,0,0,large,1024,1021,1045504,966.92156855265296,stagnation
sep-ipop-w60,11,111023,0,1,large,2048,847,1734656,927.97746404012048,stagnation
sep-ipop-w60,11,111023,0,2,large,4096,909,3722240,1188.5537935892742,maximum_evaluations
sep-ipop-l20,12,111024,0,0,large,20,1180,23600,1121.3075129191081,tol_fun
sep-ipop-l20,12,111024,0,1,large,40,1223,48920,1084.9596239725749,tol_fun
sep-ipop-l20,12,111024,0,2,large,80,1265,101200,1194.0785586039226,tol_fun
sep-ipop-l20,12,111024,0,3,large,160,983,157280,1242.2432378133137,tol_fun
sep-ipop-l20,12,111024,0,4,large,320,820,262400,922.94223149617517,tol_fun
sep-ipop-l20,12,111024,0,5,large,640,1157,740480,861.61085383097327,tol_fun
sep-ipop-l20,12,111024,0,6,large,1280,1105,1414400,883.3851534525553,tol_fun
sep-ipop-l20,12,111024,0,7,large,2560,1466,3754120,816.06575775146484,maximum_evaluations
sep-ipop-l20-w102,12,111024,0,0,large,20,1160,23200,1121.3075129191081,stagnation
sep-ipop-l20-w102,12,111024,0,1,large,40,1205,48200,1325.3544565836589,stagnation
sep-ipop-l20-w102,12,111024,0,2,large,80,918,73440,1139.1869150797527,tol_fun
sep-ipop-l20-w102,12,111024,0,3,large,160,1009,161440,1090.0588277180989,tol_fun
sep-ipop-l20-w102,12,111024,0,4,large,320,618,197760,969.38563919067383,tol_fun
sep-ipop-l20-w102,12,111024,0,5,large,640,869,556160,1007.4285418192545,stagnation
sep-ipop-l20-w102,12,111024,0,6,large,1280,1067,1365760,955.79521179199219,stagnation
sep-ipop-l20-w102,12,111024,0,7,large,2560,1225,3136000,916.73000335693359,stagnation
sep-ipop-l20-w102,12,111024,0,8,large,5120,184,940440,1105.0749931335449,maximum_evaluations
sep-ipop,12,111024,0,0,large,1024,927,949248,971.56948089599609,tol_fun
sep-ipop,12,111024,0,1,large,2048,1131,2316288,958.63859176635742,tol_fun
sep-ipop,12,111024,0,2,large,4096,790,3236864,886.81441243489587,maximum_evaluations
sep-ipop-w60,12,111024,0,0,large,1024,682,698368,971.56948089599609,stagnation
sep-ipop-w60,12,111024,0,1,large,2048,933,1910784,913.8157958984375,stagnation
sep-ipop-w60,12,111024,0,2,large,4096,951,3893248,891.19581858317054,maximum_evaluations
