arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
sep-ipop-l20,1,111013,1,20,33731.716454823814,,0.27184991383980528,1.0360619459053511,0.26736596824430064,0
sep-ipop-l20,1,111013,5,100,22267.336930592854,,0.23801630860918091,1.4520468627431666,0.26092787134670015,0
sep-ipop-l20,1,111013,40,800,1781.5509579976399,,0.13897950480387603,2.1460395384344713,0.15224283535556216,0
sep-ipop-l20,1,111013,80,1600,1612.1024309794109,,0.10119828468407417,4.0896544506630512,0.11272798241879946,0
sep-ipop-l20,1,111013,1320,26400,841.10881169637048,,3.2527421407109541e-05,613727.03980538051,5.8785509165757774e-05,0
sep-ipop-l20,1,111013,1980,52100,841.10881169637048,,0.0079737087171992856,58702.37306221397,0.008226563516085408,1
sep-ipop-l20,1,111013,2640,78500,841.10881169637048,,0.00027028834184543486,29755645.40038814,0.00024362330331436299,1
sep-ipop-l20,1,111013,2970,103500,841.10881169637048,,0.26351167168257272,6483.1548617500803,0.074468196360240629,2
sep-ipop-l20,1,111013,3300,129900,841.10881169637048,,0.26206139902547254,428731.06869639351,0.010779489060956755,2
sep-ipop-l20,1,111013,3630,156300,841.10881169637048,,0.052269833019401087,3609891654.5806251,0.0029839471167045087,2
sep-ipop-l20,1,111013,3828,184620,841.10881169637048,,0.85637118914945487,8714.2447327734935,0.19819239757351087,3
sep-ipop-l20,1,111013,3960,205740,841.10881169637048,,6.2154654537420786,97192.80274560659,0.1075366376896193,3
sep-ipop-l20,1,111013,4158,237420,841.10881169637048,,207.53525178496869,94474.72114649514,0.06233802519094879,3
sep-ipop-l20,1,111013,4290,258540,841.10881169637048,,13854.752615550717,51199.352143172669,0.066068134416731247,3
sep-ipop-l20,1,111013,4422,279660,841.10881169637048,,287413.24194798473,54271.556759592575,0.0581682138702573,3
sep-ipop-l20,1,111013,4620,311340,841.10881169637048,,47498640.835564874,80092.742033279588,0.069459879579653661,3
sep-ipop-l20,1,111013,4752,332460,841.10881169637048,,1673147559.2504199,89519.283125246147,0.053004704896887106,3
sep-ipop-l20,1,111013,4950,364140,841.10881169637048,,85948248461.112335,462163.57295269659,0.050353839963728789,3
sep-ipop-l20,1,111013,5082,385260,841.10881169637048,,155377167027.74155,1541270149.6585484,0.030078403059375237,3
sep-ipop-l20,1,111013,5280,416940,841.10881169637048,,210670374481.69165,1097444368110.4993,0.030520174482892438,3
