circles,bestCost,gainFromPrev,jobId,evaluations
16,546.1567522685,,5ff71faf-edc5-4639-a6d7-8fd8154ee4cf,23
17,537.2491213481,8.9076,54808bf7-fcf7-43ee-ad49-b0e73f0ab1b1,451806
18,527.2501869202,9.9989,07ca402d-428d-4af1-9808-e06ad7250512,901797
19,517.6005999247,9.6496,7f62694b-522f-45d5-a217-d205d4d40b64,1355244
20,509.5869013468,8.0137,88dde44b-3e30-4102-886b-05d05e79bb47,1801587
21,502.6027526855,6.9841,d6e06560-e90a-4e5c-8f9e-ed59720eaf06,2247802
22,496.2957369486,6.3070,b8f6ad25-31cc-4947-9dfd-bd3c6ccd1a55,2701697
23,487.4392013550,8.8565,7ad8790e-b504-4486-8ed5-7caefdbfcb5d,3156488
24,481.9189682007,5.5202,c4e99fdc-dfb1-450e-9c04-1ab7b2735530,23
25,475.4709917704,6.4480,a185ee45-c00b-4442-802a-3d5a2dfffae3,450910
26,471.0245971680,4.4464,8e4fb50c-1101-405b-9481-130549cecff5,902117
27,466.3560129801,4.6686,5dec7318-436e-4bba-bf09-b8570138fdfb,1355628
28,460.6657460531,5.6903,0735b609-7ba6-4dcd-aae7-19205584b363,1803699
29,452.0575205485,8.6082,d1f7ac8c-818f-4d82-8d72-832473a787ba,2256634
30,447.0064366659,5.0511,22f72c5f-d66a-4a22-ba16-e9a9c728e9a2,2708673
31,443.6773211161,3.3291,290e55a2-9019-4a7b-90e1-c0bc3e64b2db,3165704
32,440.3808886210,3.2964,1995f83d-2a5d-4155-b7dd-df3e8ce5ec2a,23
33,437.2603836060,3.1205,6c879b53-1bf3-4c27-b454-eded3dac3834,454942
34,434.4043858846,2.8560,6b2c4306-cf55-429c-abe6-45f7b846198b,909477
35,430.5667915344,3.8376,344234f1-6feb-432c-bdcb-6328c47144d9,1363884
36,426.9890632629,3.5777,af05248f-1d8e-4d5e-8acf-efc803d8133a,1816691
37,419.7817827861,7.2073,88bb82b3-a30e-40ca-b4c8-591f08ee298e,2264442
38,415.9770863851,3.8047,b425310f-8d4a-4cb4-9fb8-5d05ddc1093b,2711553
39,412.6786460876,3.2984,832eaffe-290d-4861-bbd0-99aa6f6e8d7c,3161800
40,409.3674278259,3.3112,84679726-008b-4452-9dac-407044db6797,23
41,406.4058163961,2.9616,5052e265-2ecd-4126-a13d-5a4ad7e6d6e2,452894
42,403.7435302734,2.6623,861b724f-8de4-47f8-aa85-decd3350c071,904677
43,401.2640419006,2.4795,525723b0-892d-41d6-8c5b-a4d401e27dd3,1354796
44,398.2716649373,2.9924,fdcc9ff9-8b47-4fad-8ce6-34063c9701e2,1802675
45,395.8047676086,2.4669,7d425759-d61b-45b4-b244-2cfa3a0474e6,2258938
46,391.9528643290,3.8519,fa847a91-4b44-4183-8ed9-6ae373ec4382,2710273
47,389.7791315715,2.1737,8017c770-06d2-4e66-932a-45f7448b56dc,3160968
48,387.8952509562,1.8839,5003d7ca-a4a1-43c8-95d8-af3ed30e4128,23
49,385.5376904806,2.3576,9c5c355d-003a-4099-9f67-f6f1e032febb,447966
50,382.6660804749,2.8716,91ae7216-a1bf-4096-9e48-b8855c4e1625,902309
51,380.8998540243,1.7662,ea5090bc-150d-4dd3-b93d-fce18b648ab7,1359148
52,379.0477994283,1.8521,1918e884-d6dc-4667-9a00-0d39f96208cd,1808691
53,377.2179272970,1.8299,a4f795ab-c891-41ab-82ab-db8d12a07dc4,2262458
54,375.3950055440,1.8229,996637c6-4c48-432d-9fb2-8b8c414ce2e8,2717249
55,373.2015991211,2.1934,08f1f8d5-d8f7-4ffb-8bb9-6fdccab53eb2,3165064
56,370.1408182780,3.0608,755b962a-e036-495a-85cf-cf65169e39a1,23
57,368.2213147481,1.9195,61680dd4-c4fa-491d-aa23-481102bbc68b,448734
58,366.4662513733,1.7551,cd51bc73-08c3-4b85-b828-e832f3958b29,901413
59,364.7738138835,1.6924,18bb5db3-6d9d-45b0-b7f9-ea660dfb22cd,1351276
60,363.1276092529,1.6462,fd5be287-cf14-4191-b0c5-9d5846f67ea6,1799859
61,361.3213958740,1.8062,47609dd7-dfaf-4fa7-8b16-b69e0a3ea623,2252154
62,359.8408851624,1.4805,7095465c-b59d-46cd-856b-2ca0901b6de4,2704513
63,357.6239827474,2.2169,b351b281-7479-4e6f-88a4-1af5b9b786fb,3159624
