regime,qmc,block,seed,iters,evals,bestCost,initialCost,termination
mid,halton,1,7001,512,203011,1100.544703,nan,completed
mid,halton,2,7002,512,203011,1065.727158,nan,completed
mid,halton,3,7003,512,203011,1049.377218,nan,completed
mid,halton,4,7004,512,203011,954.571699,nan,completed
mid,halton,5,7005,512,203011,1269.473378,nan,completed
mid,halton,6,7006,512,203011,1060.382868,nan,completed
mid,halton,7,7007,512,203011,1192.316851,nan,completed
mid,halton,8,7008,512,203011,1176.843550,nan,completed
mid,halton,9,7009,512,203011,1002.087123,nan,completed
mid,halton,10,7010,512,203011,929.408656,nan,completed
mid,halton,11,7011,512,203011,1194.355839,nan,completed
mid,halton,12,7012,512,203011,959.222876,nan,completed
mid,halton,13,7013,512,203011,1254.739062,nan,completed
mid,halton,14,7014,512,203011,1128.362755,nan,completed
mid,halton,15,7015,512,203011,1312.748441,nan,completed
mid,halton,16,7016,512,203011,1243.397346,nan,completed
mid,halton,17,7017,512,203011,1261.479249,nan,completed
mid,halton,18,7018,512,203011,1180.423996,nan,completed
mid,halton,19,7019,512,203011,972.007565,nan,completed
mid,halton,20,7020,512,203011,1276.122533,nan,completed
mid,halton,21,7021,512,203011,1260.309896,nan,completed
mid,halton,22,7022,512,203011,1015.133461,nan,completed
mid,halton,23,7023,512,203011,1346.452922,nan,completed
mid,halton,24,7024,512,203011,1263.133564,nan,completed
mid,halton,25,7025,512,203011,1168.259425,nan,completed
mid,halton,26,7026,512,203011,1084.724303,nan,completed
mid,halton,27,7027,512,203011,1268.165466,nan,completed
mid,halton,28,7028,512,203011,1163.033822,nan,completed
mid,halton,29,7029,512,203011,1274.185645,nan,completed
mid,halton,30,7030,512,203011,1085.236013,nan,completed
mid,halton,31,7031,512,203011,1019.933774,nan,completed
mid,halton,32,7032,512,203011,1169.572303,nan,completed
mid,halton,33,7033,512,203011,1238.389769,nan,completed
mid,halton,34,7034,512,203011,1171.572934,nan,completed
mid,halton,35,7035,512,203011,1261.887580,nan,completed
mid,halton,36,7036,512,203011,1184.623809,nan,completed
mid,halton,37,7037,512,203011,932.857422,nan,completed
mid,halton,38,7038,512,203011,1213.252415,nan,completed
mid,halton,39,7039,512,203011,1234.376729,nan,completed
mid,halton,40,7040,512,203011,1212.139914,nan,completed
mid,sobol,1,7001,512,203011,1349.453620,nan,completed
mid,sobol,2,7002,512,203011,1312.671457,nan,completed
mid,sobol,3,7003,512,203011,1266.706601,nan,completed
mid,sobol,4,7004,512,203011,1194.000587,nan,completed
mid,sobol,5,7005,512,203011,1201.043310,nan,completed
mid,sobol,6,7006,512,203011,1286.495130,nan,completed
mid,sobol,7,7007,512,203011,1286.108308,nan,completed
mid,sobol,8,7008,512,203011,939.633968,nan,completed
mid,sobol,9,7009,512,203011,1045.587190,nan,completed
mid,sobol,10,7010,512,203011,1037.515900,nan,completed
mid,sobol,11,7011,512,203011,1306.473000,nan,completed
mid,sobol,12,7012,512,203011,1153.846488,nan,completed
mid,sobol,13,7013,512,203011,1110.158946,nan,completed
mid,sobol,14,7014,512,203011,1235.405251,nan,completed
mid,sobol,15,7015,512,203011,1012.249009,nan,completed
mid,sobol,16,7016,512,203011,1323.142619,nan,completed
mid,sobol,17,7017,512,203011,999.976714,nan,completed
mid,sobol,18,7018,512,203011,1179.002007,nan,completed
